datetime,low,high,open,close,volumefrom,volumeto
2017-10-01,295.44,304.79,302.77,303.95,220320.92,66161942.23
2017-10-02,293.34,304.13,303.95,296.81,291646.77,87144370.37
2017-10-03,286.86,299.92,296.81,291.81,302101.3,88276884.19
2017-10-04,288.56,295.57,291.81,291.68,231043.01,67580849.1
2017-10-05,286.73,297.47,291.68,294.99,202892.42,59328523.56
2017-10-06,293.75,309.0,294.99,308.33,265830.27,80140194.73
2017-10-07,304.63,314.12,308.33,311.26,269276.51,83321062.1
2017-10-08,308.13,313.52,311.26,309.49,217688.05,67801593.66
2017-10-09,286.52,310.14,309.49,296.95,471243.74,140753204.93
2017-10-10,292.28,305.95,296.95,298.46,268423.2,80475858.44
2017-10-11,297.18,305.12,298.46,302.86,223439.16,67246675.44
2017-10-12,301.65,308.77,302.86,302.89,426811.81,130357482.76
2017-10-13,298.29,347.7,302.89,336.83,994746.99,325130767.69
2017-10-14,333.83,347.14,336.83,338.81,345894.16,118217861.14
2017-10-15,318.35,341.93,338.81,336.58,465975.53,154046243.07
2017-10-16,332.9,352.39,336.58,334.23,498450.89,170532984.7
2017-10-17,310.57,334.42,334.23,316.14,415234.07,133468389.3
2017-10-18,287.95,316.34,316.14,313.54,543742.61,164595270.46
2017-10-19,304.63,316.38,313.54,307.41,297975.44,92233614.25
2017-10-20,301.86,312.11,307.41,303.08,297745.84,91295399.0
2017-10-21,290.92,303.09,303.08,299.55,307450.01,91321527.88
2017-10-22,290.69,305.89,299.55,294.03,229706.09,67955886.57
2017-10-23,274.96,294.25,294.03,285.27,430501.72,121924456.19
2017-10-24,280.01,311.23,285.27,296.5,545459.65,165128705.67
2017-10-25,289.46,300.36,296.5,296.35,245972.24,72454123.85
2017-10-26,292.7,299.37,296.35,295.54,160687.3,47625722.81
2017-10-27,292.24,298.9,295.54,296.36,152637.47,45180916.86
2017-10-28,291.11,297.05,296.37,293.35,142578.77,41932396.96
2017-10-29,292.06,311.3,293.33,304.04,353324.1,107293933.23
2017-10-30,303.58,311.94,304.04,306.8,186091.57,57189166.5
