datetime,BTC,ETH,ADA,BNB
2017-10-01,4403.09,303.95,0.02519,1.5219999999999998
2017-10-02,4401.32,296.81,0.02588,1.973
2017-10-03,4314.18,291.81,0.02084,1.837
2017-10-04,4218.66,291.68,0.02189,1.6219999999999999
2017-10-05,4321.44,294.99,0.021519999999999997,1.6740000000000002
2017-10-06,4371.94,308.33,0.01849,1.556
2017-10-07,4435.81,311.26,0.0208,1.5659999999999998
2017-10-08,4611.7,309.49,0.02052,1.216
2017-10-09,4777.49,296.95,0.02207,1.4269999999999998
2017-10-10,4763.36,298.46,0.021480000000000003,1.422
2017-10-11,4824.2,302.86,0.02253,1.439
2017-10-12,5432.62,302.89,0.02635,1.345
2017-10-13,5637.26,336.83,0.03354,1.5019999999999998
2017-10-14,5824.71,338.81,0.03221,1.508
2017-10-15,5688.14,336.58,0.03003,1.548
2017-10-16,5759.33,334.23,0.02891,1.4369999999999998
2017-10-17,5598.58,316.14,0.02721,1.386
2017-10-18,5575.83,313.54,0.02665,1.331
2017-10-19,5698.65,307.41,0.027010000000000003,1.265
2017-10-20,5993.11,303.08,0.0305,1.222
2017-10-21,6006.65,299.55,0.02841,1.2429999999999999
2017-10-22,5982.86,294.03,0.0277,1.218
2017-10-23,5903.61,285.27,0.0258,1.198
2017-10-24,5513.08,296.5,0.027010000000000003,1.245
2017-10-25,5734.0,296.35,0.027410000000000004,1.2590000000000001
2017-10-26,5887.61,295.54,0.027139999999999997,1.2209999999999999
2017-10-27,5764.56,296.36,0.02646,1.183
2017-10-28,5726.61,293.35,0.02588,1.182
2017-10-29,6147.52,304.04,0.028339999999999997,1.2309999999999999
2017-10-30,6124.28,306.8,0.02854,1.331
2017-10-31,6451.24,303.64,0.030510000000000002,1.329
2017-11-01,6737.78,289.42,0.02304,1.268
2017-11-02,7024.81,284.92,0.02129,1.297
2017-11-03,7152.12,304.51,0.02253,1.4609999999999999
2017-11-04,7363.8,300.04,0.02194,1.6380000000000001
2017-11-05,7389.55,295.8,0.02069,1.52
2017-11-06,6959.23,296.82,0.02185,1.5730000000000002
2017-11-07,7102.75,291.84,0.022090000000000002,1.795
2017-11-08,7444.36,307.35,0.02509,2.029
2017-11-09,7129.59,319.66,0.03223,2.052
2017-11-10,6565.8,296.86,0.026389999999999997,1.8259999999999998
2017-11-11,6339.86,314.23,0.0272,1.681
2017-11-12,5878.13,306.02,0.0241,1.5419999999999998
2017-11-13,6522.45,314.6,0.0257,1.696
2017-11-14,6597.06,334.72,0.026189999999999998,1.557
2017-11-15,7283.22,331.2,0.02658,1.551
2017-11-16,7853.68,330.32,0.027489999999999997,1.5719999999999998
2017-11-17,7699.95,331.72,0.02572,1.508
2017-11-18,7780.91,346.65,0.0263,1.6569999999999998
2017-11-19,8042.64,354.6,0.028069999999999998,1.609
2017-11-20,8244.69,367.71,0.0296,1.609
2017-11-21,8099.97,360.52,0.02835,1.5859999999999999
