datetime,low,high,open,close,volumefrom,volumeto
2020-10-10,51.08,51.08,51.08,51.08,0.1,5.108
2020-10-11,51.08,51.08,51.08,51.08,0.0,0.0
2020-10-12,48.34,52.4,51.08,51.42,135.73,6864.48
2020-10-13,49.76,53.04,51.42,51.6,125.08,6368.28
2020-10-14,51.6,57.02,51.6,52.59,451.02,24243.52
2020-10-15,40.19,57.08,56.69,42.95,40211.88,1727060.55
2020-10-16,39.05,43.44,42.95,39.34,36664.96,1442255.3
2020-10-17,38.67,43.2,39.34,41.39,16802.99,695469.26
2020-10-18,39.01,41.97,41.39,40.85,17143.78,700311.32
2020-10-19,35.73,41.85,40.85,36.03,39703.76,1430718.53
2020-10-20,32.03,36.98,36.03,32.2,92162.78,2967708.59
2020-10-21,33.88,37.31,32.2,35.15,52349.3,1839887.38
2020-10-22,34.07,39.62,35.15,37.81,59343.15,2244038.53
2020-10-23,37.19,42.62,37.81,41.58,84056.83,3495096.51
2020-10-24,38.66,45.71,41.58,39.48,39683.73,1566848.55
2020-10-25,37.43,40.3,39.48,37.91,23866.94,904814.73
2020-10-26,35.6,39.2,37.91,36.01,22413.12,807013.07
2020-10-27,34.25,39.7,36.01,34.96,39293.74,1373752.5
2020-10-28,32.22,34.5,34.96,32.44,22671.33,735556.31
2020-10-29,28.35,33.64,32.44,29.12,41371.65,1204688.47
2020-10-30,27.84,32.1,29.12,31.15,63578.53,1980307.25
2020-10-31,29.51,33.29,31.15,29.75,48881.31,1454040.48
2020-11-01,28.5,31.07,29.75,30.78,27698.94,852710.97
2020-11-02,29.21,34.06,30.78,29.78,67593.54,2012617.97
2020-11-03,27.84,31.02,29.78,28.16,28265.72,795955.62
2020-11-04,26.55,28.91,28.16,27.71,13753.82,381072.66
2020-11-05,27.27,33.18,27.71,31.11,46890.25,1458579.39
2020-11-06,31.04,40.82,31.11,38.57,86976.89,3354802.49
2020-11-07,36.67,49.51,38.57,44.65,100856.07,4503024.18
2020-11-08,44.93,54.86,44.65,53.95,73106.7,3943782.95
2020-11-09,49.95,58.26,53.95,55.07,86765.33,4778001.24
2020-11-10,53.31,70.66,55.07,67.12,141705.31,9511271.54
2020-11-11,53.15,70.89,67.12,54.61,327871.43,17906211.97
2020-11-12,50.89,61.64,54.61,51.87,199058.09,10325356.5
2020-11-13,51.19,67.91,51.87,63.57,315487.25,20054720.68
2020-11-14,56.76,69.61,63.57,66.76,148570.63,9919083.42
2020-11-15,60.11,70.71,66.76,64.24,151162.57,9710978.69
2020-11-16,63.91,74.51,64.24,73.02,159946.5,11679711.82
2020-11-17,70.14,80.65,73.02,79.23,187637.32,14866688.89
2020-11-18,68.69,80.52,79.23,75.15,166323.62,12498719.53
2020-11-19,71.62,80.59,75.15,76.36,153758.35,11741104.12
2020-11-20,73.22,83.93,76.36,75.1,145088.6,10896432.6
2020-11-21,68.2,76.99,75.1,70.38,116232.67,8180847.92
2020-11-22,63.42,74.2,70.38,68.88,127046.61,8750349.85
2020-11-23,66.67,73.97,68.88,72.35,100529.37,7273087.49
2020-11-24,66.34,80.12,72.35,66.8,149283.92,9972317.67
2020-11-25,59.6,65.6,66.8,61.8,80856.46,4996525.59
2020-11-26,48.73,64.77,61.8,64.39,176344.6,11355234.23
2020-11-27,58.58,68.52,64.39,60.88,109720.49,6680123.02
2020-11-28,61.79,66.83,60.88,64.13,41661.87,2671764.83
2020-11-29,63.44,69.45,64.13,68.87,48290.63,3325577.04
2020-11-30,74.16,82.9,68.87,76.11,168189.73,12800826.07
2020-12-01,70.21,76.2,76.11,74.51,170966.96,12738816.4
2020-12-02,74.83,92.36,74.51,86.75,448283.78,38887976.55
2020-12-03,83.71,94.99,86.75,91.7,362627.5,33252722.22
2020-12-04,79.29,89.27,91.7,81.04,494042.4,40038890.66
2020-12-05,81.59,92.93,81.04,92.8,486053.9,45103727.91
2020-12-06,86.91,93.87,92.8,87.92,247801.54,21787269.14
2020-12-07,85.95,94.87,87.92,90.63,278085.63,25203501.94
2020-12-08,78.08,87.16,90.63,80.18,330374.25,26490637.52
2020-12-09,78.65,86.59,80.18,82.7,349365.52,28890971.51
2020-12-10,75.39,81.85,82.7,76.38,147539.79,11268826.09
2020-12-11,72.1,79.14,76.38,74.65,149202.97,11137447.5
2020-12-12,76.88,82.32,74.65,77.84,101971.66,7937226.45
2020-12-13,78.15,84.54,77.84,83.79,103150.1,8642732.07
2020-12-14,80.18,92.0,83.79,86.35,254402.22,21967787.19
2020-12-15,84.51,89.39,86.35,87.33,202925.05,17722111.09
2020-12-16,85.96,95.91,87.33,87.5,231449.2,20252043.1
2020-12-17,80.95,96.47,87.5,85.08,239318.63,20361480.27
2020-12-18,83.66,90.48,85.08,90.44,121270.78,10967358.63
2020-12-19,88.42,99.6,90.44,88.99,270790.63,24097250.63
2020-12-20,84.08,89.86,88.99,85.65,211807.05,18142283.94
2020-12-21,77.89,84.16,85.65,80.86,113192.71,9153116.66
2020-12-22,80.52,87.6,80.86,84.43,130665.62,11032078.18
2020-12-23,65.91,82.52,84.43,75.71,246352.71,18652420.77
2020-12-24,73.78,81.66,75.71,80.52,219036.28,17636786.98
2020-12-25,77.34,84.55,80.52,79.73,90056.48,7180441.93
2020-12-26,74.37,85.87,79.73,74.95,124436.53,9326158.77
2020-12-27,68.83,78.67,74.95,76.67,209786.74,16085213.19
2020-12-28,78.12,86.42,76.67,81.77,166644.85,13626098.91
2020-12-29,77.38,84.02,81.77,78.06,113390.31,8851282.22
2020-12-30,80.34,88.46,78.06,81.12,159035.34,12901268.81
2020-12-31,78.92,88.6,81.12,88.48,149734.76,13248787.55
2021-01-01,85.99,90.93,88.48,90.87,152460.11,13854142.05
2021-01-02,83.28,101.06,90.87,85.92,187630.08,16121047.29
2021-01-03,78.53,94.63,85.92,93.97,215282.4,20229314.3
2021-01-04,90.97,118.0,93.97,114.03,465202.04,53046410.84
2021-01-05,98.1,124.18,114.36,119.89,203401.22,23110997.66
2021-01-06,114.23,130.23,119.78,115.41,266457.54,30752866.98
