datetime,low,high,open,close,volumefrom,volumeto
2019-06-21,3.091,3.386,3.006,3.166,107750.34,341116.66
2019-06-22,1.865,3.385,3.15,2.173,422124.64,917401.72
2019-06-23,1.715,2.176,2.173,1.912,352068.69,673207.71
2019-06-24,1.316,2.101,1.912,1.413,872894.44,1233618.08
2019-06-25,1.33,1.936,1.413,1.526,1038101.82,1584134.17
2019-06-26,1.422,1.882,1.526,1.57,1067574.34,1675742.92
2019-06-27,1.294,1.499,1.57,1.402,4191604.99,5878389.96
2019-06-28,1.339,1.613,1.402,1.441,9671369.38,13933890.91
2019-06-29,1.374,1.567,1.441,1.504,7854833.28,11814429.6
2019-06-30,1.347,1.444,1.504,1.437,8319957.55,11951890.67
2019-07-01,1.287,1.471,1.437,1.346,8026539.41,10807061.81
2019-07-02,1.09,1.341,1.346,1.138,8737081.42,9941594.86
2019-07-03,1.102,1.221,1.138,1.114,7879734.44,8781199.38
2019-07-04,0.9464,1.079,1.114,1.007,6398322.23,6444836.75
2019-07-05,0.9947,1.166,1.007,1.12,7656666.87,8577142.94
2019-07-06,0.9855,1.121,1.12,1.029,10121632.44,10414679.41
2019-07-07,1.041,1.164,1.029,1.07,8238339.27,8812939.79
2019-07-08,1.01,1.096,1.07,1.05,7845266.78,8240006.71
2019-07-09,0.9936,1.064,1.05,1.042,8171658.57,8514049.1
2019-07-10,0.928,1.122,1.042,1.027,11517712.25,11831797.5
2019-07-11,0.8521,0.9824,1.027,0.8583,22750027.23,19526752.41
2019-07-12,0.8188,0.9436,0.8583,0.8794,13371233.52,11758450.56
2019-07-13,0.8587,1.037,0.8794,0.9394,9876164.72,9277742.42
2019-07-14,0.7866,0.8895,0.9394,0.8192,8858116.77,7256139.82
2019-07-15,0.7725,0.8576,0.8192,0.8058,3480353.81,2804435.97
2019-07-16,0.6293,0.7136,0.8058,0.6456,7620153.5,4919638.08
2019-07-17,0.6554,0.7786,0.6456,0.6766,8525167.8,5767707.22
2019-07-18,0.6756,0.7386,0.6766,0.6941,5558975.5,3858464.33
2019-07-19,0.6565,0.6908,0.6941,0.67,6726105.02,4506731.43
2019-07-20,0.682,0.7618,0.67,0.709,9745008.85,6909221.02
2019-07-21,0.6737,0.7141,0.709,0.6936,9519224.02,6602113.03
2019-07-22,0.6325,0.6803,0.6936,0.6417,8413953.5,5398963.7
2019-07-23,0.574,0.6441,0.6417,0.5787,10095076.67,5841987.25
2019-07-24,0.5824,0.6268,0.5787,0.5993,10551743.74,6323465.45
2019-07-25,0.5819,0.6135,0.5993,0.6102,4775903.18,2914156.83
2019-07-26,0.6038,0.7303,0.6102,0.6518,8177955.98,5330152.83
2019-07-27,0.5743,0.6248,0.6518,0.5784,6188231.94,3579388.7
2019-07-28,0.5728,0.6043,0.5784,0.576,4827917.55,2780963.55
2019-07-29,0.5591,0.5926,0.576,0.5707,5355255.61,3056334.4
2019-07-30,0.5567,0.5875,0.5707,0.5674,5699502.64,3233631.52
2019-07-31,0.5603,0.5946,0.5674,0.5673,4248661.61,2410298.87
2019-08-01,0.5096,0.5751,0.5673,0.5623,6535118.08,3674457.38
2019-08-02,0.5554,0.8836,0.5623,0.8094,31158824.84,25220220.79
2019-08-03,0.7387,0.8776,0.8094,0.7442,12965105.26,9648774.47
2019-08-04,0.7022,0.7627,0.7442,0.7073,6075119.83,4296903.1
2019-08-05,0.6723,0.8087,0.7073,0.79,8375482.26,6617030.66
2019-08-06,0.6948,0.7903,0.79,0.7015,8185078.82,5742190.48
2019-08-07,0.6818,0.7259,0.7015,0.6904,6254503.26,4318105.61
2019-08-08,0.6467,0.7881,0.6904,0.727,7454274.97,5419397.0
2019-08-09,0.6914,0.8202,0.727,0.8055,5669868.2,4566901.31
2019-08-10,0.7446,0.8463,0.8055,0.8073,3991080.71,3222006.0
2019-08-11,0.8082,0.9039,0.8073,0.8292,2673522.65,2216902.31
2019-08-12,0.7625,0.8119,0.8292,0.805,1671090.74,1345189.28
2019-08-13,0.7846,0.8366,0.805,0.8053,1465978.89,1180513.51
2019-08-14,0.704,0.8422,0.8053,0.7159,1953665.58,1398697.78
2019-08-15,0.6829,0.7821,0.7159,0.7091,2403556.57,1704362.16
2019-08-16,0.6763,0.76,0.6897,0.677,572631.86,398276.17
2019-08-17,0.6733,0.7183,0.677,0.6818,726007.17,504585.92
2019-08-18,0.6658,0.6968,0.6818,0.6769,423235.0,287189.53
2019-08-19,0.6506,0.6769,0.6769,0.6548,671592.0,445469.55
2019-08-20,0.6034,0.67,0.6548,0.625,862657.87,543115.92
2019-08-21,0.56,0.6274,0.625,0.5657,737557.84,427700.42
2019-08-22,0.5321,0.5922,0.5657,0.5742,736256.04,412376.98
2019-08-23,0.5427,0.5915,0.5742,0.5747,381697.76,217755.55
2019-08-24,0.5435,0.5799,0.5747,0.5772,239903.0,135559.44
2019-08-25,0.5323,0.5815,0.5772,0.5378,179715.0,100796.56
2019-08-26,0.5201,0.5789,0.5378,0.5201,362828.0,195518.63
2019-08-27,0.51,0.547,0.5201,0.5185,381365.0,200922.95
2019-08-28,0.4225,0.5355,0.5185,0.4358,1141057.94,535503.59
2019-08-29,0.3901,0.449,0.4358,0.4014,715145.02,304518.03
2019-08-30,0.3971,0.4245,0.4014,0.4198,475826.65,196019.22
2019-08-31,0.397,0.4316,0.4198,0.4085,315388.01,131277.22
2019-09-01,0.3803,0.4166,0.4085,0.3903,336969.84,134603.31
2019-09-02,0.376,0.3998,0.3903,0.3942,530877.4,205628.93
2019-09-03,0.365,0.4051,0.3942,0.3696,343617.51,132575.63
2019-09-04,0.345,0.3736,0.3696,0.3463,511513.3,183371.31
2019-09-05,0.34,0.3957,0.3463,0.3884,1240462.37,456840.59
2019-09-06,0.3411,0.4199,0.3884,0.3475,1519142.09,580022.02
2019-09-07,0.3406,0.3889,0.3475,0.3737,900232.34,323920.81
2019-09-08,0.3552,0.3857,0.3737,0.3846,477259.93,175558.83
2019-09-09,0.3546,0.391,0.3846,0.3689,467402.8,173969.95
2019-09-10,0.3628,0.3935,0.3689,0.3655,645471.0,243511.23
2019-09-11,0.3425,0.3809,0.3655,0.3489,625477.4,220743.91
2019-09-12,0.3093,0.3497,0.3489,0.3185,1005512.5,326691.29
2019-09-13,0.309,0.3453,0.3185,0.3193,655214.46,215382.3
2019-09-14,0.311,0.3247,0.3193,0.324,421272.93,134194.15
2019-09-15,0.3204,0.3398,0.324,0.3285,578270.17,192134.53
2019-09-16,0.3148,0.337,0.3285,0.3207,500121.84,161024.58
2019-09-17,0.311,0.3344,0.3207,0.319,725766.35,234752.97
2019-09-18,0.3157,0.3608,0.319,0.3406,1934950.07,661746.74
2019-09-19,0.3068,0.3411,0.3406,0.3222,1180280.79,384338.92
2019-09-20,0.3162,0.3295,0.3222,0.3207,600777.0,192463.17
2019-09-21,0.314,0.33,0.3207,0.3157,388542.0,124030.21
2019-09-22,0.2693,0.3232,0.3157,0.3005,1009479.52,307166.83
2019-09-23,0.2674,0.3005,0.3005,0.2674,927764.04,263185.18
2019-09-24,0.1901,0.281,0.2674,0.1929,2976775.47,677767.46
2019-09-25,0.1925,0.22,0.1929,0.205,1529545.12,312677.29
2019-09-26,0.165,0.2149,0.205,0.189,2997500.05,551643.93
2019-09-27,0.177,0.1975,0.189,0.1891,1231369.0,228976.47
2019-09-28,0.1876,0.2079,0.1891,0.2035,1800468.69,358276.49
2019-09-29,0.1982,0.2431,0.2035,0.2247,3646073.74,817632.93
2019-09-30,0.2144,0.26,0.2247,0.25,3025501.08,730486.18
2019-10-01,0.2242,0.2664,0.25,0.234,3826525.92,936274.54
2019-10-02,0.2193,0.24,0.234,0.2335,2163872.88,493863.8
2019-10-03,0.2203,0.2394,0.2335,0.2312,2218566.6,511515.13
2019-10-04,0.223,0.2398,0.2312,0.2286,1420087.15,326096.4
2019-10-05,0.22,0.2319,0.2286,0.224,585635.0,131454.27
2019-10-06,0.2114,0.227,0.224,0.2118,1275125.0,276647.14
2019-10-07,0.2054,0.2238,0.2118,0.2178,1446535.0,312866.68
2019-10-08,0.2138,0.234,0.2178,0.2277,1553718.37,344465.15
2019-10-09,0.2274,0.2562,0.2277,0.2398,2776335.43,658351.15
2019-10-10,0.2318,0.2695,0.2398,0.252,3353474.0,837899.17
2019-10-11,0.2485,0.2755,0.252,0.2505,3582581.27,945496.1
2019-10-12,0.2429,0.2621,0.2505,0.2562,1717868.0,434998.16
2019-10-13,0.2455,0.2679,0.2562,0.2511,2768710.0,706296.9
2019-10-14,0.2456,0.2686,0.2511,0.2667,2218910.0,574837.77
2019-10-15,0.245,0.2748,0.2667,0.2475,2477105.0,645842.84
2019-10-16,0.2225,0.25,0.2475,0.2289,2830427.8,666897.81
2019-10-17,0.2287,0.24,0.2289,0.2358,1353573.0,317630.36
2019-10-18,0.2184,0.24,0.2358,0.2258,1627034.63,371955.38
2019-10-19,0.2229,0.2298,0.2258,0.2242,767532.0,173098.08
2019-10-20,0.2105,0.2281,0.2242,0.2245,1298423.83,287725.39
2019-10-21,0.2216,0.2321,0.2245,0.2269,1236919.0,280630.04
2019-10-22,0.2161,0.2289,0.2269,0.2192,1233397.0,275103.81
2019-10-23,0.1964,0.2192,0.2192,0.2006,3037176.61,628262.45
