datetime,low,high,open,close,volumefrom,volumeto
2019-04-23,0.001163,4.705,0.001133,4.047,51191.64,207194.09
2019-04-24,3.061,4.701,4.047,3.549,235383.95,835318.73
2019-04-25,3.09,3.83,3.48,3.21,130937.04,444550.3
2019-04-26,3.181,3.741,3.216,3.623,1328606.86,4812896.54
2019-04-27,3.357,3.753,3.642,3.457,119433.02,412879.81
2019-04-28,3.378,5.186,3.439,4.506,420087.36,1892915.95
2019-04-29,3.61,4.6,4.37,3.7,171750.8,693030.99
2019-04-30,3.912,4.305,3.795,3.975,129714.18,515607.41
2019-05-01,3.86,4.71,3.91,4.36,172288.98,760065.06
2019-05-02,4.277,4.716,4.381,4.606,986051.4,4542051.45
2019-05-03,4.5,5.21,4.5,5.21,312629.12,1567288.1
2019-05-04,4.69,5.52,5.21,5.18,396099.45,2043006.13
2019-05-05,4.79,5.85,5.18,4.83,64812.07,324134.51
2019-05-06,4.47,5.09,4.83,4.73,85455.74,404979.78
2019-05-07,4.565,4.948,4.761,4.588,680006.06,3119969.12
2019-05-08,4.307,4.739,4.588,4.367,1801599.16,7867693.21
2019-05-09,3.42,4.48,4.35,3.88,170356.45,660600.45
2019-05-10,3.621,4.23,3.87,3.806,2842146.27,10817414.46
2019-05-11,3.876,4.427,3.806,3.97,2771699.61,11004617.15
2019-05-12,3.61,3.943,3.97,3.78,1406451.82,5317062.88
2019-05-13,3.838,4.617,3.78,3.923,2665397.92,10457626.2
2019-05-14,3.772,4.152,3.923,4.012,2018404.8,8098666.32
2019-05-15,4.0,4.68,4.0,4.56,224365.23,961789.73
2019-05-16,4.037,4.572,4.558,4.275,1939542.74,8291262.66
2019-05-17,3.959,4.869,4.275,4.417,4989916.51,22041850.58
2019-05-18,4.303,4.955,4.417,4.693,2730249.09,12813498.75
2019-05-19,4.8,5.365,4.693,4.889,2709524.35,13246449.01
2019-05-20,4.623,4.931,4.889,4.701,1899978.82,8931031.0
2019-05-21,4.538,4.827,4.701,4.77,2016020.58,9615516.59
2019-05-22,4.276,4.608,4.77,4.31,1248544.12,5381169.65
2019-05-23,4.12,4.45,4.31,4.36,121152.1,514349.84
2019-05-24,4.352,4.804,4.353,4.471,3446495.46,15408547.93
2019-05-25,4.31,4.669,4.471,4.405,1067296.78,4701570.88
2019-05-26,4.415,4.856,4.405,4.536,827059.9,3751456.33
2019-05-27,4.498,4.745,4.536,4.665,906973.28,4230962.57
2019-05-28,4.498,4.859,4.665,4.788,1039042.35,4974436.59
2019-05-29,4.586,4.969,4.78,4.853,486296.06,2359897.52
2019-05-30,3.22,6.43,4.71,5.86,335352.39,1861953.49
2019-05-31,5.334,6.122,5.894,5.776,3943339.82,22776642.41
2019-06-01,5.671,6.323,5.776,5.769,3037557.49,17524346.96
2019-06-02,5.688,6.421,5.769,6.409,1713006.75,10979100.48
2019-06-03,5.742,6.922,6.409,6.526,6143445.83,40095102.8
2019-06-04,5.8,6.57,6.526,5.913,3088721.32,18264187.97
2019-06-05,5.762,6.277,5.913,6.156,1979520.71,12185728.03
2019-06-06,5.731,6.238,6.156,6.002,1995958.76,11980340.01
2019-06-07,5.962,6.568,6.004,6.306,740283.68,4668136.94
2019-06-08,5.988,6.191,6.306,6.12,318680.5,1950253.28
2019-06-09,5.737,5.904,6.12,5.834,320536.49,1870122.17
2019-06-10,6.025,6.273,5.834,6.11,443436.51,2709279.3
2019-06-11,5.869,6.087,6.11,5.964,727688.81,4340021.32
2019-06-12,6.061,6.427,5.964,6.151,1077000.91,6624676.05
2019-06-13,5.931,6.408,6.158,6.275,267713.18,1679957.5
2019-06-14,6.074,6.488,6.275,6.267,432751.84,2712028.78
