datetime,low,high,open,close,volumefrom,volumeto
2017-08-01,238.0,479.9,501.69,441.72,57843.14,25550239.97
2017-08-02,388.76,1152.69,441.72,670.61,304216.78,204011011.06
2017-08-03,374.01,803.38,670.61,405.76,233260.03,94648185.99
2017-08-04,217.04,418.82,405.76,217.27,388074.6,84316357.2
2017-08-05,191.23,283.67,217.27,203.5,380669.95,77466653.07
2017-08-06,193.89,220.36,203.5,216.9,298002.65,64637231.71
2017-08-07,239.47,411.56,241.87,322.6,305369.81,89374025.1
2017-08-08,310.51,388.34,322.6,343.43,189918.52,65405748.92
2017-08-09,296.43,347.6,342.49,302.63,263759.31,79821520.16
2017-08-10,270.25,317.77,302.63,275.66,268712.96,74074399.36
2017-08-11,292.46,368.73,275.66,327.65,288980.29,94684627.31
2017-08-12,310.5,358.32,327.65,316.2,194167.03,61394683.93
2017-08-13,289.5,332.04,316.2,289.5,219645.84,63587663.09
2017-08-14,294.3,358.4,289.5,297.29,318011.13,94540319.95
2017-08-15,278.66,322.74,297.29,297.6,288532.01,85867214.64
2017-08-16,298.08,324.23,297.6,300.05,233648.34,70107185.83
2017-08-17,286.39,453.14,300.05,446.29,538933.34,240521291.1
2017-08-18,437.81,777.54,445.19,689.83,599573.95,350422575.89
2017-08-19,604.03,965.48,689.83,738.54,488212.73,382644710.5
2017-08-20,677.96,849.16,738.54,719.27,231694.52,176097781.09
2017-08-21,557.92,749.65,719.27,605.22,216266.02,137835348.17
2017-08-22,566.86,734.16,605.22,684.6,190941.81,127212595.92
2017-08-23,643.53,723.86,688.3,676.65,188008.32,127216601.69
2017-08-24,609.32,728.51,676.65,617.52,222741.93,137548498.72
2017-08-25,614.95,670.37,617.52,631.97,185471.76,117211951.63
2017-08-26,617.16,640.66,631.97,621.51,126075.45,78356956.25
2017-08-27,584.5,653.17,621.51,619.7,164102.5,101694967.45
2017-08-28,590.5,636.59,619.7,591.81,145075.77,85857840.99
2017-08-29,519.5,627.99,591.81,547.08,239154.98,130836880.15
2017-08-30,523.38,616.42,547.08,579.29,209091.36,121125313.43
2017-08-31,581.0,625.98,579.29,594.26,156410.07,92947670.26
2017-09-01,602.93,671.34,594.26,631.47,244768.19,154564590.14
2017-09-02,568.52,602.83,631.47,577.67,125901.1,72729406.78
2017-09-03,579.38,635.2,577.67,610.75,247695.07,151279914.6
2017-09-04,521.91,569.7,610.75,525.32,170306.49,89465932.43
2017-09-05,472.51,560.22,519.3,546.74,58083.51,30106018.14
2017-09-06,539.13,657.3,546.74,647.64,88989.8,54825116.2
2017-09-07,625.81,725.01,649.85,669.84,244447.15,163741505.63
2017-09-08,573.09,698.49,667.56,605.66,104688.46,65565655.08
2017-09-09,585.24,609.52,607.87,587.84,117608.56,69135442.59
2017-09-10,556.21,578.71,587.84,558.76,127751.55,71382344.17
2017-09-11,553.81,573.21,558.76,555.92,97350.81,54119186.36
2017-09-12,536.92,551.47,555.92,536.92,99544.86,53447284.99
2017-09-13,481.46,517.07,536.92,506.23,155591.75,78765823.39
2017-09-14,385.45,515.58,506.49,386.49,98635.73,43447407.4
2017-09-15,301.55,454.21,386.49,428.88,209392.62,81380795.6
2017-09-16,411.53,470.7,428.88,443.21,80026.4,35057627.63
2017-09-17,428.73,446.07,443.5,440.54,113275.12,49902157.25
2017-09-18,438.38,492.49,439.07,486.03,70189.85,33211175.33
2017-09-19,454.5,547.11,489.16,531.09,245682.68,130480047.91
2017-09-20,470.13,528.36,531.09,478.28,217896.83,104216156.05
2017-09-21,413.8,484.72,477.25,416.13,76159.01,34350076.54
2017-09-22,403.65,422.02,417.79,410.13,143191.32,58727705.73
2017-09-23,426.15,435.62,410.13,429.56,91482.48,39297348.41
2017-09-24,415.9,423.23,429.56,421.4,98785.28,41627924.16
2017-09-25,441.26,467.22,421.4,451.1,159752.45,72063627.44
2017-09-26,444.16,462.06,451.1,450.0,99570.18,44806194.67
2017-09-27,439.9,468.64,449.56,464.14,66193.41,30195113.53
2017-09-28,445.16,486.28,464.18,459.42,201898.04,92756739.51
2017-09-29,436.06,458.17,459.42,440.23,123037.28,54164621.18
2017-09-30,427.43,461.35,440.23,433.36,156680.17,67898670.23
2017-10-01,415.96,443.83,433.36,416.4,170397.95,70953744.09
2017-10-02,402.46,430.05,416.4,419.84,198662.62,83406894.78
2017-10-03,398.2,412.82,419.84,402.17,123458.1,49650879.83
2017-10-04,341.33,396.13,402.17,355.84,268086.36,95396914.91
2017-10-05,348.96,371.43,355.84,354.36,267431.95,94766672.33
2017-10-06,345.78,374.81,354.36,363.35,215956.96,78468378.95
2017-10-07,355.62,370.52,363.35,360.23,125759.62,45302655.79
2017-10-08,313.83,375.95,360.23,343.06,257800.93,88442311.83
2017-10-09,276.86,356.97,343.06,313.02,369167.47,115557224.08
2017-10-10,301.57,347.44,313.02,317.81,412889.75,131221060.91
2017-10-11,305.52,323.03,317.81,314.1,206056.07,64722966.16
2017-10-12,309.66,354.53,314.1,310.31,319714.16,99210902.04
2017-10-13,294.26,326.96,310.31,319.46,387350.54,123744368.61
2017-10-14,318.09,338.01,319.46,320.65,251335.14,80590684.4
2017-10-15,308.92,323.6,320.65,314.84,209904.13,66085911.72
2017-10-16,312.1,325.29,314.24,313.6,160042.35,50188563.73
2017-10-17,308.23,399.86,313.99,367.84,243410.54,88485919.9
2017-10-18,327.52,377.09,368.72,338.34,311682.53,105455092.46
2017-10-19,324.99,348.64,338.39,330.12,255368.9,84303094.9
2017-10-20,323.45,351.68,330.06,324.95,212435.93,69030295.83
2017-10-21,310.18,327.36,325.13,321.9,227612.47,73267628.66
2017-10-22,319.9,360.41,322.26,326.37,313909.52,102449084.58
2017-10-23,310.59,329.42,326.19,311.83,263865.48,82280824.38
2017-10-24,290.15,330.62,311.77,323.84,316708.34,102562296.5
2017-10-25,330.39,345.93,323.84,331.14,154566.98,51183077.91
2017-10-26,330.29,361.2,331.08,335.53,230902.63,77475889.46
2017-10-27,325.81,377.06,335.54,364.49,378032.73,137790332.55
2017-10-28,358.71,421.08,364.61,417.01,357997.57,149289189.65
2017-10-29,400.41,523.08,416.77,451.91,572432.17,259090603.37
2017-10-30,416.06,482.58,451.91,444.93,193899.08,87034115.9
2017-10-31,426.3,456.3,444.93,435.48,98339.43,43638797.69
2017-11-01,434.45,546.11,435.48,529.88,249273.2,122331291.42
2017-11-02,492.39,593.68,530.24,562.79,314670.88,170606048.18
2017-11-03,558.53,686.21,563.21,626.04,331298.66,212978833.44
2017-11-04,563.07,641.55,626.02,614.26,224020.94,136414146.92
2017-11-05,570.83,637.29,614.26,625.72,147005.72,88707513.0
2017-11-06,588.18,656.75,625.72,588.68,160442.93,99875447.46
2017-11-07,584.38,617.44,588.55,603.26,72283.97,43387451.36
2017-11-08,522.79,644.2,603.17,617.41,213140.03,129168410.93
2017-11-09,612.32,675.39,617.0,650.09,138517.84,88271349.36
2017-11-10,647.39,1029.27,650.09,995.4,668162.3,562027429.83
2017-11-11,897.92,1414.14,989.87,1325.56,350109.81,404695851.15
2017-11-12,1102.15,2766.84,1340.25,1376.66,1115787.0,1536057151.17
2017-11-13,999.89,1590.17,1373.12,1355.37,714366.81,968227850.02
2017-11-14,1170.98,1409.79,1355.37,1252.12,276656.56,346407761.9
2017-11-15,1170.41,1412.94,1252.12,1191.53,242995.38,289537449.57
2017-11-16,873.44,1193.4,1185.84,896.51,196969.98,203434765.52
2017-11-17,829.28,1256.63,904.74,1178.09,569705.27,671165420.34
2017-11-18,1190.48,1436.36,1178.86,1243.39,471688.33,586492278.12
2017-11-19,1141.25,1303.71,1243.41,1172.62,252181.68,295712502.86
2017-11-20,1184.76,1270.51,1172.62,1249.9,221620.96,277002930.69
2017-11-21,1144.53,1227.96,1250.07,1172.07,201797.03,236519368.95
2017-11-22,1170.13,1369.41,1172.06,1299.41,265014.65,344363213.74
2017-11-23,1254.9,1671.6,1299.4,1670.8,438210.54,732160410.82
2017-11-24,1498.29,1818.12,1670.79,1620.48,376523.95,610148807.57
2017-11-25,1537.32,1744.81,1619.36,1541.7,231935.69,357575464.1
2017-11-26,1552.45,1766.77,1544.31,1723.91,259730.17,447750839.99
2017-11-27,1585.54,1802.59,1724.84,1587.48,217782.36,345726212.34
2017-11-28,1485.91,1626.57,1587.39,1485.91,250735.77,372569785.06
2017-11-29,1315.32,1595.7,1485.91,1342.87,450156.74,604501031.61
2017-11-30,1174.84,1415.75,1333.52,1318.42,116177.53,150181384.27
2017-12-01,1402.22,1514.09,1323.96,1432.63,208217.62,298298370.23
2017-12-02,1387.01,1444.85,1432.63,1393.56,171424.48,238889547.68
2017-12-03,1429.39,1616.08,1392.46,1517.11,312377.68,473912466.96
2017-12-04,1522.73,1570.39,1516.84,1547.14,213217.06,329877158.41
2017-12-05,1417.56,1577.4,1547.2,1426.89,251812.32,359308481.03
2017-12-06,1317.48,1681.57,1426.89,1357.91,358123.09,486298041.72
2017-12-07,1250.29,1700.2,1358.51,1251.14,438040.59,548048140.26
2017-12-08,1094.93,1802.15,1252.45,1396.46,721670.73,1007786488.65
2017-12-09,1267.63,1508.09,1396.51,1379.84,374809.36,517178567.68
2017-12-10,1256.57,1445.57,1379.52,1296.63,319424.1,414175369.08
2017-12-11,1344.29,1543.07,1296.25,1409.54,319038.68,449698825.16
2017-12-12,1435.39,1636.13,1409.61,1613.06,339248.49,547228792.82
2017-12-13,1479.66,1643.34,1615.45,1591.55,315591.82,502279545.84
2017-12-14,1561.3,2053.26,1572.91,1933.27,220803.74,409667501.78
2017-12-15,1617.71,2082.65,1943.21,1806.26,367490.08,663781753.6
2017-12-16,1755.22,2085.44,1805.15,1783.07,252349.94,449958569.8
2017-12-17,1747.56,1884.07,1783.18,1842.7,231331.03,426273890.59
2017-12-18,1750.39,2311.36,1827.41,2146.79,203611.05,418792732.06
2017-12-19,1946.88,2947.49,2153.23,2717.93,553346.21,1503953979.23
2017-12-20,2665.55,4112.39,2670.97,3715.91,545546.68,1915071070.77
2017-12-21,2857.3,3717.55,3715.91,3084.09,242943.03,787854447.7
2017-12-22,1716.84,3163.97,3084.09,2521.46,397962.38,959174529.93
2017-12-23,2466.89,3249.32,2521.45,2991.57,189040.5,562467930.34
2017-12-24,2463.15,2997.03,2991.58,2797.92,164197.45,439830450.44
2017-12-25,2734.88,2852.47,2822.8,2748.71,186913.35,513771428.47
2017-12-26,2749.52,3145.01,2748.06,2938.6,215418.28,633027821.56
2017-12-27,2684.04,2881.37,2937.11,2708.7,214052.6,579805058.48
2017-12-28,2452.1,2575.93,2708.65,2492.41,215465.03,537028266.28
2017-12-29,2373.33,2861.24,2492.37,2616.57,238241.77,623376083.73
2017-12-30,2103.91,2634.36,2622.42,2209.96,95886.67,221420859.69
2017-12-31,2367.03,2566.48,2206.95,2373.96,215055.0,510531658.12
2018-01-01,2303.11,2410.67,2373.97,2317.9,186634.51,432599629.06
2018-01-02,2499.35,2916.89,2317.9,2549.51,271690.87,692679585.45
2018-01-03,2558.44,2788.82,2549.51,2561.47,235497.53,603219570.86
2018-01-04,2343.8,2566.95,2561.45,2343.8,205117.51,480755312.61
2018-01-05,2365.19,2702.59,2343.8,2387.23,275054.57,656619352.91
2018-01-06,2345.74,2763.02,2387.23,2524.33,262172.75,661810039.88
2018-01-07,2380.67,2682.51,2526.37,2531.59,216193.65,547314322.34
2018-01-08,2306.33,2453.1,2531.61,2400.68,232765.3,558795012.28
2018-01-09,2262.87,2391.64,2400.68,2374.28,177570.46,421602142.7
2018-01-10,2291.94,2944.89,2376.68,2856.93,164422.06,428980394.88
2018-01-11,2341.77,2952.68,2856.94,2437.92,144720.16,370363445.96
2018-01-12,2520.48,2661.66,2444.69,2604.91,167129.42,435357424.69
2018-01-13,2587.97,2803.05,2604.91,2669.16,144869.99,386681282.18
2018-01-14,2521.78,2604.98,2669.35,2524.51,149501.35,377417714.83
2018-01-15,2243.82,2534.19,2524.51,2397.87,196934.23,472221752.95
2018-01-16,1525.13,2411.97,2394.02,1761.61,211689.81,413640550.4
2018-01-17,1342.05,1903.53,1760.95,1748.8,168430.05,275433374.11
2018-01-18,1703.15,1835.02,1754.78,1712.09,221087.92,378522342.67
2018-01-19,1759.37,1883.81,1712.09,1765.13,154548.95,272799549.44
2018-01-20,1880.52,2114.46,1765.14,2024.98,211927.92,429148972.08
2018-01-21,1725.56,1838.75,2024.91,1779.84,142913.13,254363107.39
2018-01-22,1588.65,1676.25,1779.85,1610.28,157728.63,253987578.19
2018-01-23,1600.5,1652.62,1610.28,1618.96,121450.62,196623949.95
2018-01-24,1658.35,1712.07,1618.3,1659.49,131760.63,218655935.92
2018-01-25,1609.33,1659.62,1659.36,1636.15,115262.38,188586239.67
2018-01-26,1583.46,1634.54,1636.15,1595.67,156356.11,249493307.54
2018-01-27,1628.42,1665.1,1595.69,1636.45,135850.89,222312725.42
2018-01-28,1676.9,1758.1,1636.54,1753.39,143576.09,251745348.5
2018-01-29,1649.14,1680.6,1752.22,1651.39,85955.22,141945646.63
2018-01-30,1463.53,1526.2,1651.45,1471.62,142777.49,210113789.5
2018-01-31,1475.74,1521.76,1471.64,1490.05,145598.03,216948854.49
2018-02-01,1249.63,1338.95,1490.05,1269.68,179801.54,228290508.49
2018-02-02,968.68,1269.81,1267.99,1192.13,125569.3,143714769.61
2018-02-03,1197.11,1291.48,1194.29,1280.38,143421.43,183633323.58
2018-02-04,1089.71,1158.75,1280.38,1157.1,165240.72,191200275.06
2018-02-05,827.38,1175.17,1158.63,884.0,110686.53,106539840.76
2018-02-06,758.43,977.59,884.28,966.79,171195.13,148384673.61
2018-02-07,916.44,975.66,967.28,953.65,370415.72,353245333.4
2018-02-08,1016.06,1348.97,956.06,1279.58,580100.71,742285777.57
2018-02-09,1293.22,1403.67,1279.36,1300.18,326944.19,425085016.97
2018-02-10,1231.41,1319.67,1300.18,1244.26,203503.82,253211847.85
2018-02-11,1173.08,1246.65,1243.41,1209.46,180835.58,218712976.71
2018-02-12,1279.66,1334.91,1209.46,1284.11,137607.83,176704141.98
2018-02-13,1205.66,1249.23,1284.1,1222.75,121889.53,149039830.3
2018-02-14,1318.5,1415.26,1222.75,1358.34,133550.38,181407310.36
2018-02-15,1310.22,1392.66,1353.19,1359.47,60927.45,82442472.88
2018-02-16,1355.45,1547.53,1359.47,1530.44,93378.64,138109049.14
2018-02-17,1541.4,1675.68,1529.33,1545.84,136176.21,210506816.71
2018-02-18,1433.41,1528.21,1545.84,1451.12,164448.02,238633833.64
2018-02-19,1527.5,1597.95,1451.24,1528.62,140645.87,214993762.94
2018-02-20,1395.8,1552.26,1528.62,1396.92,253137.38,353613418.92
2018-02-21,1269.28,1407.46,1393.76,1287.06,77156.39,103151392.56
2018-02-22,1179.79,1214.25,1288.2,1205.39,119788.95,144392438.86
2018-02-23,1213.94,1299.41,1205.39,1258.71,122825.81,154602147.4
2018-02-24,1156.92,1209.33,1258.71,1181.19,116510.38,137620585.95
2018-02-25,1157.06,1189.73,1181.19,1173.39,110352.29,129486762.53
2018-02-26,1240.21,1280.49,1173.39,1244.34,120866.22,150399065.01
2018-02-27,1230.05,1287.26,1244.34,1232.17,111918.17,137902277.34
2018-02-28,1180.19,1205.0,1232.17,1198.8,105965.77,127031239.49
2018-03-01,1265.62,1336.66,1198.8,1278.74,117664.17,150461444.21
2018-03-02,1269.96,1298.67,1280.92,1273.27,114940.36,146350311.71
2018-03-03,1265.78,1324.25,1273.27,1269.22,103550.49,131427871.62
2018-03-04,1267.79,1290.8,1269.22,1283.89,92044.44,118175237.24
2018-03-05,1253.9,1291.66,1283.84,1257.34,84714.24,106514282.89
2018-03-06,1177.68,1209.89,1257.29,1203.44,115365.05,138835370.89
2018-03-07,1069.31,1116.96,1203.44,1092.14,131179.46,143266545.33
2018-03-08,1004.34,1043.47,1092.14,1032.29,128395.47,132541690.47
2018-03-09,926.69,1076.21,1033.96,1065.69,76018.18,74990482.15
2018-03-10,980.9,1011.69,1062.22,1002.01,110157.72,110379032.7
2018-03-11,1082.38,1163.52,1002.01,1140.61,139217.55,158792704.17
2018-03-12,1031.23,1092.49,1140.51,1050.43,120170.69,126231262.61
2018-03-13,994.61,1099.83,1051.06,1053.55,70300.42,73859997.65
2018-03-14,931.07,972.98,1054.33,945.04,131287.75,124071584.47
2018-03-15,923.58,952.52,944.87,941.77,118599.88,111694034.21
2018-03-16,921.1,1027.12,941.72,974.11,149509.51,145638387.04
2018-03-17,919.21,978.34,974.11,947.59,136064.89,128933823.0
2018-03-18,929.98,991.6,947.5,934.91,127636.01,119328503.75
2018-03-19,912.28,1000.07,936.28,994.67,61104.15,58729088.37
2018-03-20,1017.85,1081.19,994.25,1061.56,132508.73,140666562.38
2018-03-21,1021.24,1063.12,1061.54,1031.93,99266.94,102436963.22
2018-03-22,987.44,1065.19,1031.75,1015.19,37921.37,38596693.88
2018-03-23,1024.82,1048.05,1012.97,1031.97,68997.59,71203401.55
2018-03-24,968.5,990.72,1032.05,975.33,58970.89,57516293.15
2018-03-25,964.21,978.61,974.52,971.83,61756.1,60016723.88
2018-03-26,907.34,939.13,971.8,913.05,124840.14,113984840.4
2018-03-27,869.08,903.44,913.04,876.11,115982.77,101613833.5
2018-03-28,856.47,902.64,876.1,861.25,130247.58,112175493.31
2018-03-29,696.55,869.29,861.16,711.13,111162.53,84465419.21
2018-03-30,675.11,772.11,711.13,696.93,93871.58,66701444.54
2018-03-31,681.18,719.37,696.34,684.31,134917.01,92324861.26
2018-04-01,643.73,684.27,684.17,644.89,163361.84,105350930.87
2018-04-02,661.76,683.26,644.94,663.6,145266.43,96398436.88
2018-04-03,693.99,724.84,663.6,710.35,142027.57,100888910.11
2018-04-04,636.5,654.42,710.35,648.9,142077.55,92194655.7
2018-04-05,631.31,652.63,648.84,642.72,122139.4,78500957.91
2018-04-06,606.49,628.25,642.78,611.0,122967.78,75133837.1
2018-04-07,631.47,644.61,611.0,641.02,143700.91,92114715.3
2018-04-08,652.61,658.82,640.95,656.42,120202.78,78903274.6
2018-04-09,631.77,649.15,656.42,638.62,123243.57,78706202.04
2018-04-10,645.06,657.42,638.62,652.55,103410.6,67480123.53
2018-04-11,655.15,670.57,652.55,670.57,115112.94,77191510.29
2018-04-12,658.67,740.82,670.06,737.84,84689.75,59525564.71
2018-04-13,733.59,762.19,737.2,742.67,136521.54,101391042.19
2018-04-14,732.21,754.76,742.64,740.48,86443.72,64009644.63
2018-04-15,769.91,792.1,740.48,785.32,126006.74,98955416.17
2018-04-16,754.0,773.15,785.4,768.47,152574.18,117248210.89
2018-04-17,749.23,764.04,768.47,760.0,146675.48,111473538.2
2018-04-18,784.02,895.16,760.0,888.61,221146.38,196513030.69
2018-04-19,888.29,991.24,888.61,973.8,203824.25,198484765.18
2018-04-20,943.09,1151.3,966.63,1124.67,144807.61,154352797.77
2018-04-21,1017.6,1188.67,1125.29,1154.45,138996.4,154795305.47
2018-04-22,1110.28,1260.13,1154.45,1195.64,120249.99,144092452.68
2018-04-23,1193.33,1457.29,1195.64,1440.95,226026.87,309318983.37
2018-04-24,1391.21,1569.35,1440.95,1407.55,246119.9,366818528.51
2018-04-25,1226.87,1438.2,1407.56,1289.86,289587.91,381199575.56
2018-04-26,1244.39,1425.93,1289.86,1421.87,130722.16,174556815.17
2018-04-27,1327.82,1423.32,1421.25,1331.97,91531.02,127133720.06
2018-04-28,1393.37,1412.07,1333.62,1394.3,142387.72,198531792.75
2018-04-29,1401.65,1461.85,1394.08,1439.28,177789.51,255888373.92
2018-04-30,1342.87,1415.94,1439.32,1348.42,157871.42,212877613.22
2018-05-01,1266.28,1355.24,1348.39,1354.33,157108.25,212776443.87
2018-05-02,1361.75,1500.23,1354.33,1457.76,206154.93,300524988.2
2018-05-03,1488.07,1619.63,1457.76,1511.46,226797.55,342794450.6
2018-05-04,1475.31,1531.57,1511.64,1516.05,180510.95,273663453.0
2018-05-05,1530.05,1753.55,1516.17,1753.55,258128.89,452643151.5
2018-05-06,1635.48,1843.66,1758.59,1756.57,141139.03,245512548.39
2018-05-07,1562.58,1779.2,1756.57,1651.39,109780.2,179642018.72
2018-05-08,1550.7,1694.87,1651.39,1599.52,82318.43,132524367.42
2018-05-09,1459.67,1676.39,1599.52,1626.63,101081.14,158636690.72
2018-05-10,1511.99,1603.22,1628.47,1523.74,175726.02,267759977.41
2018-05-11,1309.56,1556.67,1519.84,1367.01,178033.35,250733936.31
2018-05-12,1269.17,1503.59,1367.01,1458.55,137793.68,192556727.8
2018-05-13,1464.06,1503.25,1459.95,1483.22,158542.12,235153007.79
2018-05-14,1329.13,1493.79,1478.75,1412.97,115812.58,163658298.77
2018-05-15,1310.74,1453.09,1412.97,1337.53,96570.2,133975697.39
2018-05-16,1216.59,1355.91,1337.53,1280.11,102588.55,129995294.09
2018-05-17,1166.47,1344.04,1280.11,1192.88,85008.97,106796700.65
2018-05-18,1130.38,1218.3,1192.88,1203.32,90815.42,107567516.41
2018-05-19,1164.79,1206.04,1204.19,1179.64,140908.97,166222043.37
2018-05-20,1215.95,1309.82,1179.64,1292.75,163091.42,210836351.66
2018-05-21,1223.38,1280.63,1292.78,1233.48,136306.08,168130649.77
2018-05-22,1122.38,1230.02,1229.05,1135.15,74018.63,86991398.5
2018-05-23,968.43,1152.58,1135.14,994.37,140489.8,146261127.48
2018-05-24,945.77,1080.37,994.24,1073.9,107273.58,109144652.25
2018-05-25,985.4,1074.99,1073.9,1016.45,77381.87,79498329.86
2018-05-26,990.73,1015.0,1013.66,1008.38,138519.35,139679965.68
2018-05-27,988.75,1010.83,1008.38,996.85,143590.41,143137517.52
