datetime,low,high,open,close,volumefrom,volumeto
2017-08-14,1.197,3.291,2.966,1.586,1076.96,1707.57
2017-08-15,1.092,1.519,1.586,1.43,2063.32,2950.0
2017-08-16,1.341,2.26,1.43,2.26,1311.2,2963.77
2017-08-17,1.204,2.252,2.26,1.934,908.63,1756.96
2017-08-24,2.274,2.829,2.723,2.41,8699.54,20968.72
2017-08-25,2.392,3.268,2.41,2.571,6782.49,17436.68
2017-08-26,2.132,2.656,2.571,2.457,4293.16,10546.18
2017-08-27,1.67,2.567,2.457,1.931,5109.31,9864.72
2017-08-28,1.843,2.361,1.931,1.877,1847.19,3467.85
2017-08-29,1.936,2.234,1.877,2.085,3951.14,8238.76
2017-08-30,2.008,3.263,2.085,2.265,6930.43,15695.86
2017-08-31,2.066,2.66,2.265,2.097,2563.55,5375.72
2017-09-01,2.078,2.544,2.097,2.349,2316.1,5439.41
2017-09-02,1.86,2.808,2.349,2.029,4771.85,9681.86
2017-09-03,1.621,2.908,2.029,1.824,8300.52,15142.48
2017-09-04,0.7957,1.572,1.824,1.347,16888.22,22741.78
2017-09-05,0.8743,1.41,1.347,1.017,8643.72,8794.19
2017-09-06,0.1796,32.54,1.017,0.9829,19848.7,19508.65
2017-09-07,0.9726,3.22,0.9829,1.38,242870.95,335092.01
2017-09-08,0.9662,1.325,1.38,1.015,2999287.5,3044086.3
2017-09-09,0.8807,1.033,1.015,0.9594,1187693.57,1139436.18
2017-09-10,0.9066,1.016,0.9594,0.9425,955568.75,900634.54
2017-09-11,0.9239,1.099,0.9425,1.013,1072252.13,1086543.05
2017-09-12,0.9879,1.173,1.013,1.046,1703952.27,1781525.55
2017-09-13,0.8854,0.9806,1.046,0.9359,852749.16,798109.36
2017-09-14,0.6471,0.7678,0.9359,0.6699,1306156.8,874950.4
2017-09-15,0.6622,0.8651,0.6699,0.8117,1556710.28,1263543.42
2017-09-16,0.7482,0.9009,0.8117,0.8044,999802.91,804284.34
2017-09-17,0.7752,0.8331,0.8044,0.7842,616306.04,483334.31
2017-09-18,0.8545,0.9524,0.7842,0.8974,714281.02,640960.42
2017-09-19,0.7799,0.8742,0.8974,0.8009,731475.4,585831.33
2017-09-20,0.7409,0.8297,0.8009,0.7463,550807.9,411084.42
2017-09-21,0.6663,0.7218,0.7463,0.6908,540363.21,373295.66
2017-09-22,0.6865,0.7283,0.6908,0.7149,550709.9,393721.15
2017-09-23,0.7669,0.8126,0.7149,0.7703,496744.12,382636.47
2017-09-24,0.7359,0.7842,0.7703,0.7783,641685.53,499411.27
2017-09-25,0.7965,0.9392,0.7783,0.918,726300.75,666738.69
2017-09-26,0.8399,0.9193,0.918,0.859,919986.89,790261.97
2017-09-27,0.9039,1.23,0.859,1.153,1063587.33,1226739.89
2017-09-28,1.102,1.449,1.153,1.369,1649808.74,2258296.43
2017-09-29,1.15,1.345,1.369,1.255,986646.26,1238118.34
2017-09-30,1.227,1.333,1.255,1.28,689721.76,882711.97
2017-10-01,1.263,1.55,1.28,1.522,775820.71,1181175.82
2017-10-02,1.478,2.004,1.522,1.973,1328404.71,2621593.0
2017-10-03,1.685,1.995,1.973,1.837,1017444.04,1868987.67
2017-10-04,1.503,1.849,1.837,1.622,707203.44,1146900.67
2017-10-05,1.443,1.743,1.622,1.674,618390.37,1035227.68
2017-10-06,1.556,1.801,1.674,1.556,559621.26,871022.42
2017-10-07,1.504,1.633,1.556,1.566,432459.64,677075.16
2017-10-08,1.216,1.609,1.566,1.216,761530.32,926246.05
2017-10-09,1.167,147.52,1.216,1.427,1288344.34,1839032.51
2017-10-10,1.338,1.488,1.427,1.422,791522.03,1125672.47
2017-10-11,1.363,1.469,1.422,1.439,534350.75,768708.97
2017-10-12,1.278,1.439,1.439,1.345,579168.93,778884.68
2017-10-13,1.273,1.515,1.345,1.502,998130.82,1499117.6
2017-10-14,1.295,1.521,1.502,1.508,339157.56,511464.29
2017-10-15,1.404,1.674,1.508,1.548,644291.88,997536.5
2017-10-16,1.344,1.556,1.548,1.437,320506.74,460628.76
2017-10-17,1.315,1.391,1.437,1.386,170922.71,236945.69
2017-10-18,1.311,1.411,1.386,1.331,251028.42,334191.84
2017-10-19,1.245,1.353,1.331,1.265,304085.92,384666.3
2017-10-20,1.216,194.97,1.265,1.222,224702.73,274590.91
2017-10-21,1.198,1.255,1.222,1.243,189413.0,235465.46
2017-10-22,1.176,46.19,1.243,1.218,217979.37,265599.21
2017-10-23,1.141,1.241,1.218,1.198,324188.23,388420.94
2017-10-24,1.127,1.334,1.198,1.245,839461.03,1045380.82
2017-10-25,1.185,1.26,1.245,1.259,338412.62,426226.46
2017-10-26,1.138,1.256,1.259,1.221,262522.54,320662.57
2017-10-27,1.115,1.225,1.221,1.183,341176.51,403534.28
2017-10-28,1.144,1.197,1.206,1.182,118651.37,140269.71
2017-10-29,1.155,1.236,1.182,1.231,244809.38,301448.97
2017-10-30,1.167,1.363,1.231,1.331,347670.18,462713.69
2017-10-31,1.254,1.382,1.331,1.329,351276.71,466858.09
2017-11-01,1.201,1.288,1.329,1.268,297873.68,377602.43
2017-11-02,1.191,1.385,1.268,1.297,653624.12,847535.39
2017-11-03,1.372,1.492,1.297,1.461,335013.48,489365.74
2017-11-04,1.385,1.695,1.461,1.638,609438.54,998027.72
2017-11-05,1.452,1.617,1.637,1.52,285764.04,434348.8
2017-11-06,1.464,1.692,1.52,1.573,526115.53,827656.54
2017-11-07,1.498,1.824,1.573,1.795,529792.3,950879.7
2017-11-08,1.768,2.045,1.795,2.029,1056517.1,2143480.22
2017-11-09,1.95,2.126,2.029,2.052,693075.47,1422341.4
2017-11-10,1.656,1.906,2.052,1.826,748954.16,1367357.37
2017-11-11,1.658,2.011,1.826,1.681,492982.16,828457.53
2017-11-12,1.463,1.712,1.681,1.542,1260626.96,1944316.39
2017-11-13,1.535,1.721,1.542,1.696,389391.38,660288.63
2017-11-14,1.557,1.834,1.696,1.557,460482.99,716871.96
2017-11-15,1.477,1.637,1.557,1.551,728809.59,1130149.29
2017-11-16,1.529,1.718,1.551,1.572,656114.82,1031407.83
2017-11-17,1.494,1.598,1.572,1.508,427194.82,644209.41
2017-11-18,1.562,1.699,1.508,1.657,371076.77,614869.38
2017-11-19,1.573,1.739,1.657,1.609,366156.94,589210.52
2017-11-20,1.589,1.674,1.609,1.609,417064.17,670944.16
2017-11-21,1.532,1.626,1.629,1.586,379150.27,601441.52
2017-11-22,1.58,1.691,1.586,1.609,596551.33,959880.32
2017-11-23,1.48,1.73,1.609,1.556,533245.54,829699.87
2017-11-24,1.669,2.053,1.572,1.723,679722.7,1171288.02
2017-11-25,1.626,1.963,1.713,1.895,590587.78,1118974.61
2017-11-26,1.807,2.005,1.894,1.872,406487.81,761058.45
2017-11-27,1.747,1.948,1.872,1.948,419846.18,818063.56
2017-11-28,1.751,1.951,1.948,1.916,461743.33,884870.93
2017-11-29,1.501,1.838,1.917,1.776,2600668.67,4618605.77
2017-11-30,1.775,2.019,1.775,1.979,1140215.71,2256985.39
2017-12-01,2.016,2.177,1.976,2.069,484359.07,1002266.37
2017-12-02,2.0,2.084,2.069,2.079,254529.68,529202.43
2017-12-03,2.082,2.4,2.079,2.266,491521.82,1113748.02
2017-12-04,2.29,2.587,2.292,2.568,662902.22,1702409.13
2017-12-05,2.449,2.687,2.547,2.582,698732.14,1803896.17
2017-12-06,2.324,2.651,2.582,2.585,980013.0,2533071.59
2017-12-07,2.696,3.522,2.585,2.715,3515345.0,9542702.6
2017-12-08,2.343,2.998,2.712,2.816,3898886.0,10980649.24
2017-12-09,2.46,2.688,2.818,2.687,2341519.0,6290863.14
2017-12-10,2.364,2.756,2.686,2.515,1615487.0,4062874.2
2017-12-11,2.52,2.891,2.514,2.727,2126416.0,5799571.28
2017-12-12,2.647,3.712,2.671,2.684,754621.21,2025292.97
2017-12-13,2.657,3.179,2.702,2.776,784148.38,2176863.65
2017-12-14,2.587,3.236,2.776,3.199,1497441.54,4791041.06
2017-12-15,3.15,331.05,3.199,4.16,1025604.49,4266885.54
2017-12-16,3.799,4.781,4.159,4.703,886135.79,4167434.63
2017-12-17,4.79,6.862,4.643,6.094,1221352.18,7443012.53
2017-12-18,5.418,6.76,6.101,6.038,1025435.7,6191555.31
2017-12-19,5.541,6.439,6.039,5.785,1547702.48,8953458.85
2017-12-20,4.957,5.431,5.78,5.159,3515159.0,18135342.92
2017-12-21,4.785,5.315,5.169,5.185,4627948.0,23996716.59
2017-12-22,4.125,4.691,5.191,4.395,3373797.0,14826671.67
2017-12-23,4.545,4.967,4.397,4.823,3192408.0,15396390.32
2017-12-24,4.289,5.584,4.879,5.287,4475902.0,23664393.0
2017-12-25,5.424,7.044,5.328,6.544,872120.59,5707520.82
