datetime,low,high,open,close,volumefrom,volumeto
2018-11-19,65.2,72.9,71.0,70.0,320.75,22546.88
2018-11-20,47.22,61.52,66.28,51.61,612997.52,31639151.14
2018-11-21,50.34,56.45,51.75,52.41,252471.83,13231186.77
2018-11-22,41.23,50.64,52.41,42.72,222525.78,9506943.05
2018-11-23,38.04,63.59,42.74,54.73,673596.53,36863979.27
2018-11-24,45.25,63.13,54.73,58.51,798162.64,46696816.38
2018-11-25,60.46,104.31,58.62,90.41,1141672.38,103222832.06
2018-11-26,83.37,126.18,90.42,116.98,1141145.22,133493081.42
2018-11-27,84.83,128.64,116.84,95.92,708931.49,67999871.34
2018-11-28,86.12,114.52,95.5,99.43,762750.37,75837207.61
2018-11-29,91.14,104.0,99.51,98.17,322248.65,31633603.5
2018-11-30,90.18,100.64,98.17,94.67,391658.73,37077669.56
2018-12-01,92.3,99.14,94.67,93.44,177732.03,16606473.91
2018-12-02,90.09,102.27,93.44,99.83,278553.64,27806780.74
2018-12-03,90.13,94.27,99.83,94.04,177128.96,16656596.11
2018-12-04,89.63,95.91,94.04,89.87,127451.8,11453646.47
2018-12-05,81.52,89.81,89.87,85.85,201439.29,17293777.4
2018-12-06,79.85,105.29,85.85,103.06,607040.02,62559585.3
2018-12-07,95.09,116.98,103.06,103.47,652329.93,67498040.71
2018-12-08,96.7,106.39,103.47,98.36,177163.83,17426473.77
2018-12-09,95.21,102.29,98.36,97.19,148624.85,14444302.53
2018-12-10,92.95,98.47,97.19,94.72,113132.73,10716250.22
2018-12-11,46.22,93.15,94.72,89.48,99077.98,8865580.5
2018-12-12,88.67,91.98,89.48,88.74,97953.89,8692733.95
2018-12-13,77.27,84.48,88.74,78.2,149445.08,11686441.25
2018-12-14,70.05,79.88,78.2,70.24,210081.94,14756632.52
2018-12-15,65.36,72.99,70.24,68.08,224687.66,15295985.57
2018-12-16,67.94,80.51,68.08,77.8,302560.38,23540209.02
2018-12-17,79.94,88.39,77.8,82.18,230334.25,18927965.85
2018-12-18,81.12,89.33,82.18,85.13,224811.88,19138263.11
2018-12-19,83.4,94.05,85.13,86.61,341147.63,29547818.72
2018-12-20,94.59,126.28,86.61,112.05,633048.81,70931747.22
2018-12-21,102.3,124.49,112.05,108.62,646163.89,70186868.77
2018-12-22,107.72,119.46,108.62,110.23,276424.3,30471021.81
2018-12-23,104.24,112.89,110.23,107.81,195644.01,21091450.82
2018-12-24,102.01,111.36,107.81,102.87,200972.7,20673084.92
2018-12-25,90.27,96.79,102.87,94.1,268234.94,25242054.34
2018-12-26,93.22,100.07,94.1,94.68,168964.35,15997542.63
2018-12-27,84.15,93.41,94.68,85.25,110095.95,9385193.58
2018-12-28,89.18,94.91,85.25,94.12,119070.13,11206521.33
2018-12-29,87.37,90.9,94.12,89.34,89639.54,8008828.73
2018-12-30,89.03,91.68,89.34,89.22,55839.76,4982202.58
2018-12-31,84.77,86.49,89.22,84.99,56294.48,4784513.18
2019-01-01,87.54,98.83,84.99,92.7,145003.22,13441332.09
2019-01-02,93.52,96.21,92.7,95.38,127319.86,12143910.95
2019-01-03,87.19,94.09,95.38,88.61,125516.22,11121787.16
2019-01-04,87.52,90.81,88.61,87.98,114887.5,10107791.06
2019-01-05,86.67,91.84,87.98,88.87,119982.49,10662452.68
2019-01-06,90.43,95.39,88.87,90.84,113407.66,10301622.84
2019-01-07,87.61,89.72,90.84,88.42,85465.44,7556874.03
2019-01-08,86.51,88.94,88.42,87.93,91798.04,8071500.56
2019-01-09,86.51,88.38,87.93,87.4,50006.33,4370736.3
2019-01-10,73.62,81.54,87.4,75.78,180621.01,13688178.83
2019-01-11,73.68,75.88,75.78,74.81,152894.42,11438794.2
2019-01-12,74.64,85.64,74.81,82.96,276155.38,22910282.01
