datetime,low,high,open,close,volumefrom,volumeto
2019-06-19,9271.26,9280.54,9072.63,9280.54,6.11,56704.1
2019-06-20,9527.31,9536.85,9280.54,9527.31,7.874,75018.06
2019-06-21,10208.65,10218.87,9527.31,10208.65,6.072,61986.93
2019-06-22,10678.85,10689.54,10208.65,10689.54,5.794,61935.19
2019-06-23,10855.99,10855.99,10689.54,10855.99,3.753,40742.53
2019-06-24,11024.7,11035.74,10855.99,11035.74,9.545,105336.14
2019-06-25,11728.6,11740.34,11035.74,11740.34,5.378,63139.55
2019-06-26,12900.37,12913.28,11740.34,12900.37,3.55,45796.3
2019-06-27,11142.94,11154.09,12900.37,11154.09,10.41,116114.08
2019-06-28,12342.7,12355.06,11154.09,12342.7,5.995,73994.52
2019-06-29,11872.22,11884.1,12342.7,11872.22,3.507,41635.86
2019-06-30,10758.28,10769.05,11872.22,10769.05,1.164,12535.17
2019-07-01,10581.28,10591.87,10769.05,10591.87,1.591,16851.67
2019-07-02,10833.29,10844.13,10591.87,10833.29,2.464,26693.22
2019-07-03,11969.63,11981.61,10833.29,11969.63,4.35,52067.88
2019-07-04,11145.36,11156.52,11969.63,11156.52,0.544,6069.15
2019-07-05,10982.26,10993.25,11156.52,10993.25,1.282,14093.35
2019-07-06,11237.69,11248.94,10993.25,11237.69,1.463,16440.74
2019-07-07,11462.81,11474.28,11237.69,11462.81,0.601,6889.15
2019-07-08,12283.86,12296.16,11462.81,12283.86,3.124,38374.79
2019-07-09,12554.45,12567.02,12283.86,12554.45,2.557,32101.74
2019-07-10,12087.02,12099.12,12554.45,12097.91,5.231,63284.17
2019-07-11,11341.99,11343.12,12097.91,11341.99,0.893,10128.39
2019-07-12,11796.19,11797.37,11341.99,11796.19,2.091,24665.83
2019-07-13,11362.83,11363.97,11796.19,11362.83,2.058,23384.71
2019-07-14,10203.39,10204.41,11362.83,10203.39,1.926,19651.73
2019-07-15,10849.17,10850.26,10203.39,10850.26,6.213,67412.67
2019-07-16,9422.5,9423.44,10850.26,9423.44,11.6,109311.9
2019-07-17,9695.18,9696.15,9423.44,9696.15,29.34,284485.04
2019-07-18,10637.29,10638.35,9696.15,10638.35,4.407,46883.21
2019-07-19,10531.89,10532.94,10638.35,10532.94,7.572,79755.42
2019-07-20,10758.34,10759.42,10532.94,10759.42,2.913,31342.19
2019-07-21,10585.65,10586.71,10759.42,10586.71,1.228,13000.48
2019-07-22,10324.84,10325.87,10586.71,10324.84,0.111,1146.06
2019-07-23,9853.16,9854.15,10324.84,9853.16,1.347,13272.21
2019-07-24,9771.16,9772.14,9853.16,9772.14,4.269,41717.27
2019-07-25,9881.44,9882.43,9772.14,9882.43,0.549,5425.45
2019-07-26,9846.47,9847.45,9882.43,9847.45,0.179,1762.69
2019-07-27,9477.37,9478.32,9847.45,9478.32,0.383,3630.2
2019-07-28,9530.82,9531.77,9478.32,9530.82,2.366,22549.91
2019-07-29,9505.98,9506.93,9530.82,9506.93,1.155,10980.5
2019-07-30,9594.56,9595.52,9506.93,9595.52,0.709,6803.22
2019-07-31,10088.24,10089.25,9595.52,10088.24,0.848,8554.83
2019-08-01,10404.59,10409.79,10088.24,10408.75,0.2731,2842.63
2019-08-02,10527.94,10528.99,10408.75,10527.94,4.985,52481.77
2019-08-03,10817.16,10820.41,10527.94,10819.33,1.154,12485.5
