datetime,low,high,open,close,volumefrom,volumeto
2015-09-21,225.0,231.63,231.09,226.33,53425.18,12180039.21
2015-09-22,224.07,233.24,226.33,230.01,71545.59,16390021.59
2015-09-23,228.5,232.2,230.01,229.89,43602.2,10064288.46
2015-09-24,229.57,235.84,229.89,233.76,72124.09,16797644.6
2015-09-25,232.7,237.58,233.76,235.03,61574.99,14510987.84
2015-09-26,232.74,235.71,235.03,234.3,40288.81,9449846.08
2015-09-27,231.84,234.75,234.3,232.5,36139.39,8429802.53
2015-09-28,232.37,240.39,232.5,238.87,64274.87,15282768.65
2015-09-29,234.8,240.39,238.87,236.71,57296.63,13637645.5
2015-09-30,234.39,237.83,236.71,235.93,50515.18,11946864.9
2015-10-01,234.7,238.66,235.93,237.05,52884.47,12534482.83
2015-10-02,235.14,238.45,237.05,236.71,47941.6,11378441.69
2015-10-03,236.07,239.52,236.71,238.58,43304.67,10338780.01
2015-10-04,237.51,277.58,238.58,238.33,31854.49,7618430.27
2015-10-05,236.41,240.53,238.33,240.15,61240.52,14631928.87
2015-10-06,239.36,247.61,240.15,246.14,78843.88,19242190.45
2015-10-07,241.65,247.28,246.14,242.98,62600.8,15363142.53
2015-10-08,241.57,244.79,242.98,242.58,44153.62,10762328.45
2015-10-09,241.34,244.56,242.58,244.04,40572.8,9897714.74
2015-10-10,242.89,245.93,244.04,245.35,38960.98,9547124.76
2015-10-11,244.47,248.26,245.35,247.65,41425.58,10232454.52
2015-10-12,244.65,248.02,247.65,245.35,40389.34,9961674.07
2015-10-13,243.11,251.19,245.35,248.78,74881.9,18553307.06
2015-10-14,248.28,255.06,248.78,252.33,69581.72,17511356.73
2015-10-15,251.17,256.76,252.33,254.44,60635.46,15465023.84
2015-10-16,253.93,267.27,254.44,262.87,95178.55,24886162.93
2015-10-17,261.74,275.41,262.87,269.58,113842.13,30715446.42
2015-10-18,259.53,272.44,269.58,261.67,52264.98,13921233.73
2015-10-19,259.89,265.95,261.67,263.82,58169.97,15352671.06
2015-10-20,262.7,272.12,263.82,269.75,75401.79,20200355.34
2015-10-21,263.54,272.17,269.75,267.11,59638.03,16006977.1
2015-10-22,266.8,278.74,267.11,274.42,93154.36,25481882.58
2015-10-23,273.17,279.77,274.42,276.92,69321.79,19221822.38
2015-10-24,277.01,283.05,276.92,282.56,60132.74,16875626.47
2015-10-25,281.75,295.56,282.56,287.86,113901.26,32946170.24
2015-10-26,279.62,287.62,287.86,285.15,73205.79,20794049.79
2015-10-27,285.09,298.43,285.15,294.66,105868.3,31003938.2
2015-10-28,294.02,307.46,294.66,303.54,116408.66,35117112.66
2015-10-29,300.16,318.48,303.54,313.63,138919.55,43194878.81
2015-10-30,310.82,334.92,313.63,327.12,156489.02,50796456.31
2015-10-31,304.6,333.25,327.12,311.24,105831.92,33762428.44
2015-11-01,304.72,324.34,311.24,322.95,73712.79,23427549.6
2015-11-02,319.75,365.75,322.95,359.28,223094.73,76864059.45
2015-11-03,354.58,416.78,359.28,396.49,421992.87,163481625.82
2015-11-04,368.62,492.8,396.49,400.89,517733.91,229673024.39
2015-11-05,366.08,447.24,400.89,382.7,302953.09,121763708.16
2015-11-06,348.84,396.35,382.7,369.81,255274.81,94921694.02
2015-11-07,368.98,391.75,369.81,385.09,103025.55,39495095.0
2015-11-08,365.49,389.78,385.09,371.56,94356.82,35907981.64
2015-11-09,360.17,385.11,371.56,380.22,125535.36,47074440.94
2015-11-10,323.21,381.38,380.22,336.69,210288.65,74896052.37
2015-11-11,292.38,341.76,336.69,304.71,263962.67,83078426.53
2015-11-12,306.07,346.13,304.71,333.85,164613.86,54120828.19
2015-11-13,323.91,341.79,333.85,333.77,97247.84,32480298.94
2015-11-14,326.35,369.8,333.77,331.77,71109.3,23836097.89
2015-11-15,314.16,334.78,331.77,317.45,88318.89,28640663.53
2015-11-16,314.06,332.01,317.45,330.21,87141.33,28260517.56
2015-11-17,328.15,342.91,330.21,333.91,98247.88,32944787.48
2015-11-18,329.42,337.39,333.91,335.92,78355.69,26194853.26
2015-11-19,323.36,335.64,335.92,324.98,86374.86,28543062.16
2015-11-20,309.48,327.06,324.98,321.12,109984.76,35090324.43
2015-11-21,318.37,328.42,321.12,324.7,44997.78,14652996.7
2015-11-22,319.35,326.94,324.7,322.78,36748.64,11915632.14
2015-11-23,319.89,325.0,322.78,322.12,42733.54,13839023.95
2015-11-24,315.54,323.26,322.12,318.35,50660.16,16282941.39
2015-11-25,315.69,330.04,318.35,327.52,77684.42,25200934.79
2015-11-26,327.4,368.92,327.52,353.74,211376.8,73395832.57
2015-11-27,345.15,363.9,353.74,359.52,103479.86,36955394.2
2015-11-28,350.49,360.08,359.52,355.83,56171.07,19988111.49
2015-11-29,354.55,372.84,355.83,370.84,67365.88,24546100.04
2015-11-30,367.87,382.56,370.84,377.97,129767.07,48913368.38
2015-12-01,353.66,379.02,377.97,361.8,111904.7,40821470.73
2015-12-02,347.16,363.43,361.8,359.98,92449.73,32881089.02
2015-12-03,355.47,371.37,359.98,360.31,87225.21,31673283.3
2015-12-04,354.31,363.95,360.31,361.67,60548.44,21820610.2
2015-12-05,361.5,390.28,361.67,386.69,115198.52,43438102.1
2015-12-06,382.62,402.19,386.69,393.38,131856.64,52068577.43
2015-12-07,381.69,398.74,393.38,394.28,96750.51,38102878.77
2015-12-08,388.03,411.07,394.28,410.67,74361.57,29543120.08
2015-12-09,403.26,424.58,410.67,416.0,147362.83,61289838.7
2015-12-10,409.53,420.36,416.0,415.49,71661.75,29794270.99
2015-12-11,413.72,453.37,415.49,449.83,175058.38,76433917.46
2015-12-12,403.69,467.71,449.83,432.29,211440.71,91838640.61
2015-12-13,420.76,440.97,432.29,434.69,64139.63,27898250.74
2015-12-14,428.84,449.45,434.69,442.0,218923.82,97068568.78
2015-12-15,440.72,464.23,442.0,462.65,107064.22,48912227.87
2015-12-16,437.37,465.16,462.65,453.98,185221.17,84336145.39
2015-12-17,447.29,458.44,453.98,455.53,64574.94,29344348.08
2015-12-18,453.46,466.12,455.53,463.18,83409.95,38425211.05
2015-12-19,452.33,465.99,463.18,461.2,61309.41,28327900.15
2015-12-20,431.1,462.76,461.2,441.78,121531.64,54316484.95
2015-12-21,423.99,445.54,441.78,437.59,121990.88,53270215.6
2015-12-22,433.25,443.22,437.59,437.03,65785.54,28845536.39
2015-12-23,434.28,444.78,437.03,442.43,63247.04,27877349.1
2015-12-24,441.76,460.62,442.43,452.98,79604.01,36096662.15
2015-12-25,449.52,457.44,452.98,454.05,42390.82,19251958.85
2015-12-26,400.45,456.48,454.05,415.37,208582.27,88564770.72
2015-12-27,406.09,425.51,415.37,422.39,67581.91,28259303.48
2015-12-28,417.14,429.85,422.39,421.76,68345.44,28978639.73
2015-12-29,419.3,433.56,421.76,431.92,70645.37,30163445.65
2015-12-30,420.77,435.04,431.92,427.15,68269.9,29289416.54
2015-12-31,417.14,433.12,427.15,429.95,65213.47,27758278.73
2016-01-01,425.86,437.95,429.95,433.99,46973.12,20334286.58
2016-01-02,430.73,437.43,433.99,433.72,33570.39,14566820.95
2016-01-03,423.09,434.14,433.72,430.7,54826.26,23490162.61
2016-01-04,428.6,435.26,430.7,433.32,53007.87,22943968.22
2016-01-05,428.87,435.25,433.32,431.2,45029.87,19499588.99
2016-01-06,425.0,432.11,431.2,430.82,43432.03,18702334.67
2016-01-07,428.52,457.54,430.82,457.05,130197.44,58253615.03
2016-01-08,446.51,462.92,457.05,452.87,91304.61,41594025.32
2016-01-09,444.9,454.55,452.87,448.31,39809.95,17967113.95
2016-01-10,438.62,448.88,448.31,446.19,44457.28,19778456.68
2016-01-11,441.77,451.08,446.19,447.72,56587.4,25358480.83
2016-01-12,443.14,448.41,447.72,445.04,44585.93,19913400.66
2016-01-13,420.39,443.72,445.04,432.18,92040.06,39525195.32
2016-01-14,427.01,433.74,432.18,429.13,46172.51,19948730.59
2016-01-15,364.71,430.15,429.13,372.26,268141.73,107060613.39
2016-01-16,350.39,386.72,372.26,385.04,183962.03,68297105.65
2016-01-17,377.71,390.72,385.04,382.47,66089.34,25464382.4
2016-01-18,373.21,387.29,382.47,384.4,69301.33,26546465.91
2016-01-19,375.89,386.69,384.4,379.46,66345.24,25417876.87
2016-01-20,374.05,425.72,379.46,414.58,190316.94,76873917.15
2016-01-21,403.86,423.42,414.58,410.24,89938.22,37264942.18
2016-01-22,374.9,411.49,410.24,382.65,144856.97,56548790.09
2016-01-23,380.27,395.43,382.65,388.61,61383.14,23908533.75
2016-01-24,385.53,405.4,388.61,402.13,64535.73,25770175.58
2016-01-25,386.85,403.78,402.13,392.76,67659.06,26793044.72
2016-01-26,387.9,397.74,392.76,389.78,56805.12,22384754.5
2016-01-27,389.35,397.37,389.78,395.02,43678.72,17297117.36
2016-01-28,376.71,395.42,395.02,379.69,77319.55,29717813.05
2016-01-29,363.49,385.75,379.69,380.29,138455.81,51927041.84
2016-01-30,375.04,381.75,380.29,377.76,36179.6,13720656.84
2016-01-31,366.88,380.54,377.76,369.84,39019.71,14718855.75
2016-02-01,365.27,379.78,369.84,372.18,74346.01,27728088.91
2016-02-02,371.4,376.63,372.18,373.92,50981.07,19123252.48
2016-02-03,366.2,375.89,373.92,368.02,59813.05,22266682.14
2016-02-04,368.05,391.83,368.02,390.65,101868.7,38961905.49
2016-02-05,384.48,391.15,390.65,386.46,60917.35,23688228.07
2016-02-06,372.87,386.35,386.46,376.68,78850.1,29801286.8
2016-02-07,375.28,382.61,376.68,377.94,40743.17,15395728.35
2016-02-08,372.1,380.92,377.94,372.63,62236.23,23424062.52
2016-02-09,371.42,377.59,372.63,375.32,55358.89,20801701.37
2016-02-10,374.09,385.38,375.32,381.88,97487.81,37137791.06
2016-02-11,372.75,383.23,381.88,379.45,62653.08,23858467.37
2016-02-12,379.32,386.4,379.45,384.04,53759.93,20685663.27
2016-02-13,383.31,392.57,384.04,390.1,48158.05,18757146.48
2016-02-14,390.06,405.93,390.1,405.5,73589.64,29442484.67
2016-02-15,396.56,410.85,405.5,401.07,86127.28,34862753.81
2016-02-16,398.0,409.75,401.07,406.42,68330.32,27726590.05
2016-02-17,405.05,421.45,406.42,417.14,90323.21,37559686.21
2016-02-18,414.78,425.51,417.14,421.4,77346.22,32541108.12
2016-02-19,416.36,424.26,421.4,419.98,52240.27,21991480.98
2016-02-20,419.49,442.66,419.98,440.06,111626.76,48500793.67
2016-02-21,425.47,447.61,440.06,437.87,100499.03,44120520.96
2016-02-22,431.3,440.18,437.87,437.79,56010.22,24563748.2
2016-02-23,414.36,440.76,437.79,419.9,93717.62,39915706.29
2016-02-24,410.36,425.17,419.9,422.72,66506.84,28041199.85
2016-02-25,417.51,427.18,422.72,423.48,53541.45,22692099.41
2016-02-26,419.11,427.58,423.48,427.32,53212.34,22642013.92
2016-02-27,427.3,434.14,427.32,431.3,42792.33,18543436.43
2016-02-28,421.22,435.62,431.3,432.47,50847.07,21876091.34
2016-02-29,429.83,441.32,432.47,436.21,68773.52,30077319.62
2016-03-01,428.49,439.02,436.21,434.04,67461.59,29312670.84
2016-03-02,423.85,435.91,434.04,425.36,57744.55,24894311.79
2016-03-03,414.94,425.83,425.36,419.56,78902.45,33188751.08
2016-03-04,407.2,423.39,419.56,409.48,75267.61,31416610.3
2016-03-05,386.93,410.06,409.48,399.0,129149.15,51725937.08
2016-03-06,393.09,412.02,399.0,405.96,62593.92,25324456.27
2016-03-07,401.98,416.58,405.96,414.87,61774.07,25349627.97
2016-03-08,408.42,416.72,414.87,411.9,53769.8,22204517.93
2016-03-09,408.94,414.88,411.9,412.76,50919.66,21035428.97
2016-03-10,410.27,417.48,412.76,415.83,55735.81,23114636.62
2016-03-11,415.11,422.4,415.83,419.11,60632.19,25469781.33
2016-03-12,407.03,420.67,419.11,410.36,59635.49,24660321.63
2016-03-13,409.57,415.93,410.36,412.41,34977.81,14457108.0
2016-03-14,411.19,416.08,412.41,414.31,49332.82,20471909.73
2016-03-15,412.31,417.37,414.31,415.13,48596.63,20227610.88
2016-03-16,413.32,416.95,415.13,415.91,44535.24,18509954.18
2016-03-17,415.33,419.56,415.91,418.16,43820.66,18409340.68
2016-03-18,402.48,418.58,418.16,408.16,66068.03,27178165.73
2016-03-19,402.13,410.49,408.16,408.69,36997.54,15084656.26
2016-03-20,407.24,413.45,408.69,411.53,30543.21,12577521.63
2016-03-21,407.25,413.09,411.53,411.11,43159.26,17735457.25
2016-03-22,410.78,417.94,411.11,416.21,49075.11,20425092.47
2016-03-23,414.18,419.58,416.21,416.98,40605.05,16946522.38
2016-03-24,412.88,417.68,416.98,414.74,38828.43,16210672.62
2016-03-25,412.41,417.3,414.74,415.71,34588.15,14431200.38
2016-03-26,413.93,417.71,415.71,416.51,28056.64,11696306.67
2016-03-27,415.5,427.36,416.51,424.57,61724.4,26137150.51
2016-03-28,419.7,425.36,424.57,422.21,43444.76,18410749.99
2016-03-29,406.36,424.53,422.21,415.0,69113.03,28765857.05
2016-03-30,408.4,416.22,415.0,412.44,43282.31,17890792.61
2016-03-31,411.45,417.16,412.44,415.66,41840.9,17407273.19
2016-04-01,412.79,416.86,415.66,415.64,38218.91,15852511.01
2016-04-02,415.09,420.09,415.64,418.51,31309.25,13137339.89
2016-04-03,416.95,420.18,418.51,419.06,22798.16,9591214.82
2016-04-04,416.21,420.39,419.06,419.33,33436.9,14031939.65
2016-04-05,417.95,423.67,419.33,422.07,40886.78,17260368.39
2016-04-06,419.54,422.81,422.07,421.26,32667.23,13836754.91
2016-04-07,417.94,422.03,421.26,420.14,36056.99,15200495.86
