datetime,low,high,open,close,volumefrom,volumeto
2019-09-23,0.9927,1.038,1.013,0.9987,33287.92,33245.64
2019-09-24,0.9538,1.152,0.9987,1.005,121811.28,122424.51
2019-09-25,0.9774,1.037,1.005,1.001,74724.79,74815.31
2019-09-26,0.9611,1.05,1.001,1.001,80375.17,80447.0
2019-09-27,0.9635,1.014,1.001,1.002,48376.65,48460.61
2019-09-28,0.9803,1.017,1.002,1.002,29802.19,29864.87
2019-09-29,0.985,1.025,1.002,1.0,28053.51,28057.89
2019-09-30,0.9363,1.013,1.0,1.006,50440.1,50752.13
2019-10-01,0.9884,1.028,1.006,1.002,42368.0,42463.06
2019-10-02,0.9783,1.004,1.002,1.003,24785.21,24854.01
2019-10-03,0.9839,1.024,1.003,1.001,30435.91,30469.35
2019-10-04,0.981,1.011,1.001,0.9989,26268.19,26240.53
2019-10-05,0.9919,1.014,0.9989,1.007,17371.63,17487.65
2019-10-06,0.9967,1.047,1.007,1.003,30026.91,30103.58
2019-10-07,0.9466,1.011,1.003,0.9973,39653.14,39544.5
2019-10-08,0.9928,1.021,0.9973,1.001,21060.16,21076.27
2019-10-09,0.9477,1.014,1.001,1.001,47097.59,47162.46
2019-10-10,0.9872,1.011,1.001,1.002,29187.08,29257.09
2019-10-11,0.9998,1.069,1.002,1.002,38612.05,38690.9
2019-10-12,0.9961,1.016,1.002,1.001,11037.58,11053.49
2019-10-13,0.9895,1.026,1.001,1.002,20190.99,20228.15
2019-10-14,0.9851,1.007,1.002,1.001,17507.78,17531.28
2019-10-15,0.9943,1.034,1.001,1.001,24899.11,24929.09
2019-10-16,0.9932,1.024,1.001,1.002,34102.92,34164.35
2019-10-17,0.9844,1.009,1.002,1.001,21657.02,21678.29
2019-10-18,0.9872,1.026,1.001,1.003,27732.54,27803.05
2019-10-19,0.996,1.02,1.003,1.003,17875.39,17927.03
2019-10-20,0.9612,1.012,1.003,1.002,25287.68,25338.22
2019-10-21,0.9956,1.018,1.002,1.001,22831.65,22860.48
2019-10-22,0.9992,1.036,1.001,1.001,24453.79,24474.11
2019-10-23,0.982,1.081,1.001,1.001,60122.39,60196.11
2019-10-24,0.9926,1.013,1.001,1.003,28580.18,28654.97
2019-10-25,0.8574,1.013,1.003,1.0,79777.72,79813.71
2019-10-26,0.9356,1.122,1.0,1.001,154648.62,154789.89
2019-10-27,0.9543,1.027,1.001,1.0,64673.13,64671.91
2019-10-28,0.9975,1.077,1.0,0.9998,54907.49,54896.0
2019-10-29,0.9659,1.015,0.9998,1.001,40284.46,40336.63
2019-10-30,0.985,1.031,1.001,1.002,34376.01,34430.15
2019-10-31,0.9809,1.03,1.002,1.001,35891.86,35932.83
2019-11-01,0.9828,1.008,1.001,1.003,27365.39,27451.53
2019-11-02,0.9916,1.011,1.003,1.001,17135.45,17154.31
2019-11-03,0.9901,1.021,1.001,1.002,15670.3,15707.91
2019-11-04,0.9717,1.018,1.002,1.002,29435.09,29479.58
2019-11-05,0.9872,1.019,1.002,1.001,24971.55,24992.97
2019-11-06,0.9927,1.013,1.001,1.001,22338.76,22362.01
2019-11-07,0.9899,1.019,1.001,1.0,21322.07,21324.41
2019-11-08,0.9902,1.056,1.0,1.0,41674.91,41692.73
2019-11-09,0.9911,1.008,1.0,1.001,13145.33,13162.59
2019-11-10,0.9698,1.009,1.001,1.001,18134.09,18143.34
2019-11-11,0.9888,1.042,1.001,1.001,25750.4,25777.13
2019-11-12,0.9751,1.008,1.001,1.002,22305.54,22355.47
2019-11-13,0.9953,1.009,1.002,1.001,15828.57,15848.11
2019-11-14,0.9945,1.021,1.001,1.001,18999.7,19017.2
2019-11-15,0.9923,1.037,1.001,1.001,31281.14,31318.05
2019-11-16,0.9961,1.008,1.001,1.003,9355.13,9381.4
2019-11-17,0.9897,1.017,1.003,1.002,14296.75,14324.1
2019-11-18,0.9884,1.045,1.002,1.002,30048.32,30121.18
2019-11-19,0.9874,1.012,1.002,1.002,24402.6,24446.15
2019-11-20,0.9959,1.019,1.002,1.002,18105.11,18133.05
2019-11-21,0.9763,1.068,1.002,1.002,45760.44,45848.98
2019-11-22,0.9361,1.061,1.002,1.002,94065.31,94222.56
2019-11-23,0.9731,1.007,1.002,1.003,25474.86,25556.03
2019-11-24,0.997,1.066,1.003,1.003,35108.24,35211.38
2019-11-25,0.9211,1.037,1.003,1.002,85742.76,85938.03
2019-11-26,0.9841,1.027,1.002,1.002,36264.64,36333.66
2019-11-27,0.9134,1.021,1.002,1.001,66406.48,66464.46
2019-11-28,0.995,1.032,1.001,1.002,29886.7,29952.26
2019-11-29,0.9585,1.016,1.002,1.003,37243.54,37352.63
2019-11-30,0.9917,1.036,1.003,1.003,24778.5,24851.56
2019-12-01,0.9819,1.024,1.003,1.003,30676.77,30778.43
2019-12-02,0.9852,1.019,1.003,1.003,25163.31,25232.59
2019-12-03,0.9953,1.017,1.003,1.003,18521.73,18568.39
2019-12-04,0.9888,1.08,1.003,1.002,49046.2,49157.91
2019-12-05,0.971,1.014,1.002,1.002,30054.36,30123.25
2019-12-06,0.972,1.01,1.002,1.003,28169.83,28258.47
2019-12-07,1.001,1.019,1.003,1.002,14093.87,14128.01
2019-12-08,0.9861,1.01,1.002,1.003,15949.09,15993.3
2019-12-09,0.9941,1.045,1.003,1.002,35089.72,35142.93
2019-12-10,0.9934,1.025,1.002,1.001,23348.59,23380.65
2019-12-11,0.9962,1.013,1.001,1.002,19799.94,19848.52
2019-12-12,0.9887,1.017,1.002,1.002,28003.83,28052.65
2019-12-13,0.9935,1.009,1.002,1.002,18725.31,18764.87
2019-12-14,0.9965,1.032,1.002,1.003,15624.21,15673.22
2019-12-15,0.9888,1.013,1.003,1.003,15972.7,16023.0
2019-12-16,0.9981,1.042,1.003,1.002,39619.58,39705.99
2019-12-17,0.9957,1.05,1.002,1.003,46023.51,46174.3
2019-12-18,0.8861,1.022,1.003,1.002,71573.09,71716.53
2019-12-19,0.9874,1.032,1.002,1.002,34799.1,34853.87
2019-12-20,0.987,1.007,1.002,1.002,23556.25,23608.36
2019-12-21,0.9998,1.011,1.002,1.003,12101.12,12143.47
2019-12-22,0.952,1.003,1.003,1.002,27325.26,27377.56
2019-12-23,0.9944,1.052,1.002,1.001,44770.93,44833.9
2019-12-24,0.9897,1.025,1.001,1.001,27770.75,27812.08
2019-12-25,0.9917,1.012,1.001,1.001,15012.21,15034.44
2019-12-26,0.9965,1.035,1.001,1.002,23254.3,23302.28
2019-12-27,0.9754,1.004,1.002,1.002,25489.38,25538.04
2019-12-28,0.9947,1.01,1.002,1.003,14542.71,14589.79
2019-12-29,0.9879,1.021,1.003,1.002,18230.94,18266.91
2019-12-30,1.0,1.026,1.002,1.002,23030.92,23068.13
2019-12-31,0.9962,1.022,1.002,1.002,19424.26,19465.01
2020-01-01,0.9993,1.013,1.002,1.002,11872.0,11894.1
2020-01-02,1.0,1.04,1.002,1.003,26531.32,26609.21
2020-01-03,0.9391,1.011,1.003,1.001,51975.01,52050.75
2020-01-04,0.9908,1.008,1.001,1.002,22083.57,22117.54
2020-01-05,0.9971,1.02,1.002,1.001,24084.13,24112.11
2020-01-06,0.9484,1.006,1.001,1.001,46443.66,46489.11
2020-01-07,0.9487,1.008,1.001,1.001,75423.75,75475.73
2020-01-08,0.9784,1.051,1.001,0.9997,85087.59,85060.95
2020-01-09,0.9929,1.03,0.9997,1.001,40045.64,40071.42
2020-01-10,0.9375,0.9996,1.001,0.9994,55534.09,55502.31
2020-01-11,0.9985,1.034,0.9994,1.001,30734.63,30767.95
2020-01-12,0.9741,1.001,1.001,1.0,17525.61,17528.63
2020-01-13,0.9945,1.012,1.0,1.001,22746.0,22759.67
2020-01-14,0.9201,1.007,1.001,1.001,89444.78,89552.6
2020-01-15,0.9712,1.009,1.001,0.9999,50394.79,50391.13
2020-01-16,0.9858,1.016,0.9999,1.001,33539.82,33576.17
2020-01-17,0.9747,1.013,1.001,1.0,48787.4,48810.89
2020-01-18,0.9886,1.007,1.0,1.0,19872.9,19873.08
2020-01-19,0.979,1.056,1.0,1.001,47750.9,47816.5
2020-01-20,0.9879,1.013,1.001,1.001,21888.47,21908.69
2020-01-21,0.9723,1.006,1.001,1.0,22731.19,22740.55
2020-01-22,0.9911,1.015,1.0,1.001,17278.13,17293.11
2020-01-23,0.9887,1.035,1.001,1.001,38348.08,38387.23
2020-01-24,0.9764,1.011,1.001,1.001,27811.03,27834.04
2020-01-25,0.9929,1.015,1.001,1.003,14296.82,14336.54
2020-01-26,0.9659,1.001,1.003,1.001,22444.54,22461.33
2020-01-27,0.9656,1.013,1.001,1.002,37524.75,37614.49
2020-01-28,0.9484,1.003,1.002,1.002,51850.54,51937.19
2020-01-29,0.9947,1.016,1.002,1.0,36978.22,36989.29
2020-01-30,0.9665,1.007,1.0,1.0,45852.79,45861.91
2020-01-31,0.9863,1.02,1.0,1.001,31334.26,31354.2
2020-02-01,0.9914,1.008,1.001,1.001,14778.25,14789.77
2020-02-02,0.9836,1.016,1.001,1.001,24059.37,24091.79
2020-02-03,0.9939,1.034,1.001,1.0,33363.87,33368.72
2020-02-04,0.9913,1.019,1.0,1.0,26614.92,26624.03
2020-02-05,0.9536,1.015,1.0,1.0,47150.99,47162.23
2020-02-06,0.9775,1.01,1.0,1.0,42264.62,42277.32
2020-02-07,0.9906,1.006,1.0,1.0,25549.21,25553.51
2020-02-08,0.9762,1.004,1.0,0.9997,24889.03,24881.24
2020-02-09,0.9722,0.9999,0.9997,0.9994,33829.57,33810.96
2020-02-10,0.991,1.034,0.9994,1.001,40941.28,40976.9
2020-02-11,0.9472,1.011,1.001,1.001,49240.73,49296.27
2020-02-12,0.9909,1.013,1.001,1.0,43484.9,43497.22
2020-02-13,0.9854,1.026,1.0,1.0,49389.81,49405.74
2020-02-14,0.9747,1.002,1.0,0.9995,28984.69,28970.62
2020-02-15,0.9885,1.049,0.9995,1.0,29878.88,29884.79
2020-02-16,0.9706,1.012,1.0,0.9999,27579.54,27576.71
2020-02-17,0.977,1.026,0.9999,0.9997,37157.31,37144.52
2020-02-18,0.9443,1.009,0.9997,0.9997,38551.14,38538.73
2020-02-19,0.9727,1.073,0.9997,1.0,47506.68,47507.22
2020-02-20,0.9791,1.01,1.0,1.0,36843.12,36861.53
2020-02-21,0.989,1.008,1.0,1.001,30286.18,30313.87
2020-02-22,0.9908,1.006,1.001,1.0,12206.36,12212.4
2020-02-23,0.9705,1.005,1.0,1.001,23058.71,23089.26
2020-02-24,0.9835,1.038,1.001,1.001,34044.18,34076.76
2020-02-25,0.9946,1.04,1.001,1.001,34827.75,34856.75
2020-02-26,0.986,1.069,1.001,1.002,65447.95,65579.06
2020-02-27,0.9688,1.019,1.002,1.001,47005.39,47036.58
2020-02-28,0.9704,1.023,1.001,1.001,41600.5,41661.71
2020-02-29,1.002,1.034,1.001,1.002,16806.37,16847.61
2020-03-01,0.9904,1.029,1.002,1.003,25550.31,25621.31
2020-03-02,0.9558,1.008,1.003,1.0,33004.6,33018.41
2020-03-03,0.991,1.021,1.0,1.001,28648.83,28669.47
2020-03-04,0.992,1.012,0.9982,1.001,22115.34,22148.33
2020-03-05,0.967,1.012,1.001,1.0,33760.74,33770.75
2020-03-06,0.9848,1.003,1.0,1.001,21090.1,21102.91
2020-03-07,0.9982,1.037,1.001,1.001,20669.17,20686.94
2020-03-08,0.9998,1.11,1.001,1.003,63231.33,63415.26
2020-03-09,0.9665,1.034,1.003,1.002,86700.45,86858.76
2020-03-10,0.9839,1.036,1.002,1.001,53646.28,53712.14
2020-03-11,0.959,1.007,1.001,1.001,47596.23,47627.82
2020-03-12,0.9769,1.647,1.001,1.014,286243.45,290278.72
2020-03-13,0.7041,1.067,1.014,1.004,319316.54,320685.23
2020-03-14,0.9784,1.093,1.004,1.0,87978.27,87984.72
2020-03-15,0.9558,1.114,1.0,1.001,105160.64,105282.88
2020-03-16,0.8857,1.067,1.001,1.003,203116.86,203766.73
2020-03-17,0.9277,1.042,1.003,1.0,116314.49,116333.89
2020-03-18,0.9286,1.007,1.0,1.0,109210.96,109255.97
2020-03-19,0.8521,1.038,1.0,1.0,147007.71,147055.5
2020-03-20,0.9164,1.116,1.0,0.9993,148232.44,148122.42
2020-03-21,0.9492,1.043,0.9993,1.001,67262.29,67309.33
2020-03-22,0.9883,1.103,1.001,1.002,75451.24,75576.64
2020-03-23,0.8782,1.018,1.002,1.001,107692.99,107835.42
2020-03-24,0.9474,1.014,1.001,1.001,105151.69,105229.6
2020-03-25,0.9684,1.043,1.001,0.9999,84721.04,84713.07
2020-03-26,0.9675,1.005,0.9999,0.9998,45203.7,45196.48
2020-03-27,0.9908,1.079,0.9998,1.002,57134.12,57239.58
2020-03-28,0.968,1.021,1.002,1.0,60814.06,60828.56
2020-03-29,1.0,1.069,1.0,1.0,47232.21,47231.41
2020-03-30,0.9171,1.033,1.0,0.9996,70623.69,70594.92
2020-03-31,0.988,1.016,0.9996,0.9994,36169.65,36147.93
2020-04-01,0.9255,1.008,0.9994,0.9999,59228.61,59222.66
2020-04-02,0.968,1.065,0.9999,1.0,93059.32,93071.08
2020-04-03,0.9827,1.046,1.0,1.001,55578.32,55646.97
2020-04-04,0.9709,1.02,1.001,1.001,33774.99,33798.83
2020-04-05,0.9864,1.019,1.001,1.0,26776.41,26776.84
2020-04-06,0.9239,1.003,1.0,1.001,78676.82,78773.31
2020-04-07,0.984,1.036,1.001,1.0,70648.16,70665.63
2020-04-08,0.971,1.007,1.0,0.9994,60952.77,60917.71
2020-04-09,0.9768,1.011,0.9994,1.0,44071.93,44076.46
2020-04-10,0.9831,1.063,1.0,1.0,63355.47,63377.31
2020-04-11,0.9854,1.01,1.0,1.0,24917.32,24921.77
2020-04-12,0.984,1.042,1.0,1.0,42382.58,42389.08
2020-04-13,0.9647,1.009,1.0,1.001,63091.4,63135.86
2020-04-14,0.985,1.016,1.001,1.0,44630.96,44645.3
2020-04-15,0.9988,1.048,1.0,1.001,49708.81,49760.53
2020-04-16,0.9118,1.013,1.001,1.0,98809.08,98806.72
2020-04-17,0.9961,1.017,1.0,1.001,45840.75,45865.13
2020-04-18,0.9681,1.006,1.001,1.001,35919.74,35940.97
2020-04-19,0.9917,1.02,1.001,1.0,29493.83,29500.32
2020-04-20,0.9897,1.056,1.0,1.0,64707.0,64725.26
2020-04-21,0.9895,1.014,1.0,1.001,44531.91,44554.33
2020-04-22,0.9577,1.005,1.001,1.0,43780.72,43794.59
