datetime,low,high,open,close,volumefrom,volumeto
2021-02-24,13.48,15.55,14.77,14.18,765450.55,10850551.23
2021-02-25,11.64,14.34,14.18,11.64,915125.58,10655350.48
2021-02-26,10.85,12.21,11.64,11.27,1060719.45,11955104.64
2021-02-27,10.4,11.92,11.27,10.66,895991.17,9552137.5
2021-02-28,8.672,10.53,10.66,9.374,1536359.94,14401161.02
2021-03-01,10.28,14.04,9.374,13.11,3002295.12,39355951.82
2021-03-02,11.4,13.27,13.11,12.08,1067297.68,12894718.52
2021-03-03,12.15,13.19,12.08,12.61,900358.42,11356450.58
2021-03-04,11.33,12.84,12.61,11.55,951943.11,10994239.54
2021-03-05,10.98,11.95,11.55,11.09,531704.01,5897405.2
2021-03-06,10.9,12.04,11.09,11.13,435747.03,4851124.0
2021-03-07,11.17,12.24,11.13,11.67,800858.11,9346652.6
2021-03-08,11.59,12.29,11.67,11.96,647126.0,7738866.95
2021-03-09,12.1,14.82,11.96,14.22,1454224.89,20672603.09
2021-03-10,12.58,15.2,14.22,12.78,1097203.64,14025334.69
2021-03-11,12.2,13.82,12.78,12.32,935073.73,11519346.52
2021-03-12,10.87,12.44,12.32,11.02,1085911.46,11962505.68
2021-03-13,10.36,13.12,11.02,11.49,636899.84,7321073.45
