datetime,low,high,open,close,volumefrom,volumeto
2018-07-18,0.1053,0.1149,0.1097,0.1149,15966.17,1834.78
2018-07-19,0.104,0.1781,0.1149,0.1218,344966.69,42033.85
2018-07-20,0.09426,0.1569,0.1218,0.1436,407290.31,58480.34
2018-07-21,0.1139,0.1475,0.1436,0.1153,89764.2,10346.22
2018-07-22,0.1038,0.1273,0.1153,0.1158,11588.15,1341.74
2018-07-23,0.1138,0.1421,0.1158,0.1147,227674.7,26124.66
2018-07-24,0.1194,0.1462,0.1371,0.1319,70066.0,9238.5
2018-07-25,0.1047,0.1296,0.1318,0.1178,93959.87,11070.35
2018-07-26,0.115,0.1302,0.1178,0.1279,67362.59,8615.0
2018-07-27,0.1186,0.1409,0.1279,0.1287,220054.04,28319.87
2018-07-28,0.1224,0.1375,0.1287,0.1349,143698.77,19391.06
2018-07-29,0.1222,0.1385,0.1349,0.1319,67848.64,8948.42
2018-07-30,0.1107,0.1346,0.1319,0.1277,69684.31,8895.49
2018-07-31,0.1156,0.1339,0.1277,0.1159,114790.37,13304.54
2018-08-01,0.1107,0.1302,0.1159,0.1226,50945.71,6248.19
2018-08-02,0.1134,0.12,0.1226,0.1134,19848.08,2250.56
2018-08-03,0.1046,0.129,0.1134,0.1245,171395.13,21330.25
2018-08-04,0.1141,0.122,0.1245,0.1195,6985.85,834.88
2018-08-05,0.109,0.1218,0.1195,0.1218,7517.06,915.46
2018-08-06,0.1199,0.1255,0.1218,0.1199,98418.82,11804.96
2018-08-07,0.1012,0.1119,0.1199,0.1017,83110.65,8455.8
2018-08-08,0.08711,0.09707,0.1017,0.09707,90593.77,8793.99
2018-08-09,0.09088,0.1051,0.09707,0.105,58246.42,6116.92
2018-08-10,0.08289,0.09579,0.105,0.09387,60604.1,5688.75
2018-08-11,0.08637,0.09467,0.09386,0.0864,22154.31,1914.21
2018-08-12,0.07955,0.08645,0.0864,0.08623,152948.68,13189.1
2018-08-13,0.04829,0.07697,0.08623,0.07101,1089814.16,77384.98
2018-08-14,0.05608,0.06958,0.07101,0.06674,47048.03,3139.93
2018-08-15,0.06187,0.06744,0.06674,0.06609,42427.6,2804.1
2018-08-16,0.05879,0.0686,0.06609,0.06826,55590.68,3794.53
2018-08-18,0.07017,0.07283,0.07558,0.07283,6752.99,491.81
2018-08-19,0.0643,0.07401,0.07283,0.07191,15016.89,1079.85
2018-08-20,0.0559,0.07312,0.07191,0.06334,204858.01,12976.21
2018-08-21,0.06227,0.06576,0.06333,0.06227,37350.66,2325.84
2018-08-22,0.05989,0.08111,0.06227,0.06219,182825.98,11369.05
2018-08-23,0.06344,0.07207,0.06289,0.0654,254605.07,16650.99
2018-08-24,0.06514,0.06941,0.0654,0.06941,10970.29,761.49
2018-08-25,0.06356,0.06847,0.06941,0.06503,108163.02,7034.09
2018-08-26,0.06367,0.06427,0.06503,0.06367,4055.64,258.2
2018-08-27,0.05818,0.07255,0.06367,0.07255,55955.81,4059.72
2018-08-28,0.07117,0.07445,0.07255,0.07117,10345.97,736.31
2018-08-29,0.06501,0.07269,0.07117,0.07217,18161.94,1310.7
2018-08-30,0.06393,0.07104,0.07217,0.06393,41794.07,2672.05
2018-08-31,0.06337,0.07027,0.06393,0.06377,51322.81,3272.74
2018-09-01,0.06678,0.06793,0.06377,0.06678,9649.66,644.41
2018-09-02,0.05753,0.0667,0.06678,0.05818,70141.21,4080.67
2018-09-03,0.05635,0.06068,0.05818,0.05635,20194.5,1137.94
2018-09-04,0.05562,0.06968,0.05635,0.05591,15176.04,848.42
2018-09-05,0.04474,0.05533,0.05591,0.04839,19041.96,921.5
2018-09-06,0.04866,0.05561,0.04839,0.05513,104534.09,5763.04
2018-09-07,0.0477,0.05486,0.05514,0.05486,140388.38,7701.8
2018-09-08,0.04384,0.05018,0.05486,0.04384,31084.58,1362.76
2018-09-09,0.04367,0.04414,0.04384,0.04414,14357.0,633.67
2018-09-10,0.0444,0.04633,0.04414,0.04455,102424.34,4563.38
2018-09-11,0.04184,0.04732,0.04455,0.04353,111879.18,4869.96
2018-09-12,0.04173,0.05396,0.04353,0.04795,297063.07,14245.32
2018-09-13,0.04861,0.05535,0.04795,0.05493,84821.61,4659.27
2018-09-14,0.05124,0.05623,0.05493,0.05577,44538.76,2483.85
2018-09-15,0.05151,0.05929,0.05577,0.05151,22308.41,1149.04
2018-09-16,0.05116,0.0565,0.0515,0.05316,23838.0,1267.2
2018-09-17,0.0435,0.04734,0.05316,0.04709,103327.22,4865.56
2018-09-18,0.04624,0.05291,0.04709,0.04672,29356.92,1371.59
2018-09-19,0.04703,0.0532,0.04672,0.0532,140459.23,7472.46
2018-09-20,0.05484,0.057,0.0532,0.05486,16070.17,881.67
2018-09-21,0.05496,0.06143,0.05486,0.05697,132858.54,7568.78
2018-09-22,0.05201,0.05849,0.05697,0.05203,25347.54,1318.9
2018-09-23,0.05282,0.06102,0.05201,0.05434,128712.11,6994.09
2018-09-24,0.04975,0.06721,0.05434,0.0542,236335.76,12809.25
2018-09-25,0.04822,0.06096,0.0542,0.04932,260557.82,12850.71
2018-09-26,0.04713,0.05677,0.04932,0.05677,287901.85,16342.94
2018-09-27,0.05349,0.06071,0.05677,0.05956,67712.15,4033.17
2018-09-28,0.05761,0.05761,0.05956,0.05761,15167.0,873.7
2018-09-29,0.0576,0.06014,0.05761,0.06014,83296.77,5009.73
2018-09-30,0.06048,0.06162,0.06014,0.06162,32570.39,2006.85
2018-10-01,0.0531,0.06119,0.06162,0.05768,272543.59,15719.31
2018-10-02,0.05184,0.05849,0.05768,0.05845,109399.87,6394.29
2018-10-03,0.05413,0.05704,0.05845,0.05686,12057.58,685.62
