datetime,low,high,open,close,volumefrom,volumeto
2019-09-04,0.006563,0.007092,0.007013,0.006669,965882.9,6441.16
2019-09-05,0.00665,0.01436,0.006669,0.01203,54334036.71,653857.01
2019-09-06,0.008454,0.0134,0.01203,0.008454,19339688.0,163500.16
2019-09-07,0.008498,0.01217,0.008454,0.01102,5874158.83,64713.01
2019-09-08,0.008962,0.01178,0.01102,0.009691,2324439.24,22527.11
2019-09-09,0.008355,0.009593,0.009691,0.008355,917440.83,7665.27
2019-09-10,0.007784,0.008593,0.008355,0.007986,2283601.92,18237.93
2019-09-11,0.006607,0.00803,0.007986,0.006709,11905170.94,79870.68
2019-09-12,0.005736,0.006883,0.006709,0.005945,8177740.75,48612.64
2019-09-13,0.005912,0.006742,0.005945,0.00612,1008660.04,6172.65
2019-09-14,0.005908,0.006323,0.00612,0.006116,212907.67,1302.08
2019-09-15,0.006085,0.007322,0.006116,0.007116,1360030.31,9677.95
2019-09-16,0.006677,0.007293,0.007116,0.006779,1954513.76,13250.39
2019-09-17,0.006119,0.007853,0.006779,0.006833,301044672.28,2057060.94
2019-09-18,0.006708,0.007216,0.006833,0.006809,98063946.59,667762.97
2019-09-19,0.006477,0.006991,0.006809,0.006477,60201986.84,389931.21
2019-09-20,0.006004,0.006513,0.006477,0.006309,141776931.83,894521.08
2019-09-21,0.006093,0.006492,0.006309,0.006093,54381524.1,331341.83
2019-09-22,0.005621,0.006323,0.006093,0.005721,91066103.38,520996.34
2019-09-23,0.005332,0.00572,0.005721,0.005429,187192553.53,1016263.88
2019-09-24,0.004186,0.004955,0.005429,0.004357,132142560.83,575704.89
2019-09-25,0.004055,0.004477,0.004357,0.004392,58815707.13,258343.55
2019-09-26,0.003957,0.004441,0.004392,0.004118,243123930.96,1001243.89
2019-09-27,0.004019,0.004429,0.004118,0.004101,120706768.31,494979.83
2019-09-28,0.00403,0.004441,0.004101,0.004276,121352646.28,518940.08
2019-09-29,0.004033,0.004355,0.004276,0.004113,41539056.83,170861.88
2019-09-30,0.004157,0.004407,0.004113,0.00424,33780756.21,143245.82
2019-10-01,0.004247,0.004746,0.00424,0.00458,139255197.14,637740.34
2019-10-02,0.00428,0.004867,0.00458,0.004448,540590600.27,2404279.72
2019-10-03,0.004288,0.004618,0.004448,0.004371,90280436.75,394574.17
2019-10-04,0.004166,0.004574,0.004371,0.004329,257737826.83,1115764.19
2019-10-05,0.00425,0.004658,0.004329,0.004413,142553929.7,629110.34
2019-10-06,0.004249,0.004406,0.004413,0.004328,48198936.5,208584.3
2019-10-07,0.004436,0.005011,0.004328,0.004929,109543743.92,539948.34
2019-10-08,0.004587,0.005079,0.004929,0.005079,100161594.48,508716.67
2019-10-09,0.004812,0.0055,0.005079,0.004984,87618111.55,436691.54
2019-10-10,0.004814,0.00533,0.004984,0.0049,120865145.83,592244.64
2019-10-11,0.004636,0.004967,0.0049,0.004967,34459661.62,171155.28
2019-10-12,0.004907,0.005073,0.004967,0.00499,16335010.37,81511.64
2019-10-13,0.004812,0.005061,0.00499,0.004895,25767215.61,126126.41
2019-10-14,0.004935,0.005353,0.004895,0.005186,36378490.4,188645.86
2019-10-15,0.005068,0.005721,0.005186,0.005558,88597477.82,492421.8
2019-10-16,0.00537,0.006892,0.005558,0.006572,198527614.02,1304683.73
2019-10-17,0.006062,0.00687,0.006572,0.006628,158987702.09,1053709.63
2019-10-18,0.006538,0.009169,0.006628,0.008531,794858063.42,6780698.38
2019-10-19,0.007575,0.009568,0.008531,0.007655,746596823.19,5714963.35
2019-10-20,0.007752,0.01056,0.007655,0.009897,714282487.26,7069039.49
2019-10-21,0.009128,0.01069,0.009897,0.009457,496760023.55,4697729.14
2019-10-22,0.00924,0.009882,0.009457,0.0094,239665370.09,2252941.96
2019-10-23,0.008003,0.008826,0.0094,0.008452,180391534.12,1524647.64
2019-10-24,0.00804,0.008561,0.008452,0.008263,93954783.37,776354.2
2019-10-25,0.009018,0.01197,0.008263,0.01075,781964105.81,8407806.31
2019-10-26,0.01,0.01185,0.01075,0.01056,374368155.7,3951544.68
2019-10-27,0.009933,0.01146,0.01056,0.01022,263462249.76,2692358.14
2019-10-28,0.009222,0.01005,0.01022,0.009591,212839058.61,2041364.78
2019-10-29,0.009622,0.01113,0.009591,0.01113,340425055.41,3789194.63
2019-10-30,0.01045,0.01128,0.01113,0.01073,264194062.57,2834468.4
2019-10-31,0.01062,0.01136,0.01073,0.01071,204865005.25,2194984.8
2019-11-01,0.01083,0.01195,0.01071,0.01185,117178112.22,1388977.22
2019-11-02,0.01183,0.01471,0.01185,0.01397,510188548.37,7126305.99
2019-11-03,0.01356,0.01715,0.01397,0.01605,625830947.4,10041833.93
2019-11-04,0.01583,0.02026,0.01605,0.01724,824206548.59,14210489.79
2019-11-05,0.01538,0.01902,0.01724,0.01594,753008846.06,12005500.98
2019-11-06,0.01468,0.01711,0.01594,0.01514,571255969.41,8650287.73
2019-11-07,0.01317,0.01501,0.01514,0.01418,577361206.24,8187629.01
2019-11-08,0.01246,0.01421,0.01418,0.01281,297125440.82,3805455.65
2019-11-09,0.0127,0.01376,0.01281,0.01332,184798354.81,2461792.56
2019-11-10,0.01294,0.01375,0.01332,0.01321,104135415.01,1375310.28
2019-11-11,0.01274,0.01344,0.01321,0.01291,161205616.25,2081960.67
2019-11-12,0.01296,0.01402,0.01291,0.01366,269902668.3,3687806.2
2019-11-13,0.01351,0.01509,0.01366,0.01448,380473925.45,5508046.07
2019-11-14,0.01365,0.01469,0.01448,0.01443,342786119.53,4946232.79
2019-11-15,0.01338,0.01431,0.01443,0.01363,153937488.53,2098844.94
2019-11-16,0.01351,0.01394,0.01363,0.01368,55589489.81,760647.3
2019-11-17,0.01354,0.01397,0.01368,0.01371,49722714.82,681678.57
2019-11-18,0.01245,0.01327,0.01371,0.01294,91920350.3,1189490.95
2019-11-19,0.01204,0.01285,0.01294,0.01236,124840362.93,1543404.7
2019-11-20,0.01182,0.01255,0.01236,0.0119,91203823.04,1085105.88
2019-11-21,0.01091,0.01153,0.0119,0.0113,109572001.08,1237750.88
2019-11-22,0.00999,0.01123,0.0113,0.01035,239841354.22,2483539.0
2019-11-23,0.009981,0.01204,0.01035,0.01167,286972899.04,3348799.14
2019-11-24,0.01081,0.01157,0.01167,0.01095,136482947.46,1494425.79
2019-11-25,0.01048,0.01092,0.01078,0.01048,4446.0,46.66
2019-11-26,0.01083,0.01212,0.01099,0.0114,210417769.56,2398862.5
2019-11-27,0.011,0.01216,0.01216,0.011,940.0,10.34
2019-11-28,0.01161,0.01332,0.01243,0.01168,377325827.08,4408847.82
2019-11-29,0.011,0.01964,0.011,0.01964,814.0,11.59
2019-11-30,0.01154,0.01964,0.01964,0.01154,77170.0,892.09
2019-12-01,0.01111,0.01401,0.01154,0.01111,286.0,3.267
2019-12-02,0.011,0.01111,0.01111,0.01111,19028.0,209.35
2019-12-03,0.01097,0.0117,0.01157,0.01119,132087234.11,1478038.87
2019-12-04,0.01111,0.01312,0.01111,0.01297,368.0,4.787
2019-12-05,0.01007,0.01297,0.01297,0.0101,983.0,9.902
2019-12-06,0.01005,0.01088,0.009999,0.0102,169585244.03,1730461.91
2019-12-07,0.009769,0.01022,0.0102,0.00992,59130553.56,586552.34
2019-12-08,0.0095,0.009952,0.00992,0.009726,87037850.93,846548.68
2019-12-09,0.009262,0.00985,0.009726,0.009409,96928434.99,911979.64
2019-12-10,0.008102,0.009332,0.009409,0.008391,181354025.17,1521787.76
2019-12-11,0.0101,0.01347,0.0101,0.01347,5493.0,66.4
2019-12-12,0.008351,0.009359,0.009376,0.008567,104545540.5,895670.3
2019-12-13,0.00875,0.01347,0.01347,0.00875,7765.0,68.84
2019-12-14,0.007986,0.00875,0.00875,0.007986,31658.0,252.87
2019-12-15,0.007954,0.008076,0.007986,0.008076,5449.0,43.36
2019-12-16,0.008076,0.01141,0.008076,0.01141,250.0,2.851
2019-12-17,0.007034,0.007565,0.007794,0.0071,57066013.31,405188.6
2019-12-18,0.006894,0.008971,0.007979,0.007643,16272.0,121.91
2019-12-19,0.007643,0.008332,0.007643,0.008298,22710.0,188.51
2019-12-20,0.008212,0.008572,0.008233,0.008284,49894197.15,413319.61
2019-12-21,0.008081,0.01348,0.008549,0.01348,138.0,1.158
2019-12-22,0.007743,0.008645,0.008233,0.007893,63712774.75,502914.18
