datetime,low,high,open,close,volumefrom,volumeto
2020-06-18,2.31e-06,208.12,2.34e-06,203.49,39.38,8013.48
2020-06-19,93.77,320.19,203.49,246.09,104.24,25652.63
2020-06-20,195.79,260.93,246.09,260.48,190.15,49529.67
2020-06-21,259.27,383.44,260.48,334.91,992.91,332535.59
2020-06-22,235.76,369.82,334.91,283.44,509.2,144329.94
2020-06-23,1.05e-05,427.24,1.05e-05,240.8,30294.48,8100417.02
2020-06-24,190.19,249.0,240.8,208.15,27396.13,5942867.18
2020-06-25,197.55,254.78,208.15,227.13,64770.05,14590834.72
2020-06-26,226.3,272.9,227.13,262.38,48687.16,12273303.19
2020-06-27,223.52,265.0,262.38,230.25,33524.06,8187209.94
2020-06-28,228.0,255.0,230.25,244.81,18516.23,4475336.16
2020-06-29,232.07,247.59,243.7,233.17,40258.21,9386919.73
2020-06-30,211.32,242.55,233.67,215.98,26436.91,5910257.34
2020-07-01,201.0,220.98,215.98,201.15,19319.1,4077785.02
2020-07-02,175.34,205.12,201.15,180.0,35877.58,6780133.03
2020-07-03,171.08,192.21,180.22,171.9,116007.75,19941741.69
2020-07-04,163.01,194.0,171.77,179.92,32581.18,5792929.85
2020-07-05,177.5,220.0,179.92,200.16,59410.63,12074907.68
2020-07-06,186.36,207.39,200.16,195.02,31480.42,6154411.82
2020-07-07,183.2,197.43,195.02,187.17,14946.33,2845943.6
2020-07-08,174.04,190.5,187.17,184.52,22146.93,4082569.48
2020-07-09,175.61,188.99,184.52,180.34,13899.54,2534954.92
2020-07-10,170.51,180.7,180.34,175.43,12140.9,2132505.77
2020-07-11,174.4,185.14,175.43,178.19,13434.22,2400709.43
2020-07-12,173.93,183.55,178.19,175.86,8928.94,1586363.04
2020-07-13,157.39,178.47,175.86,166.19,17070.37,2917422.55
2020-07-14,159.88,168.84,166.19,164.06,11444.82,1875158.85
2020-07-15,159.35,167.44,164.06,160.12,9857.01,1610038.45
2020-07-16,152.68,163.71,160.12,155.13,18483.14,2879719.24
2020-07-17,154.17,178.79,155.13,167.02,29434.64,4898080.92
2020-07-18,161.03,167.73,167.02,163.95,11895.88,1956916.34
2020-07-19,159.59,164.73,163.95,163.08,7912.05,1282095.41
2020-07-20,154.85,175.51,163.08,158.25,22729.28,3761625.28
2020-07-21,157.31,163.3,158.25,159.73,8688.99,1384080.46
2020-07-22,153.74,160.03,159.73,157.6,13540.11,2118619.65
2020-07-23,155.49,164.77,157.6,156.02,16320.96,2593422.65
2020-07-24,155.11,158.21,156.02,155.33,6433.79,1007206.26
2020-07-25,154.58,157.5,155.33,155.8,8541.34,1333112.3
2020-07-26,153.72,163.88,155.8,157.48,15512.83,2461376.81
2020-07-27,123.0,158.19,157.48,136.11,46703.46,6457518.36
2020-07-28,130.02,142.27,136.11,136.58,22879.16,3093829.97
2020-07-29,132.01,139.99,136.58,133.26,9810.45,1320724.59
