datetime,low,high,open,close,volumefrom,volumeto
2015-09-21,2.27,2.417,2.341,2.354,19096.17,44949.18
2015-09-22,2.371,2.484,2.354,2.48,6033.07,14959.04
2015-09-23,2.386,2.522,2.48,2.4,7891.67,18940.42
2015-09-24,2.398,2.508,2.4,2.419,6787.68,16422.22
2015-09-25,2.4,2.487,2.419,2.447,4700.62,11500.83
2015-09-26,2.327,2.441,2.447,2.327,4571.06,10636.09
2015-09-27,2.304,2.385,2.327,2.348,4941.04,11602.8
2015-09-28,2.367,2.439,2.348,2.377,7400.7,17594.97
2015-09-29,2.344,2.398,2.377,2.374,3825.19,9081.77
2015-09-30,2.333,2.366,2.374,2.334,5702.31,13308.16
2015-10-01,2.26,2.385,2.334,2.274,10936.79,24873.08
2015-10-02,2.188,2.305,2.274,2.212,9422.83,20841.59
2015-10-03,2.054,2.246,2.212,2.148,14622.15,31410.93
2015-10-04,2.121,2.186,2.148,2.141,7997.92,17122.89
2015-10-05,2.157,2.409,2.141,2.336,11125.61,25994.09
2015-10-06,2.336,2.416,2.336,2.378,3157.15,7508.35
2015-10-07,2.338,2.424,2.378,2.401,5289.23,12700.12
2015-10-08,2.311,2.417,2.401,2.318,7830.09,18150.89
2015-10-09,2.313,2.425,2.318,2.375,5119.55,12161.42
2015-10-10,2.329,2.417,2.375,2.415,3184.9,7690.69
2015-10-11,2.319,2.446,2.415,2.364,4020.56,9504.87
2015-10-12,2.278,2.378,2.364,2.316,3174.05,7352.21
2015-10-13,2.294,2.391,2.316,2.322,6310.32,14654.84
2015-10-14,2.304,2.424,2.322,2.307,13240.03,30542.11
2015-10-15,2.184,2.366,2.307,2.215,23062.04,51074.25
2015-10-16,2.286,2.43,2.215,2.335,10210.32,23836.49
2015-10-17,2.366,2.439,2.335,2.426,8058.63,19547.66
2015-10-18,2.306,2.396,2.426,2.374,5277.32,12530.43
2015-10-19,2.327,2.398,2.374,2.346,7794.03,18285.97
2015-10-20,2.376,2.504,2.346,2.426,14631.0,35500.68
2015-10-21,2.263,2.428,2.426,2.288,16307.87,37304.74
2015-10-22,2.306,2.463,2.288,2.438,22000.49,53636.03
2015-10-23,2.277,2.464,2.438,2.329,25463.85,59309.74
2015-10-24,2.182,2.379,2.329,2.236,22128.53,49470.87
2015-10-25,2.165,2.368,2.236,2.207,15732.81,34718.14
2015-10-26,2.099,2.248,2.207,2.148,12034.06,25853.01
2015-10-27,2.008,2.287,2.148,2.082,35813.05,74565.19
2015-10-28,2.09,2.305,2.082,2.111,20217.62,42681.84
2015-10-29,2.138,2.411,2.111,2.374,30533.8,72502.29
2015-10-30,2.377,2.791,2.374,2.532,34408.18,87118.37
2015-10-31,2.228,2.484,2.532,2.233,11418.5,25495.64
2015-11-01,2.316,2.633,2.233,2.578,17077.61,44027.95
2015-11-02,2.452,2.909,2.578,2.616,24707.87,64624.88
2015-11-03,2.659,2.936,2.616,2.659,32348.56,86010.35
2015-11-04,2.097,2.69,2.659,2.555,68996.14,176276.3
2015-11-05,2.201,2.568,2.555,2.493,37018.19,92268.77
2015-11-06,2.337,2.784,2.493,2.67,25481.64,68027.27
