datetime,low,high,open,close,volumefrom,volumeto
2020-08-21,2.848,3.218,2.869,2.848,44664.81,206111.81
2020-08-22,2.8,4.524,2.848,4.512,412163.59,1564976.41
2020-08-23,3.73,4.512,4.512,4.053,72324.75,295346.26
2020-08-24,3.85,4.807,4.053,4.562,155436.25,672466.57
2020-08-25,4.533,5.775,4.562,5.566,172598.24,891296.29
2020-08-26,5.125,6.553,5.566,6.093,693382.68,4123483.16
2020-08-27,5.245,6.797,6.093,5.656,393736.69,2325682.07
2020-08-28,5.52,6.35,5.656,6.17,1609961.67,9746485.64
2020-08-29,6.02,6.566,6.17,6.148,1183643.98,7526399.84
2020-08-30,5.269,6.218,6.148,5.86,1005329.49,5985353.59
2020-08-31,5.759,6.477,5.86,6.293,962334.19,5953036.21
2020-09-01,6.144,6.861,6.293,6.255,1277798.72,8262846.76
2020-09-02,5.599,6.44,6.255,6.128,1097196.13,6611614.72
2020-09-03,5.605,6.366,6.128,5.717,1313509.4,7937978.45
2020-09-04,4.571,5.984,5.717,5.127,1250630.31,6504986.68
2020-09-05,3.576,5.304,5.127,4.136,3095552.76,13619253.64
2020-09-06,3.742,4.91,4.136,4.784,1596989.44,7068395.91
2020-09-07,4.022,4.825,4.784,4.59,1478749.8,6524917.06
2020-09-08,4.119,4.623,4.59,4.272,866043.27,3743432.2
2020-09-09,4.139,4.791,4.272,4.697,952095.97,4327914.11
2020-09-10,4.447,4.892,4.697,4.582,969541.68,4510647.87
2020-09-11,4.323,4.732,4.582,4.653,714122.5,3219497.24
2020-09-12,4.506,5.299,4.653,5.157,859992.15,4243582.65
2020-09-13,4.788,5.479,5.157,5.311,963290.46,4974461.6
2020-09-14,5.089,5.609,5.311,5.362,1223223.79,6593945.48
2020-09-15,5.056,5.445,5.362,5.059,961102.03,5054563.43
2020-09-16,4.969,5.281,5.059,5.074,562683.69,3086350.68
2020-09-17,5.054,5.421,5.074,5.348,789689.25,4148194.41
2020-09-18,5.104,5.453,5.348,5.254,618776.66,3235953.12
2020-09-19,4.81,5.255,5.254,4.932,586930.39,2948011.15
2020-09-20,4.413,4.975,4.932,4.679,705466.13,3279490.65
