datetime,low,high,open,close,volumefrom,volumeto
2015-09-21,0.8734,0.9474,0.9403,0.9019,445907.58,402175.22
2015-09-22,0.8398,0.9401,0.9019,0.8963,499425.91,447659.9
2015-09-23,0.8782,0.9065,0.8963,0.895,215374.57,192752.01
2015-09-24,0.7127,0.9245,0.895,0.8142,945087.22,769476.86
2015-09-25,0.6595,0.8301,0.8142,0.7408,1131567.76,838281.87
2015-09-26,0.6975,0.7884,0.7408,0.779,469286.58,365596.54
2015-09-27,0.7131,0.7884,0.779,0.7219,544608.13,393159.42
2015-09-28,0.5506,0.7479,0.7219,0.5879,2004997.22,1178655.8
2015-09-29,0.5,0.6816,0.6,0.6816,20404.67,11590.73
2015-09-30,0.6259,0.7557,0.6607,0.7177,832229.71,597290.48
2015-10-01,0.6166,0.7436,0.7177,0.6818,834241.24,568748.8
2015-10-02,0.6472,0.6926,0.6818,0.6758,296102.48,200108.14
2015-10-03,0.6745,0.7134,0.6758,0.6866,228153.37,156657.69
2015-10-04,0.6602,0.6954,0.6866,0.6661,152946.63,101882.7
2015-10-05,0.6189,0.6883,0.6661,0.6287,331312.1,208300.12
2015-10-06,0.6016,0.6587,0.6287,0.6555,385789.87,252874.0
2015-10-07,0.5955,0.659,0.6555,0.6116,319267.37,195257.75
2015-10-08,0.5851,0.6419,0.6116,0.6205,473726.57,293956.64
2015-10-09,0.6238,0.6955,0.6205,0.6489,553115.65,358918.05
2015-10-10,0.6254,0.6602,0.6489,0.6269,220844.59,138440.68
2015-10-11,0.6238,0.6483,0.6269,0.6342,133894.43,84920.09
2015-10-12,0.6227,0.6556,0.6342,0.6274,167554.57,105117.03
2015-10-13,0.5961,0.6414,0.6274,0.6033,448554.96,270609.39
2015-10-14,0.4767,0.6228,0.6033,0.5112,1698217.37,868163.67
2015-10-15,0.5137,0.5781,0.5112,0.559,671725.55,375497.73
2015-10-16,0.5228,0.5915,0.559,0.5318,440468.3,234234.88
2015-10-17,0.523,0.5726,0.5318,0.5472,511043.64,279667.3
2015-10-18,0.5084,0.5396,0.5472,0.5173,246953.14,127754.19
2015-10-19,0.4796,0.5255,0.5173,0.4891,470613.94,230187.76
2015-10-20,0.4286,0.5152,0.4891,0.4356,752937.75,328014.51
2015-10-21,0.4156,0.4912,0.4356,0.4405,1240008.18,546179.45
2015-10-22,0.4254,0.6438,0.4405,0.5875,1622791.97,953444.19
2015-10-23,0.5009,0.6377,0.5875,0.5198,1548712.72,804988.1
2015-10-24,0.5244,0.5886,0.5198,0.5739,446011.52,255956.81
2015-10-25,0.5622,0.6851,0.5739,0.6511,905101.66,589347.28
2015-10-26,0.5988,0.8115,0.6511,0.7417,1470369.4,1090536.45
2015-10-27,0.7193,0.9149,0.7417,0.8692,1886576.7,1639901.14
2015-10-28,0.8041,1.107,0.8692,1.008,2017493.83,2034359.84
2015-10-29,0.9622,1.234,1.008,1.164,1599196.63,1861274.46
2015-10-30,0.9365,1.343,1.164,1.039,1918765.1,1993468.61
2015-10-31,0.8743,1.012,1.039,0.8929,542320.19,484263.49
2015-11-01,0.8968,1.072,0.8929,1.05,466656.61,489947.65
2015-11-02,0.9377,1.206,1.05,0.9639,1004673.98,968453.71
2015-11-03,0.8826,1.159,0.9639,0.9956,1822122.38,1814080.24
2015-11-04,0.5741,1.024,0.9956,0.8679,3549846.07,3081006.72
2015-11-05,0.7884,0.9847,0.8679,0.8898,1293798.44,1151192.74
2015-11-06,0.8276,0.9855,0.8898,0.9168,940829.17,862513.6
2015-11-07,0.8484,0.962,0.9168,0.9165,923885.85,846754.5
2015-11-08,0.8784,1.027,0.9165,1.019,937966.99,955965.71
2015-11-09,0.9251,1.154,1.019,1.001,1877894.84,1879282.68
2015-11-10,0.8629,0.9582,1.001,0.9232,859762.62,793736.27
2015-11-11,0.6914,0.8584,0.9232,0.7798,1451923.8,1132141.78
2015-11-12,0.7889,0.9274,0.7798,0.8924,865477.92,772336.1
2015-11-13,0.8454,0.9139,0.8924,0.8922,407132.96,363230.68
2015-11-14,0.8679,0.9154,0.8922,0.8855,209995.1,185949.43
2015-11-15,0.8431,0.9136,0.8855,0.9006,245725.2,221301.5
2015-11-16,0.8856,0.9721,0.9006,0.9375,503627.44,472133.7
2015-11-17,0.8976,1.035,0.9375,0.9951,1048986.25,1043795.66
2015-11-18,0.951,1.024,0.9951,0.9943,588661.82,585320.1
2015-11-19,0.9236,0.9847,0.9943,0.9502,308996.79,293621.58
2015-11-20,0.8969,0.9512,0.9502,0.93,629365.16,585286.64
2015-11-21,0.9247,0.9871,0.93,0.9712,439932.29,427252.43
2015-11-22,0.9512,0.9874,0.9712,0.9616,355342.13,341683.35
2015-11-23,0.9132,0.9728,0.9616,0.9425,432006.57,407176.18
2015-11-24,0.8974,0.9442,0.9425,0.9098,434257.25,395106.48
2015-11-25,0.8516,0.941,0.9098,0.863,775023.8,668857.32
2015-11-26,0.8051,0.9487,0.863,0.8826,1017085.06,897660.25
2015-11-27,0.8495,0.9063,0.8826,0.8679,433814.16,376499.19
2015-11-28,0.8579,0.9383,0.8679,0.9148,485931.73,444549.26
2015-11-29,0.8629,0.9564,0.9148,0.8692,483092.99,419928.08
2015-11-30,0.8383,0.9207,0.8692,0.875,858077.12,750817.95
2015-12-01,0.7779,0.8976,0.875,0.8719,692675.06,603969.71
2015-12-02,0.7837,0.8974,0.8719,0.8254,567671.34,468575.3
2015-12-03,0.7678,0.832,0.8254,0.8226,615493.75,506297.61
2015-12-04,0.7968,0.8622,0.8226,0.8412,273906.55,230422.36
2015-12-05,0.843,0.9079,0.8412,0.8519,247297.82,210667.59
2015-12-06,0.8202,0.8808,0.8519,0.8363,504129.43,421616.49
2015-12-07,0.7755,0.8623,0.8363,0.7957,601383.52,478495.03
2015-12-08,0.8004,0.8505,0.7957,0.8283,500056.03,414207.11
2015-12-09,0.7555,0.8428,0.8283,0.7896,755822.62,596773.35
