datetime,low,high,open,close,volumefrom,volumeto
2020-06-25,16.97,18.84,18.55,17.95,63.07,1131.89
2020-06-26,16.4,19.9,17.95,16.5,294.72,4863.72
2020-06-27,12.31,16.23,16.5,14.0,394.98,5528.57
2020-06-28,11.91,14.7,14.0,12.1,175.59,2125.12
2020-06-29,12.0,13.72,12.1,13.13,190.89,2506.07
2020-06-30,12.41,13.7,13.13,13.57,123.36,1673.71
2020-07-01,13.01,14.03,13.57,13.4,151.94,2035.45
2020-07-02,13.18,15.12,13.4,14.94,369.93,5526.56
2020-07-03,14.81,20.61,14.94,17.86,603.65,10781.75
2020-07-04,16.79,22.86,17.86,22.57,410.02,9255.01
2020-07-05,21.48,35.14,22.57,27.06,611.41,16546.4
2020-07-06,20.03,27.85,27.06,25.72,308.57,7937.37
2020-07-07,22.34,27.77,25.72,25.03,234.57,5871.71
2020-07-08,23.34,26.49,25.03,24.9,179.52,4470.16
2020-07-09,23.56,27.33,24.9,25.65,281.04,7207.92
2020-07-10,25.4,26.94,25.65,25.97,124.69,3238.3
2020-07-11,24.13,26.21,25.97,24.88,70.13,1745.17
2020-07-12,23.25,27.55,24.88,24.87,351.41,8739.83
2020-07-13,24.51,24.94,24.87,24.91,318.81,7943.02
2020-07-14,19.84,24.96,24.91,20.4,214.06,4366.9
2020-07-15,19.56,22.06,20.4,19.57,198.93,3893.53
2020-07-16,16.22,19.76,19.57,18.82,240.03,4518.23
2020-07-17,18.87,22.06,18.82,19.43,91.42,1776.36
2020-07-18,18.54,24.16,19.43,20.04,174.54,3498.31
2020-07-19,19.45,23.13,20.04,21.18,103.45,2190.91
2020-07-20,20.38,22.82,21.18,21.66,40.34,873.58
2020-07-21,19.07,22.2,21.66,20.83,118.53,2469.37
2020-07-22,19.75,22.59,20.83,20.7,81.74,1691.68
2020-07-23,19.91,21.33,20.7,20.0,9.812,196.24
2020-07-24,18.12,21.13,20.0,20.06,132.6,2659.36
2020-07-25,17.62,21.4,20.06,19.29,52.39,1010.64
2020-07-26,18.04,19.75,19.29,18.04,7.067,127.52
2020-07-27,16.73,20.93,18.04,18.31,31.5,576.74
2020-07-28,16.97,21.25,18.31,20.78,80.93,1682.06
2020-07-29,19.26,21.12,20.78,19.88,12.3,244.52
2020-07-30,18.58,19.88,19.88,19.72,47.6,938.46
2020-07-31,18.54,20.65,19.72,20.65,7.273,150.19
2020-08-01,18.9,21.49,20.65,18.9,25.56,483.08
2020-08-02,16.72,20.12,18.9,19.15,37.46,717.39
2020-08-03,18.09,20.02,19.15,19.21,46.22,887.95
2020-08-04,18.36,20.15,19.21,19.3,94.93,1832.03
2020-08-05,18.33,21.14,19.3,18.64,74.04,1380.01
2020-08-06,18.34,19.54,18.64,19.26,81.62,1571.82
2020-08-07,18.8,19.89,19.26,19.89,157.21,3126.74
2020-08-08,19.87,23.54,19.89,21.31,203.88,4343.68
2020-08-09,19.73,21.74,21.31,20.79,240.14,4992.51
2020-08-10,20.08,21.89,20.79,20.87,123.39,2574.91
2020-08-11,19.22,20.8,20.87,20.72,90.25,1869.67
2020-08-12,20.81,21.05,20.72,20.97,177.67,3724.88
2020-08-13,21.36,29.19,20.97,28.66,522.25,14969.33
2020-08-14,21.84,28.62,28.66,28.49,341.78,9738.79
2020-08-15,25.67,29.63,28.49,28.56,170.23,4861.95
2020-08-16,28.7,33.92,28.56,32.74,305.52,10002.32
2020-08-17,25.71,33.79,32.74,26.77,171.6,4593.28
2020-08-18,23.76,27.69,26.77,27.23,108.87,2964.03
2020-08-19,26.35,33.22,27.23,30.58,311.99,9539.71
2020-08-20,30.62,32.79,30.58,30.71,115.99,3562.57
2020-08-21,25.83,30.12,30.71,27.62,221.99,6131.26
2020-08-22,26.15,28.88,27.62,28.32,214.99,6089.4
2020-08-23,27.53,32.2,28.32,31.0,396.47,12292.43
2020-08-24,31.03,35.27,31.0,32.33,256.33,8287.17
2020-08-25,31.16,35.12,32.33,32.75,722.49,23658.17
2020-08-26,33.04,35.55,32.75,33.04,647.21,21381.3
2020-08-27,32.64,39.89,33.04,37.25,329.41,12268.9
2020-08-28,37.92,50.25,37.25,42.1,352.56,14844.02
2020-08-29,41.23,49.66,42.1,43.63,190.6,8315.08
2020-08-30,44.52,57.22,43.63,56.26,214.46,12066.13
2020-08-31,44.71,64.12,56.26,54.69,646.55,35357.74
2020-09-01,41.54,56.94,54.69,50.06,420.08,21027.66
2020-09-02,41.03,50.62,50.06,43.12,162.38,7001.54
2020-09-03,38.32,41.19,43.12,39.94,83.51,3335.0
2020-09-04,41.07,43.94,39.94,43.92,15.51,681.21
2020-09-05,38.29,42.66,43.92,38.29,56.13,2149.36
2020-09-06,36.92,40.31,38.29,37.75,63.88,2411.34
2020-09-07,32.37,38.18,37.75,33.92,155.4,5270.99
2020-09-08,29.47,34.73,33.92,31.35,56.12,1759.24
2020-09-09,31.5,33.21,31.35,31.91,26.54,847.0
2020-09-10,32.01,34.0,31.91,34.0,30.2,1026.68
2020-09-11,31.72,34.27,34.0,33.47,47.48,1589.29
2020-09-12,33.63,37.17,33.47,36.15,60.2,2176.23
2020-09-13,35.57,37.58,36.15,37.32,37.76,1409.22
2020-09-14,37.6,39.13,37.32,38.22,36.55,1396.86
2020-09-15,38.41,39.98,38.22,39.98,45.6,1822.88
2020-09-16,38.44,46.95,39.98,46.68,235.79,11006.03
2020-09-17,46.46,46.9,46.68,46.59,36.88,1718.37
2020-09-18,41.56,46.56,46.59,44.42,174.28,7741.3
2020-09-19,42.12,45.01,44.42,44.36,28.73,1274.37
2020-09-20,41.5,43.85,44.36,42.02,48.86,2052.92
2020-09-21,39.59,40.71,42.02,40.48,19.04,770.83
2020-09-22,40.03,41.17,40.48,40.27,23.26,936.78
2020-09-23,39.06,41.27,40.27,40.58,28.69,1164.35
2020-09-24,41.07,43.29,40.58,42.02,138.5,5819.19
2020-09-25,40.88,41.82,42.02,41.2,38.02,1566.59
2020-09-26,41.04,41.36,41.2,41.21,53.63,2210.02
2020-09-27,41.22,41.58,41.21,41.4,36.34,1504.51
2020-09-28,40.36,42.96,41.4,40.65,80.66,3278.47
2020-09-29,37.6,42.19,40.65,42.16,72.45,3054.62
2020-09-30,41.89,43.28,42.16,42.07,38.0,1598.74
2020-10-01,39.79,42.36,42.07,40.9,98.6,4032.52
2020-10-02,39.88,41.15,40.9,40.58,33.46,1357.89
2020-10-03,38.73,41.15,40.58,39.34,72.14,2837.84
2020-10-04,34.58,39.8,39.34,34.86,252.93,8816.02
