datetime,low,high,open,close,volumefrom,volumeto
2018-12-13,0.002842,0.002908,0.002998,0.002875,3472744.61,9985.69
2018-12-14,0.002353,0.003211,0.003069,0.002353,521220.86,1226.2
2018-12-15,0.002363,0.002658,0.002353,0.002539,218960.79,555.95
2018-12-16,0.002049,0.002573,0.002539,0.002138,1445493.44,3090.7
2018-12-17,0.00239,0.002655,0.002138,0.002646,256422.83,678.39
2018-12-20,0.0002713,0.003227,0.002789,0.002625,1441325.02,3784.19
2018-12-21,0.002189,0.00327,0.002625,0.002189,718042.67,1571.65
2018-12-30,0.001597,0.003818,0.001557,0.003818,18651.21,71.22
2019-01-01,0.002782,0.002853,0.00267,0.002782,9518.39,26.48
2019-01-02,0.003053,0.004368,0.002782,0.003056,164479.7,502.69
2019-01-03,0.002917,0.004261,0.003056,0.004261,241973.17,1030.94
2019-01-04,0.004449,0.00529,0.004261,0.00529,134226.07,710.02
2019-01-10,0.004326,0.005118,0.005125,0.004338,238551.89,1034.8
2019-01-21,0.004001,0.004286,0.004281,0.004001,900.0,3.6
2019-01-22,0.003812,0.004038,0.003957,0.003812,454.96,1.734
2019-02-01,0.00225,0.003877,0.003846,0.00225,68998.04,155.25
2019-02-03,0.002242,0.002277,0.002281,0.002277,68998.04,157.09
2019-02-04,0.002265,0.002711,0.002277,0.002711,39224.96,106.33
2019-02-24,0.002139,0.004269,0.005103,0.002139,38228.89,81.76
2019-03-09,0.002448,0.004421,0.004332,0.002448,630.63,1.544
2019-03-17,0.002479,0.004478,0.002497,0.004478,200.0,0.8956
2019-04-11,0.00313,0.005654,0.005957,0.00313,12150.0,38.03
2019-05-08,0.003719,0.003719,0.003608,0.003719,7354.16,27.35
2019-05-11,0.004459,0.004459,0.003942,0.004459,265.21,1.182
2019-05-14,0.002736,0.003475,0.003133,0.002736,2000.0,5.472
2019-05-17,0.002145,0.003085,0.003332,0.002145,82000.0,175.87
2019-05-24,0.001439,0.002559,0.00252,0.001439,33077.0,47.61
2019-05-27,0.001631,0.002381,0.00235,0.001631,49170.37,80.2
2019-05-31,0.001605,0.001605,0.001527,0.001605,49170.37,78.89
2019-06-08,0.001466,0.001515,0.001497,0.001515,4000.0,6.061
2019-06-09,0.0008077,0.001435,0.001515,0.00112,785364.0,879.7
2019-06-12,0.0008174,0.0008992,0.0008709,0.0008174,29513.25,24.12
2019-06-13,0.001235,0.001403,0.001273,0.001403,220000.0,308.66
2019-06-15,0.0008854,0.001594,0.0008694,0.001594,25531.18,40.69
2019-06-24,0.001986,0.001986,0.001954,0.001986,864.41,1.717
2019-06-26,0.0009039,0.002324,0.002113,0.0009039,200.0,0.1808
2019-07-08,0.00094,0.001723,0.001685,0.00094,300.0,0.282
2019-07-14,0.0003061,0.0007143,0.0007955,0.0003061,123814.29,37.9
