datetime,low,high,open,close,volumefrom,volumeto
2020-12-18,0.1747,0.2917,0.1757,0.2619,37701707.4,9873875.55
2020-12-19,0.4002,0.6021,0.5084,0.492,168942.47,83127.96
2020-12-20,0.458,1.149,0.492,0.7639,1605830.55,1226677.08
2020-12-21,0.3671,0.7514,0.7639,0.4901,517923.82,253828.76
2020-12-22,0.5026,0.63,0.5564,0.5454,166606928.14,94150433.41
2020-12-23,0.3353,0.5818,0.5454,0.4125,311144973.1,147828199.39
2020-12-24,0.3551,0.4567,0.4125,0.4102,223976689.41,90022667.82
2020-12-25,0.3342,0.4209,0.4102,0.3591,157955590.95,59253817.77
2020-12-26,0.32,0.4991,0.3591,0.4841,349529078.44,145700268.61
2020-12-27,0.3779,0.496,0.4841,0.396,267773392.18,114462797.59
2020-12-28,0.3746,0.438,0.396,0.38,191653341.68,78545455.22
2020-12-29,0.3395,0.3859,0.38,0.3726,150697662.52,55194070.01
2020-12-30,0.35,0.405,0.3726,0.3748,124188667.48,46561688.61
2020-12-31,0.3415,0.3805,0.3748,0.3512,69474736.34,24831485.8
2021-01-01,0.3462,0.3795,0.3512,0.3629,80668554.5,29373203.25
2021-01-02,0.3108,0.3629,0.3629,0.3272,86929135.69,29450001.12
2021-01-03,0.282,0.3374,0.3272,0.2982,173791771.36,53764754.05
2021-01-04,0.2914,0.3548,0.2982,0.309,166249455.02,53147309.71
2021-01-05,0.2853,0.348,0.309,0.3396,155879290.99,49020869.48
2021-01-06,0.3155,0.3998,0.3396,0.3708,209018126.27,75330402.81
2021-01-07,0.328,0.4159,0.3708,0.3459,139367083.87,51680361.71
2021-01-08,0.3107,0.3515,0.3459,0.3293,124317457.31,41382260.66
2021-01-09,0.3171,0.3651,0.3293,0.3493,96790646.98,33347824.44
2021-01-10,0.308,0.3788,0.3493,0.327,97482336.46,33479024.21
2021-01-11,0.2327,0.3278,0.327,0.2913,131286812.75,36779556.2
2021-01-12,0.2646,0.31,0.2913,0.2774,61411351.08,17551427.67
2021-01-13,0.2671,0.3497,0.2774,0.3247,91290681.66,28676638.12
2021-01-14,0.3159,0.3616,0.3247,0.3335,98634393.84,33740274.36
2021-01-15,0.311,0.392,0.3335,0.3379,111514556.8,38952182.13
2021-01-16,0.3371,0.4781,0.3379,0.4656,216747587.88,90132242.07
2021-01-17,0.4099,0.575,0.4656,0.5198,249825346.97,123731647.15
2021-01-18,0.4956,0.6618,0.5198,0.6185,235307050.67,140044965.46
2021-01-19,0.5252,0.644,0.6185,0.54,168409880.93,95260432.61
2021-01-20,0.4768,0.5758,0.54,0.5217,114459176.62,60131561.18
2021-01-21,0.4343,0.5598,0.5217,0.4356,112904437.61,55435207.21
2021-01-22,0.3862,0.5565,0.4356,0.5109,148401765.47,71315555.53
2021-01-23,0.4892,0.5931,0.5109,0.5848,96979052.25,52621275.24
2021-01-24,0.5181,0.594,0.5848,0.5564,77144840.67,43016763.32
2021-01-25,0.5258,0.594,0.5564,0.5299,62102963.85,34865448.71
2021-01-26,0.4808,0.5509,0.5299,0.5371,55290963.61,28610195.45
2021-01-27,0.454,0.5457,0.5371,0.4856,58383737.36,29017644.03
2021-01-28,0.469,0.5836,0.4856,0.5589,77100665.78,41679085.98
2021-01-29,0.5341,0.66,0.5589,0.5536,141658529.85,82899599.91
2021-01-30,0.5522,0.6801,0.5536,0.6367,113365502.52,69641804.62
2021-01-31,0.602,0.8718,0.6367,0.7947,185080158.68,134866029.8
2021-02-01,0.7535,0.8892,0.7947,0.7843,126461751.1,102244855.3
2021-02-02,0.7254,0.8192,0.7843,0.754,76508470.12,58505193.5
2021-02-03,0.7261,0.8689,0.754,0.8266,74130388.6,58595703.55
2021-02-04,0.7693,0.8599,0.8266,0.8168,80903985.06,66388734.43
2021-02-05,0.807,1.05,0.8168,0.9523,126585305.09,117865819.67
2021-02-06,0.8339,0.9553,0.9523,0.8677,62494486.35,54878474.02
2021-02-07,0.7801,0.9598,0.8677,0.9179,74242676.61,65334661.99
2021-02-08,0.9132,1.045,0.9179,0.967,75045562.58,73939668.6
2021-02-09,0.9428,1.1,0.967,1.053,48275736.76,48264814.63
2021-02-10,0.9912,1.289,1.053,1.27,135148725.64,153108297.33
2021-02-11,1.202,2.193,1.27,2.03,314982155.14,552016430.72
2021-02-12,1.914,2.802,2.03,2.248,174909600.1,421264937.45
2021-02-13,2.179,2.59,2.248,2.354,2740062.44,6522117.36
2021-02-14,1.9,2.413,2.354,2.163,2959533.08,6284781.79
2021-02-15,1.67,2.442,2.163,2.143,3104679.0,6318425.62
2021-02-16,2.021,2.275,2.143,2.073,1026831.85,2189144.42
2021-02-17,1.912,2.21,2.073,2.189,1169813.06,2403927.39
2021-02-18,2.132,2.349,2.189,2.286,988456.31,2214352.32
2021-02-19,2.107,2.328,2.286,2.17,782565.7,1706130.49
2021-02-20,2.088,2.66,2.17,2.296,2837755.12,6825112.28
2021-02-21,2.195,2.387,2.296,2.299,803185.52,1821558.03
2021-02-22,1.626,2.43,2.299,2.026,2955533.63,5963224.57
2021-02-23,1.31,2.026,2.026,1.702,5745877.85,9247470.82
2021-02-24,1.602,2.03,1.702,1.888,2699244.91,5092253.04
2021-02-25,1.697,1.998,1.888,1.697,1587415.07,2951945.89
2021-02-26,1.567,1.867,1.697,1.728,2476974.76,4181230.3
2021-02-27,1.639,1.814,1.728,1.684,573333.63,994032.5
2021-02-28,1.429,1.69,1.684,1.591,1826008.27,2813355.35
2021-03-01,1.591,1.929,1.591,1.921,1343932.45,2348507.63
2021-03-02,1.722,1.983,1.921,1.833,1731900.23,3266206.75
2021-03-03,1.8,2.084,1.833,1.954,1226487.16,2417129.7
2021-03-04,1.792,2.044,1.954,1.869,688365.61,1293644.52
2021-03-05,1.724,1.889,1.869,1.824,736288.55,1336748.65
2021-03-06,1.751,1.86,1.824,1.794,470457.39,844822.55
2021-03-07,1.866,2.025,1.798,1.88,888414.89,1670196.33
2021-03-08,1.805,1.928,1.878,1.906,588776.42,1098979.35
2021-03-09,1.874,2.223,1.906,2.132,1356870.01,2805080.14
2021-03-10,1.959,2.147,2.132,2.039,602463.3,1238820.25
2021-03-11,1.854,2.112,2.039,1.917,865703.43,1733284.57
2021-03-12,1.663,1.928,1.917,1.738,1211045.24,2184205.18
2021-03-13,1.655,1.892,1.738,1.839,30353996.73,74141257.65
