datetime,low,high,open,close,volumefrom,volumeto
2019-09-20,0.0457,0.1,0.05003,0.05257,2026065.7,109478.0
2019-09-21,0.04543,0.05835,0.05257,0.04787,3900910.54,199551.68
2019-09-22,0.0364,0.04838,0.04787,0.0394,15361687.28,626799.1
2019-09-23,0.03429,0.04235,0.0394,0.03783,13057416.48,482984.78
2019-09-24,0.02938,0.04887,0.03783,0.02961,7744853.68,284325.28
2019-09-25,0.02605,0.04945,0.02961,0.03029,4984608.84,143898.54
2019-09-26,0.0269,0.03339,0.03029,0.0289,6001513.33,178207.97
2019-09-27,0.02757,0.03963,0.0289,0.03794,6667640.48,226647.87
2019-09-28,0.03729,0.04499,0.03794,0.03974,3112339.41,125499.92
2019-09-29,0.0325,0.04397,0.03974,0.039,4480134.25,161925.92
2019-09-30,0.03511,0.04457,0.039,0.03807,4238942.16,163832.12
2019-10-01,0.037,0.04182,0.03807,0.03945,2186309.57,85245.52
2019-10-02,0.0359,0.04192,0.03945,0.03739,977739.83,36712.52
2019-10-03,0.03649,0.03999,0.03739,0.03775,1430081.19,54286.63
2019-10-04,0.03664,0.03997,0.03775,0.03886,1120016.95,43415.2
2019-10-05,0.03836,0.04499,0.03886,0.04178,3054910.25,125471.22
2019-10-06,0.03741,0.04193,0.04178,0.03806,1829337.49,71987.22
2019-10-07,0.0364,0.0388,0.03806,0.03826,2155654.52,80773.43
2019-10-08,0.0372,0.03944,0.03826,0.0388,1122576.19,43002.13
2019-10-09,0.03853,0.03989,0.0388,0.03905,818909.26,31990.66
2019-10-10,0.0368,0.03929,0.03905,0.03838,1426522.89,53741.38
2019-10-11,0.0355,0.03838,0.03838,0.0361,1223377.47,44369.23
2019-10-12,0.03484,0.03627,0.0361,0.03508,409945.08,14527.15
2019-10-13,0.0332,0.03518,0.03508,0.03331,460086.68,15721.46
2019-10-14,0.03269,0.03807,0.03331,0.03718,572967.39,19868.79
2019-10-15,0.0333,0.03999,0.03718,0.03788,1668586.98,60885.28
2019-10-16,0.03505,0.03875,0.03788,0.03741,553614.25,20407.43
2019-10-17,0.03411,0.03741,0.03741,0.03523,1589129.46,55684.9
2019-10-18,0.03326,0.03748,0.03523,0.03395,1504378.72,51156.8
2019-10-19,0.03321,0.034,0.03395,0.03349,452820.75,15187.01
2019-10-20,0.0327,0.0376,0.03349,0.03326,682184.28,22793.31
2019-10-21,0.03282,0.03449,0.03326,0.03325,1695984.02,57056.87
2019-10-22,0.03151,0.0334,0.03325,0.03162,837521.1,27096.29
2019-10-23,0.02643,0.03162,0.03162,0.02795,5353971.13,157690.21
