datetime,low,high,open,close,volumefrom,volumeto
2018-02-20,2.417,2.558,2.593,2.435,5402138.52,13155179.68
2018-02-21,2.226,2.396,2.436,2.363,17301323.27,40886509.64
2018-02-22,2.148,2.332,2.361,2.165,18458116.97,39966609.98
2018-02-23,2.222,2.393,2.165,2.294,22031192.73,50539882.18
2018-02-24,2.21,2.314,2.297,2.268,21582711.71,48947999.3
2018-02-25,2.218,2.31,2.268,2.243,18106522.38,40607630.28
2018-02-26,2.212,2.33,2.239,2.311,17584037.56,40642683.75
2018-02-27,2.31,2.615,2.312,2.578,26562789.95,68482422.34
2018-02-28,2.146,2.535,2.577,2.17,25071568.62,54395826.85
2018-03-01,2.175,2.333,2.164,2.297,17685718.04,40629871.73
2018-03-02,2.072,2.31,2.296,2.171,18353079.34,39838243.81
2018-03-03,2.113,2.216,2.171,2.206,15503538.85,34198724.58
2018-03-04,2.162,2.246,2.208,2.17,16253886.24,35268632.73
2018-03-05,2.126,2.284,2.17,2.257,19069386.85,43037869.66
2018-03-06,2.043,2.176,2.257,2.104,18591064.89,39124527.96
2018-03-07,1.791,1.99,2.104,1.804,16470027.48,29715458.44
2018-03-08,1.489,1.735,1.803,1.607,19881675.04,31942101.32
2018-03-09,1.577,1.686,1.607,1.666,12888626.98,21473749.66
2018-03-10,1.522,1.576,1.661,1.571,6828025.52,10729128.45
2018-03-11,1.632,1.756,1.571,1.723,7109256.12,12249967.18
2018-03-12,1.603,1.738,1.731,1.669,25490688.28,42535441.79
2018-03-13,1.594,1.663,1.668,1.654,11763494.52,19454868.61
2018-03-14,1.417,1.53,1.653,1.475,14810320.17,21839679.49
2018-03-15,1.434,1.526,1.475,1.497,14137543.12,21165218.54
2018-03-16,1.441,1.524,1.497,1.512,12405806.1,18759247.9
2018-03-17,1.354,1.418,1.508,1.416,12265598.86,17371265.27
2018-03-18,1.29,1.505,1.417,1.369,15294885.74,20942434.2
2018-03-19,1.384,1.522,1.37,1.492,13004891.98,19398769.88
2018-03-20,1.474,1.564,1.497,1.496,13294148.04,19887517.82
2018-03-21,1.46,1.53,1.497,1.507,11761988.37,17721997.36
2018-03-22,1.418,1.495,1.507,1.474,10829499.49,15961596.05
2018-03-23,1.44,1.497,1.474,1.463,11176708.74,16356515.62
2018-03-24,1.378,1.717,1.463,1.518,12804536.15,19435069.15
2018-03-25,1.489,1.569,1.518,1.511,10413215.82,15739564.26
2018-03-26,1.391,1.507,1.51,1.486,11225324.81,16686066.48
2018-03-27,1.363,1.533,1.488,1.499,10391682.84,15581018.86
2018-03-28,1.488,1.694,1.498,1.673,25965017.48,43442833.08
2018-03-29,1.421,1.605,1.673,1.574,23332336.61,36733821.78
2018-03-30,1.532,1.772,1.576,1.712,21328579.18,36513152.72
