datetime,low,high,open,close,volumefrom,volumeto
2019-05-28,0.05135,1.47,0.05135,1.45,84335.22,122811.43
2019-05-29,1.41,1.53,1.45,1.53,2503451.38,3752404.48
2019-05-30,1.4,1.54,1.53,1.4,1785941.65,2652049.06
2019-05-31,1.4,1.51,1.4,1.49,736717.58,1077940.33
2019-06-01,1.4,1.5,1.49,1.41,496903.35,726089.36
2019-06-02,1.41,1.48,1.41,1.42,564593.42,813565.79
2019-06-03,1.4,1.44,1.42,1.41,212872.95,302717.98
2019-06-04,1.35,1.5,1.41,1.47,1109414.38,1586463.37
2019-06-05,1.44,1.51,1.47,1.48,628248.96,922213.77
2019-06-06,1.48,1.65,1.48,1.65,1459319.94,2291613.31
2019-06-07,1.62,1.7,1.65,1.69,1294927.77,2166050.99
2019-06-08,1.64,1.73,1.69,1.72,1284847.11,2175264.9
2019-06-09,1.7,1.77,1.72,1.75,2008124.4,3484179.36
2019-06-10,1.75,1.93,1.75,1.913,3956480.39,7302009.4
2019-06-11,1.864,1.95,1.913,1.91,1533604.95,2937456.49
2019-06-12,1.89,1.975,1.91,1.97,2283240.91,4438657.11
2019-06-13,1.851,1.971,1.97,1.944,1709341.98,3289202.64
2019-06-14,1.835,1.957,1.944,1.928,2536564.41,4815424.61
2019-06-15,1.897,1.935,1.928,1.909,634786.98,1218431.37
2019-06-16,1.87,1.915,1.909,1.879,1033629.56,1953602.87
2019-06-17,1.866,1.94,1.879,1.91,1100276.29,2096189.51
2019-06-18,1.85,1.923,1.91,1.87,1369201.74,2590927.43
2019-06-19,1.813,1.881,1.87,1.855,640443.16,1178215.48
2019-06-20,1.85,1.915,1.855,1.893,2035565.34,3851540.36
2019-06-21,1.8,1.91,1.893,1.835,1862340.54,3460927.39
2019-06-22,1.72,1.867,1.835,1.845,1789592.56,3221270.83
2019-06-23,1.83,1.939,1.845,1.885,1968883.47,3724085.88
2019-06-24,1.838,1.902,1.885,1.899,915689.68,1717791.63
2019-06-25,1.86,1.916,1.899,1.916,1798916.12,3410029.13
2019-06-26,1.853,2.0,1.916,1.872,2980037.59,5802098.55
2019-06-27,1.71,1.938,1.872,1.767,1832361.98,3278130.6
2019-06-28,1.72,1.905,1.767,1.823,976940.34,1764576.03
2019-06-29,1.791,1.92,1.823,1.905,824926.23,1536145.94
2019-06-30,1.75,1.92,1.905,1.76,760642.24,1384857.12
2019-07-01,1.744,1.806,1.76,1.75,535791.71,945482.86
2019-07-02,1.66,1.76,1.75,1.729,2076637.93,3542111.52
2019-07-03,1.66,1.757,1.729,1.7,651216.62,1102952.42
2019-07-04,1.69,1.806,1.7,1.79,758254.23,1324512.99
2019-07-05,1.68,1.798,1.79,1.764,521495.1,896168.95
2019-07-06,1.71,1.77,1.764,1.712,258715.51,447241.09
2019-07-07,1.688,1.73,1.712,1.702,120900.71,206025.15
2019-07-08,1.6,1.704,1.702,1.609,723739.06,1193726.28
2019-07-09,1.45,1.619,1.609,1.587,2329920.72,3590622.1
2019-07-10,1.49,1.59,1.587,1.504,1336058.33,2026320.81
2019-07-11,1.46,1.57,1.504,1.51,1387883.25,2074120.08
2019-07-12,1.423,1.527,1.51,1.491,889665.77,1295940.56
2019-07-13,1.42,1.5,1.491,1.428,317240.88,458985.08
2019-07-14,1.39,1.44,1.428,1.411,984347.07,1394305.41
2019-07-15,1.365,1.469,1.411,1.452,1403425.24,1958507.01
2019-07-16,1.33,1.46,1.452,1.349,1457253.76,1986758.86
2019-07-17,1.259,1.38,1.349,1.345,1627104.62,2138180.79
2019-07-18,1.23,1.345,1.345,1.33,1725830.79,2208913.8
2019-07-19,1.205,1.33,1.33,1.25,6096288.86,7592247.06
2019-07-20,1.21,1.386,1.25,1.26,1014054.28,1287133.6
2019-07-21,1.229,1.345,1.26,1.274,325627.88,409786.48
2019-07-22,1.27,1.347,1.274,1.3,653367.02,831528.54
2019-07-23,1.26,1.34,1.3,1.305,505254.65,642024.18
2019-07-24,1.272,1.328,1.305,1.321,570043.36,733356.63
2019-07-25,1.28,1.327,1.321,1.295,720034.31,932808.05
2019-07-26,1.259,1.32,1.295,1.278,1059593.77,1315387.54
2019-07-27,1.25,1.291,1.278,1.29,823853.34,1011951.42
2019-07-28,1.246,1.291,1.29,1.285,293060.37,303635.77
2019-07-29,1.27,1.35,1.285,1.348,541015.44,688049.31
2019-07-30,1.29,1.359,1.348,1.335,1121975.22,1486421.4
2019-07-31,1.29,1.339,1.335,1.31,720620.16,917341.73
2019-08-01,1.28,1.317,1.31,1.309,1401618.32,1800212.8
2019-08-02,1.27,1.317,1.309,1.288,863686.59,1099018.11
2019-08-03,1.283,1.325,1.288,1.325,715183.34,897329.52
2019-08-04,1.27,1.325,1.325,1.315,1324624.12,1678229.94
2019-08-05,1.286,1.324,1.315,1.323,1481210.03,1903371.59
2019-08-06,1.236,1.346,1.323,1.248,1051600.1,1334978.0
2019-08-07,1.245,1.268,1.248,1.268,367385.21,400077.56
2019-08-08,1.242,1.272,1.268,1.255,357283.45,404315.01
2019-08-09,1.21,1.255,1.255,1.23,996752.32,1207198.18
2019-08-10,1.211,1.236,1.23,1.23,415940.81,486588.52
2019-08-11,1.225,1.355,1.23,1.313,1270582.66,1597433.49
2019-08-12,1.242,1.313,1.313,1.265,191631.62,224837.62
2019-08-13,1.23,1.266,1.265,1.232,140134.43,155301.13
2019-08-14,1.225,1.32,1.232,1.257,605714.02,728027.52
2019-08-15,1.21,1.26,1.257,1.227,336799.16,393861.6
2019-08-16,1.166,1.228,1.227,1.174,473728.01,535297.79
2019-08-17,1.161,1.314,1.174,1.217,1157790.48,1421411.68
2019-08-18,1.205,1.32,1.217,1.318,1248777.57,1599743.15
2019-08-19,1.276,1.331,1.318,1.33,372885.23,469671.28
2019-08-20,1.291,1.35,1.33,1.314,567127.83,736941.85
2019-08-21,1.175,1.315,1.314,1.205,1288884.43,1586429.87
2019-08-22,1.179,1.222,1.205,1.219,985705.27,1143510.61
2019-08-23,1.185,1.219,1.219,1.21,363488.83,409317.38
2019-08-24,1.16,1.21,1.21,1.17,824558.88,948913.87
2019-08-25,1.165,1.2,1.17,1.17,458908.06,512168.03
2019-08-26,1.15,1.218,1.17,1.189,1147441.13,1337388.09
2019-08-27,1.17,1.199,1.189,1.193,239273.64,254147.76
2019-08-28,1.15,1.193,1.193,1.157,661145.48,713245.64
2019-08-29,1.135,1.158,1.157,1.14,845398.01,930609.54
2019-08-30,1.131,1.146,1.14,1.139,267666.0,288800.65
2019-08-31,1.116,1.143,1.139,1.138,924639.59,1025974.59
2019-09-01,1.11,1.153,1.138,1.153,467262.08,511152.25
2019-09-02,0.0219,1.153,1.153,1.145,518724.06,568448.6
2019-09-03,1.12,1.145,1.145,1.129,339776.06,359932.67
2019-09-04,1.1,1.129,1.129,1.1,394486.1,421243.48
2019-09-05,1.07,1.112,1.1,1.073,1225552.71,1321243.98
2019-09-06,1.056,1.073,1.073,1.06,764699.76,749061.87
2019-09-07,1.06,1.069,1.06,1.065,183905.63,142546.8
2019-09-08,1.063,1.073,1.065,1.07,182672.83,176286.68
2019-09-09,1.05,1.073,1.07,1.053,523037.08,529980.57
2019-09-10,1.047,1.062,1.053,1.058,2812617.99,2909179.41
2019-09-11,1.055,1.07,1.058,1.069,340994.09,337465.57
2019-09-12,1.065,1.076,1.069,1.071,453305.87,361192.04
2019-09-13,1.034,1.075,1.071,1.055,2323555.58,2412948.26
2019-09-14,1.046,1.06,1.055,1.059,608198.11,604616.95
2019-09-15,1.059,1.075,1.059,1.074,257017.11,261518.57
2019-09-16,1.06,1.089,1.074,1.086,665820.05,705734.54
2019-09-17,1.081,1.117,1.086,1.111,620919.0,681919.8
2019-09-18,1.103,1.122,1.111,1.106,302243.75,302904.2
2019-09-19,1.091,1.107,1.106,1.095,286358.22,287347.44
2019-09-20,1.079,1.096,1.095,1.084,159521.43,117592.88
2019-09-21,1.079,1.087,1.084,1.08,51601.26,39594.5
2019-09-22,1.075,1.085,1.08,1.079,100779.87,87702.65
2019-09-23,1.058,1.081,1.079,1.061,688734.19,682381.41
2019-09-24,1.045,1.076,1.061,1.055,1777818.31,1843937.23
2019-09-25,1.045,1.059,1.055,1.048,616440.58,599154.76
2019-09-26,1.044,1.05,1.048,1.048,1115552.97,1136545.26
2019-09-27,1.041,1.053,1.048,1.048,3898852.54,3954604.25
2019-09-28,1.042,1.055,1.048,1.054,4447397.05,4596509.55
2019-09-29,1.041,1.054,1.054,1.044,385295.92,323199.9
2019-09-30,1.041,1.046,1.044,1.042,978207.22,1006273.28
2019-10-01,1.04,1.045,1.042,1.04,1155906.49,1187250.86
2019-10-02,1.04,1.054,1.04,1.043,2962304.52,3055097.25
2019-10-03,1.039,1.044,1.043,1.043,1225572.52,1267680.39
2019-10-04,1.039,1.043,1.043,1.042,180668.98,167726.67
2019-10-05,1.032,1.042,1.042,1.04,373312.22,371962.83
2019-10-06,0.9575,1.04,1.04,0.966,2940008.03,2917599.24
2019-10-07,0.9502,0.9691,0.966,0.955,627471.7,526607.43
2019-10-08,0.9462,0.9653,0.955,0.9646,645210.64,585859.62
2019-10-09,0.941,1.015,0.9646,0.9768,2788323.36,2639555.22
2019-10-10,0.9649,1.014,0.9768,1.014,886589.3,829630.31
2019-10-11,0.9767,1.014,1.014,1.002,361552.31,322480.11
2019-10-12,0.9982,1.006,1.002,0.9998,74142.53,56154.35
2019-10-13,0.9897,1.003,0.9998,0.9999,44643.75,44601.2
2019-10-14,0.9646,1.0,0.9999,0.9806,202204.81,190187.29
2019-10-15,0.9794,1.005,0.9806,0.9999,162438.91,145701.94
2019-10-16,0.992,1.007,0.9999,0.9953,246109.03,210841.49
2019-10-17,0.986,1.025,0.9953,1.023,313776.25,307996.4
2019-10-18,1.002,1.023,1.023,1.01,146273.57,147679.45
2019-10-19,1.002,1.023,1.01,1.019,129817.38,122697.49
2019-10-20,1.013,1.025,1.019,1.025,160016.46,161607.67
2019-10-21,1.007,1.026,1.025,1.011,154763.04,123024.54
2019-10-22,0.981,1.014,1.011,0.9875,509852.14,334690.79
2019-10-23,0.952,0.9919,0.9875,0.9706,559726.52,514380.2
2019-10-24,0.948,0.9706,0.9706,0.9601,390729.39,350997.6
2019-10-25,0.9489,0.985,0.9601,0.985,256814.71,245076.11
2019-10-26,0.9728,1.007,0.985,1.005,390724.18,371497.29
2019-10-27,0.9949,1.009,1.005,1.001,237627.67,234033.89
2019-10-28,0.9609,1.008,1.001,0.9649,399012.69,377211.77
2019-10-29,0.9505,0.9651,0.9649,0.9577,454872.55,409191.55
2019-10-30,0.95,0.96,0.9577,0.9584,403938.87,370688.82
2019-10-31,0.9537,1.008,0.9584,1.002,634436.73,602251.21
2019-11-01,0.9822,1.004,1.002,1.004,259763.74,258470.25
2019-11-02,1.0,1.015,1.004,1.008,212456.5,149320.31
2019-11-03,1.007,1.015,1.008,1.013,83343.78,68874.85
2019-11-04,1.0,1.024,1.013,1.011,210420.09,203668.55
2019-11-05,0.9969,1.02,1.011,0.9999,219288.41,203003.51
2019-11-06,0.9834,1.009,0.9999,0.985,110392.47,99369.28
