datetime,low,high,open,close,volumefrom,volumeto
2015-09-21,2.756,2.841,2.837,2.782,124432.78,347842.47
2015-09-22,2.764,2.904,2.782,2.821,185070.1,524779.53
2015-09-23,2.821,2.9,2.821,2.849,76966.0,220065.86
2015-09-24,2.828,2.934,2.849,2.898,146854.43,425911.16
2015-09-25,2.837,2.943,2.898,2.87,95927.08,277774.19
2015-09-26,2.811,2.887,2.87,2.869,57936.23,165735.51
2015-09-27,2.844,2.887,2.869,2.861,43323.05,124336.64
2015-09-28,2.842,3.031,2.861,3.026,293344.58,871561.89
2015-09-29,2.96,3.156,3.026,2.988,325506.08,999601.63
2015-09-30,2.918,3.063,2.988,2.985,161010.51,481847.12
2015-10-01,2.924,3.022,2.985,2.981,157055.28,469208.6
2015-10-02,2.94,3.003,2.981,2.96,87969.72,261755.12
2015-10-03,2.954,3.04,2.96,3.009,89106.03,267337.72
2015-10-04,2.965,3.049,3.009,2.982,54177.47,162373.93
2015-10-05,2.937,3.017,2.982,2.992,136448.03,408252.16
2015-10-06,2.977,3.124,2.992,3.11,229179.9,700985.44
2015-10-07,3.01,3.139,3.11,3.029,222372.85,689592.85
2015-10-08,3.005,3.071,3.029,3.037,103281.6,312896.66
2015-10-09,3.031,3.103,3.037,3.091,82173.45,253035.18
2015-10-10,3.053,3.124,3.091,3.093,90437.33,280598.51
2015-10-11,3.052,3.13,3.093,3.127,119672.05,370821.96
2015-10-12,3.093,3.158,3.127,3.112,121751.46,381502.26
2015-10-13,3.068,3.173,3.112,3.142,188197.5,590998.53
2015-10-14,3.058,3.171,3.142,3.111,181748.65,567059.43
2015-10-15,3.065,3.13,3.111,3.085,131981.61,408305.17
2015-10-16,3.058,3.148,3.085,3.099,153940.45,478177.99
2015-10-17,2.975,3.139,3.099,3.047,360857.02,1110099.4
2015-10-18,2.963,3.076,3.047,2.995,104844.79,317328.76
2015-10-19,2.943,3.051,2.995,3.035,130204.7,390618.33
2015-10-20,3.02,3.09,3.035,3.063,107579.29,328956.72
2015-10-21,3.035,3.113,3.063,3.064,78019.06,239476.45
2015-10-22,3.043,3.134,3.064,3.1,164991.4,514725.57
2015-10-23,3.058,3.113,3.1,3.08,92683.87,286603.01
2015-10-24,3.064,3.107,3.08,3.087,86381.97,267593.13
2015-10-25,3.04,3.155,3.087,3.071,192440.72,595023.09
2015-10-26,2.982,3.109,3.071,3.084,109959.02,337780.82
2015-10-27,3.058,3.118,3.084,3.084,102813.98,318140.78
2015-10-28,3.06,3.127,3.084,3.073,107559.69,331941.95
2015-10-29,2.986,3.875,3.073,3.807,1403606.65,4902150.41
2015-10-30,3.577,3.998,3.807,3.844,941725.69,3617991.47
2015-10-31,3.468,3.844,3.844,3.554,393548.44,1450428.98
2015-11-01,3.539,3.747,3.554,3.674,210095.95,771220.19
2015-11-02,3.667,4.052,3.674,3.968,620230.39,2424708.46
2015-11-03,3.831,4.626,3.968,4.285,1992181.36,8610727.27
2015-11-04,3.781,4.937,4.285,3.99,2274644.78,10121433.05
2015-11-05,3.56,4.266,3.99,3.759,1152426.89,4492513.5
2015-11-06,3.29,3.82,3.759,3.425,949085.71,3322494.34
2015-11-07,3.408,3.6,3.425,3.477,202229.15,709780.26
2015-11-08,3.266,3.546,3.477,3.337,229466.8,785405.47
2015-11-09,3.131,3.411,3.337,3.331,464688.0,1526759.64
2015-11-10,2.991,3.393,3.331,3.113,716575.87,2262045.71
2015-11-11,2.849,3.131,3.113,2.924,478219.98,1425302.38
2015-11-12,2.852,3.273,2.924,3.239,481446.43,1510884.57
2015-11-13,3.116,3.333,3.239,3.211,161836.84,517658.89
2015-11-14,3.152,3.248,3.211,3.169,96766.49,308337.34
2015-11-15,3.001,3.209,3.169,3.037,232546.87,715616.5
2015-11-16,3.007,3.18,3.037,3.167,153537.2,477295.07
2015-11-17,3.126,3.23,3.167,3.176,151610.1,481575.45
2015-11-18,3.129,3.197,3.176,3.174,107803.19,341257.5
2015-11-19,3.077,3.201,3.174,3.105,139768.95,438235.76
2015-11-20,3.018,3.135,3.105,3.103,203074.22,628483.94
2015-11-21,3.088,3.157,3.103,3.129,79003.84,247650.41
2015-11-22,3.078,3.15,3.129,3.112,79076.02,246164.35
2015-11-23,3.069,3.149,3.112,3.113,52285.39,162855.53
2015-11-24,3.063,3.123,3.113,3.097,85840.93,265904.63
2015-11-25,3.054,3.366,3.097,3.302,373449.31,1205585.12
2015-11-26,3.296,3.741,3.302,3.541,891859.57,3174296.53
2015-11-27,3.46,3.609,3.541,3.552,255071.06,907307.72
2015-11-28,3.433,3.576,3.552,3.49,129581.65,453909.22
2015-11-29,3.425,3.683,3.49,3.645,264060.35,945001.78
2015-11-30,3.521,3.751,3.645,3.598,318694.41,1156787.57
2015-12-01,3.349,3.612,3.598,3.409,343460.68,1190156.58
2015-12-02,3.269,3.429,3.409,3.343,238699.4,796953.13
2015-12-03,3.291,3.419,3.343,3.349,181341.54,610778.51
2015-12-04,3.299,3.381,3.349,3.331,92932.36,310106.81
2015-12-05,3.325,3.528,3.331,3.485,286650.54,984293.29
2015-12-06,3.381,3.579,3.485,3.436,419679.94,1462477.75
2015-12-07,3.372,3.639,3.436,3.565,419591.74,1499939.36
2015-12-08,3.476,3.635,3.565,3.63,175144.3,622549.59
2015-12-09,3.531,3.707,3.63,3.616,552236.36,2013330.8
2015-12-10,3.535,3.657,3.616,3.628,195797.85,711180.1
2015-12-11,3.598,3.81,3.628,3.759,564088.48,2114777.56
2015-12-12,3.438,3.906,3.759,3.538,666492.4,2488966.84
2015-12-13,3.463,3.581,3.538,3.541,69568.11,247176.55
2015-12-14,3.519,3.654,3.577,3.575,300425.25,1074121.81
2015-12-15,3.549,3.79,3.55,3.763,371105.96,1381836.38
2015-12-16,3.545,3.787,3.763,3.629,307545.41,1125346.84
2015-12-17,3.601,3.73,3.629,3.712,176386.28,649234.03
2015-12-18,3.672,3.78,3.712,3.729,136622.79,508845.89
2015-12-19,3.635,3.771,3.729,3.704,91467.35,339087.75
2015-12-20,3.431,3.704,3.704,3.508,273581.15,971737.54
2015-12-21,3.38,3.518,3.508,3.411,205323.36,704823.33
2015-12-22,3.368,3.448,3.411,3.39,76978.89,262880.59
2015-12-23,3.385,3.583,3.39,3.555,183261.39,643111.21
2015-12-24,3.546,3.665,3.555,3.609,174286.57,630958.69
2015-12-25,3.538,3.651,3.609,3.594,91607.23,329124.36
2015-12-26,3.325,3.603,3.594,3.4,437918.2,1505410.72
2015-12-27,3.362,3.51,3.4,3.481,165975.34,572216.56
2015-12-28,3.436,3.534,3.481,3.455,95539.16,332179.97
2015-12-29,3.424,3.531,3.455,3.505,170851.13,595670.83
2015-12-30,3.424,3.522,3.505,3.455,95688.81,332259.84
2015-12-31,3.392,3.491,3.455,3.471,94999.73,327371.92
2016-01-01,3.441,3.523,3.471,3.493,67408.41,234474.55
2016-01-02,3.433,3.506,3.493,3.488,52602.64,183232.74
2016-01-03,3.425,3.494,3.488,3.465,88909.4,307436.48
2016-01-04,3.454,3.499,3.465,3.488,77478.32,269308.65
2016-01-05,3.441,3.494,3.488,3.459,60401.05,209387.09
2016-01-06,3.43,3.469,3.459,3.447,49033.27,169065.85
2016-01-07,3.438,3.592,3.447,3.586,259608.03,917686.84
2016-01-08,3.51,3.61,3.586,3.562,152476.75,542810.47
2016-01-09,3.519,3.569,3.562,3.539,96358.08,341388.56
2016-01-10,3.46,3.555,3.539,3.525,111853.03,392514.96
2016-01-11,3.512,3.632,3.525,3.55,164535.03,584237.95
2016-01-12,3.497,3.571,3.55,3.522,69323.86,244206.42
2016-01-13,3.432,3.551,3.522,3.48,232056.21,800956.38
2016-01-14,3.436,3.489,3.48,3.453,62153.11,215301.82
2016-01-15,3.101,3.473,3.453,3.142,566916.06,1852465.98
2016-01-16,2.894,3.147,3.142,3.061,572887.96,1711579.76
2016-01-17,3.01,3.133,3.061,3.02,163416.06,499580.46
2016-01-18,2.95,3.059,3.02,3.035,225717.2,678148.66
2016-01-19,2.972,3.05,3.035,3.016,114082.37,343880.13
2016-01-20,2.964,3.44,3.016,3.363,481466.3,1549233.87
2016-01-21,3.127,3.405,3.363,3.216,276075.73,902528.49
2016-01-22,3.037,3.243,3.216,3.083,254153.52,789895.78
2016-01-23,3.062,3.168,3.083,3.11,130773.64,407628.58
2016-01-24,3.071,3.225,3.11,3.171,104306.81,329817.36
2016-01-25,3.091,3.179,3.171,3.122,109947.73,345043.06
2016-01-26,3.09,3.185,3.122,3.133,68425.74,214504.48
2016-01-27,3.115,3.325,3.133,3.278,213593.12,689955.63
2016-01-28,3.065,3.293,3.278,3.082,145667.54,455758.24
2016-01-29,3.02,3.132,3.082,3.102,152089.68,468161.12
2016-01-30,3.042,3.113,3.102,3.062,52516.86,161823.84
2016-01-31,3.038,3.109,3.062,3.064,48735.61,150133.26
2016-02-01,3.016,3.107,3.064,3.067,81271.87,249117.0
2016-02-02,3.047,3.096,3.067,3.066,52726.24,161779.02
2016-02-03,2.998,3.102,3.066,3.036,77982.21,237226.58
2016-02-04,3.027,3.189,3.036,3.142,145554.3,455976.57
2016-02-05,3.069,3.164,3.142,3.125,56714.75,177114.8
2016-02-06,3.058,3.172,3.125,3.087,121419.76,375727.46
2016-02-07,3.06,3.13,3.087,3.087,57984.0,179472.46
2016-02-08,3.05,3.107,3.087,3.061,60857.48,187126.26
2016-02-09,3.042,3.092,3.061,3.077,56793.44,173971.16
2016-02-10,3.049,3.125,3.077,3.095,80020.43,247212.94
2016-02-11,3.018,3.113,3.095,3.039,66008.96,201884.84
2016-02-12,3.046,3.123,3.039,3.091,42660.87,131886.02
2016-02-13,3.089,3.143,3.091,3.12,73641.77,228949.64
2016-02-14,3.108,3.197,3.12,3.195,96969.22,306615.16
2016-02-15,3.13,3.221,3.195,3.141,89666.63,284556.69
2016-02-16,3.094,3.233,3.141,3.176,78292.25,248410.99
2016-02-17,3.008,3.255,3.176,3.227,150800.11,484331.2
2016-02-18,3.178,3.267,3.227,3.232,97418.69,314637.21
2016-02-19,3.188,3.273,3.232,3.234,83925.98,270050.84
2016-02-20,3.211,3.597,3.234,3.424,296664.29,1006708.01
2016-02-21,3.285,3.542,3.424,3.415,248589.33,852991.01
2016-02-22,3.373,3.501,3.415,3.449,115595.25,397042.82
2016-02-23,3.311,3.511,3.449,3.378,143075.3,485781.44
2016-02-24,3.289,3.405,3.378,3.351,85162.82,284141.18
2016-02-25,3.302,3.404,3.351,3.354,58829.11,196742.98
2016-02-26,3.274,3.392,3.354,3.383,87432.87,292657.3
2016-02-27,3.344,3.425,3.383,3.383,70313.51,238869.86
2016-02-28,3.317,3.471,3.383,3.401,90323.08,306215.83
2016-02-29,3.382,3.476,3.401,3.402,113218.21,387755.12
2016-03-01,3.356,3.451,3.402,3.41,80770.34,274773.57
2016-03-02,3.314,3.378,3.422,3.355,204363.22,685687.58
2016-03-03,3.276,3.381,3.362,3.308,138163.31,457912.86
2016-03-04,3.196,3.342,3.308,3.232,118747.81,389892.54
2016-03-05,3.099,3.252,3.232,3.182,154733.78,491855.03
2016-03-06,3.13,3.248,3.182,3.2,87098.74,278927.95
2016-03-07,3.156,3.262,3.2,3.239,84781.6,272929.48
2016-03-08,3.177,3.254,3.239,3.225,72438.1,233651.68
