datetime,low,high,open,close,volumefrom,volumeto
2017-02-22,0.03983,0.05321,0.03978,0.04975,153.95,7.659
2017-02-23,0.03581,0.05203,0.04975,0.03581,2692.97,96.44
2017-02-24,0.03595,0.04289,0.03581,0.04118,1531.03,63.04
2017-02-25,0.0232,0.04022,0.04118,0.0332,3251.32,107.93
2017-02-26,0.0246,0.03385,0.0332,0.02869,341.75,9.805
2017-02-27,0.02252,0.02911,0.02869,0.02252,1904.67,42.89
2017-02-28,0.01666,0.03568,0.02252,0.03568,1259.14,44.92
2017-03-01,0.02201,0.03668,0.03568,0.03668,5064.45,185.76
2017-03-02,0.02511,0.03766,0.03668,0.02511,2126.15,53.39
2017-03-03,0.02567,0.03527,0.02511,0.02721,758.38,20.63
2017-03-04,0.0268,0.03777,0.02721,0.0335,3786.51,126.87
2017-03-05,0.02684,0.03687,0.0335,0.03024,2229.32,67.42
2017-03-06,0.02171,0.03038,0.03024,0.02803,1828.66,51.26
2017-03-07,0.01754,0.02706,0.02803,0.02441,1061.18,25.9
2017-03-08,0.01615,0.02293,0.02441,0.0229,1366.17,31.29
2017-03-09,0.01694,0.02379,0.0229,0.02141,3019.61,64.64
2017-03-10,0.0168,0.01999,0.02141,0.0168,935.62,15.72
2017-03-11,0.01599,0.01781,0.0168,0.01599,448.08,7.165
2017-03-12,0.01437,0.01887,0.01599,0.01437,66.0,0.9485
2017-03-13,0.01452,0.0185,0.01437,0.01788,4358.57,77.93
2017-03-14,0.01795,0.08056,0.01788,0.03673,25143.73,923.65
2017-03-15,0.02632,0.05014,0.03673,0.04636,31130.43,1443.34
2017-03-16,0.026,0.04338,0.04636,0.03636,8275.9,300.91
2017-03-17,0.01608,0.03322,0.03636,0.01608,24382.2,391.96
2017-03-18,0.01273,0.02223,0.01608,0.01273,30513.22,388.28
2017-03-19,0.01228,0.01687,0.01273,0.01358,17644.52,239.61
2017-03-20,0.01353,0.01518,0.01358,0.01353,9739.12,131.81
2017-03-21,0.01296,0.01474,0.01353,0.01444,7698.11,111.18
2017-03-22,0.008358,0.01346,0.01444,0.008358,7364.36,61.55
2017-03-23,0.00828,0.01427,0.008358,0.01035,15085.71,156.14
2017-03-24,0.009397,0.01306,0.01035,0.01117,5489.3,61.33
2017-03-25,0.008958,0.01157,0.01117,0.009016,8426.5,75.97
2017-03-26,0.009045,0.01211,0.009016,0.009326,11589.64,108.09
2017-03-27,0.01005,0.01034,0.009326,0.01032,4852.23,50.05
2017-03-28,0.01025,0.01128,0.01032,0.01025,6961.49,71.33
2017-03-29,0.009721,0.01135,0.01025,0.009898,7142.25,70.69
2017-03-30,0.00986,0.02595,0.009898,0.0133,69687.98,926.55
2017-03-31,0.01382,0.01942,0.0133,0.01408,1422.58,20.03
2017-04-01,0.0139,0.01702,0.01408,0.01606,2067.47,33.21
2017-04-02,0.01431,0.01706,0.01606,0.01433,6431.79,92.18
2017-04-03,0.01379,0.01605,0.01433,0.01473,21854.27,322.02
2017-04-04,0.0137,0.02569,0.01473,0.01428,11885.0,169.76
2017-04-05,0.01374,0.01889,0.01428,0.01551,4180.15,64.85
2017-04-06,0.01236,0.01745,0.01551,0.01311,1051.25,13.78
2017-04-07,0.01313,0.01732,0.01311,0.01317,3771.09,49.65
2017-04-08,0.013,0.01417,0.01317,0.01301,2698.09,35.11
2017-04-09,0.01253,0.01334,0.01301,0.01253,5405.42,67.7
2017-04-10,0.01148,0.01256,0.01253,0.01148,5780.09,66.33
2017-04-11,0.009766,0.01161,0.01148,0.01051,574.84,6.042
2017-04-12,0.01043,0.0141,0.01051,0.0141,2848.93,40.17
2017-04-13,0.0112,0.01368,0.0141,0.01123,1895.99,21.3
2017-04-14,0.01083,0.01131,0.01123,0.01083,2767.01,29.97
2017-04-15,0.009557,0.01083,0.01083,0.009781,2586.8,25.3
2017-04-16,0.00965,0.01174,0.009781,0.00965,1313.62,12.68
2017-04-17,0.0096,0.01075,0.00965,0.0096,1669.99,16.03
2017-04-18,0.008503,0.01193,0.0096,0.008503,16347.84,139.0
2017-04-19,0.008567,0.01203,0.008503,0.00892,1608.58,14.35
2017-04-20,0.00879,0.009088,0.00892,0.009088,2661.23,24.18
2017-04-21,0.008872,0.01102,0.009088,0.008872,1912.39,16.97
2017-04-22,0.007458,0.01086,0.008872,0.01078,3363.22,36.27
2017-04-23,0.00797,0.01102,0.01078,0.00797,712.14,5.675
2017-04-24,0.007739,0.008612,0.00797,0.007764,2587.51,20.09
2017-04-25,0.007864,0.0308,0.007764,0.01383,34127.72,472.04
2017-04-26,0.01408,0.02446,0.01383,0.01408,20334.18,286.22
2017-04-27,0.01458,0.01599,0.01408,0.01466,3073.7,45.07
2017-04-28,0.01174,0.01463,0.01466,0.01174,3891.58,45.69
2017-04-29,0.01073,0.01203,0.01174,0.01096,4300.23,47.12
2017-04-30,0.01041,0.01109,0.01096,0.01041,10984.19,114.34
2017-05-01,0.009953,0.01168,0.01041,0.009953,1074.98,10.7
2017-05-02,0.009355,0.0117,0.009953,0.009355,21600.7,202.08
2017-05-03,0.009612,0.009641,0.009355,0.009626,630.0,6.065
2017-05-04,0.009813,0.009829,0.009626,0.009813,5164.85,50.68
2017-05-05,0.009408,0.00977,0.009813,0.009499,4529.1,43.02
2017-05-06,0.009612,0.01233,0.009499,0.01233,2843.76,35.07
2017-05-07,0.0097,0.0124,0.01233,0.0097,1079.0,10.47
2017-05-08,0.01035,0.01338,0.0097,0.01338,3023.44,40.46
2017-05-09,0.01124,0.01365,0.01338,0.01363,260.99,3.558
2017-05-10,0.01141,0.01407,0.01363,0.01141,886.11,10.11
2017-05-11,0.01184,0.0119,0.01141,0.01184,4045.05,47.91
2017-05-12,0.01098,0.01098,0.01184,0.01098,0.0,0.0
2017-05-13,0.01062,0.01148,0.01098,0.01069,1478.73,15.81
2017-05-14,0.01074,0.02659,0.01069,0.01248,36749.57,458.59
2017-05-15,0.01203,0.0141,0.01248,0.0141,5087.21,71.72
2017-05-16,0.01383,0.01427,0.0141,0.01383,1483.06,20.52
