datetime,low,high,open,close,volumefrom,volumeto
2019-04-30,0.003692,0.005137,0.003667,0.004441,3264361044.0,14497129.24
2019-05-01,0.004042,0.004689,0.004441,0.004366,1436500678.0,6271083.07
2019-05-02,0.004071,0.004841,0.004366,0.004181,941029508.0,3934018.27
2019-05-03,0.003912,0.00443,0.004181,0.0042,837600479.0,3517894.71
2019-05-04,0.003854,0.004322,0.0042,0.003971,396459923.0,1574443.21
2019-05-05,0.003592,0.004114,0.003971,0.003766,510549197.0,1922825.79
2019-05-06,0.003564,0.003966,0.003766,0.003794,751596780.0,2851402.0
2019-05-07,0.003317,0.003841,0.003794,0.003317,650096244.0,2156469.94
2019-05-08,0.003299,0.003539,0.003317,0.003359,397122183.0,1334043.65
2019-05-09,0.003024,0.003518,0.003359,0.003148,900231869.0,2833659.49
2019-05-10,0.003116,0.003879,0.003148,0.003815,1650344889.0,6296022.84
2019-05-11,0.004027,0.00525,0.003815,0.004674,1911894937.0,8936931.1
2019-05-12,0.004396,0.005582,0.004674,0.005373,1968637951.0,10577048.96
2019-05-13,0.005777,0.00929,0.005373,0.008665,6150921943.0,53298105.23
2019-05-14,0.007262,0.01093,0.008665,0.007821,5802114460.0,45375595.11
2019-05-15,0.007284,0.01039,0.007821,0.009575,3272894693.0,31338232.12
2019-05-16,0.00811,0.01213,0.009575,0.01087,3349161054.0,36392894.31
2019-05-17,0.009362,0.01548,0.01087,0.01452,7430472745.0,107910981.28
2019-05-18,0.0117,0.01468,0.01452,0.01235,2249722945.0,27789333.72
2019-05-19,0.01368,0.02081,0.01235,0.02024,4388600166.0,88812346.44
2019-05-20,0.0188,0.03471,0.02024,0.02943,8755285009.0,257700495.41
2019-05-21,0.02408,0.04554,0.02943,0.02957,10598110819.0,313346919.67
2019-05-22,0.0196,0.03028,0.02957,0.02212,5797860177.0,128236961.24
2019-05-23,0.02245,0.03521,0.02212,0.02741,7553322139.0,207038221.56
2019-05-24,0.02231,0.02959,0.02741,0.02543,2916201862.0,74154790.69
2019-05-25,0.02313,0.02845,0.02543,0.02474,3094337106.0,76558631.55
2019-05-26,0.02321,0.02993,0.02474,0.02443,1872103414.0,45741933.93
2019-05-27,0.02073,0.02504,0.02443,0.0224,1879393758.0,42102523.84
2019-05-28,0.02075,0.02572,0.0224,0.0238,1899102504.0,45203312.34
2019-05-29,0.02201,0.02487,0.0238,0.02218,1145571855.0,25410242.74
2019-05-30,0.01879,0.02218,0.02218,0.01978,1118939295.0,22132885.0
2019-05-31,0.01992,0.02343,0.01978,0.02215,1261353287.0,27934226.69
2019-06-01,0.02062,0.02293,0.02215,0.02105,1292529875.0,27204445.25
2019-06-02,0.01949,0.02237,0.02105,0.0201,827049418.0,16621371.77
2019-06-03,0.0181,0.02012,0.0201,0.01907,805311126.0,15356519.34
2019-06-04,0.0175,0.02196,0.01907,0.02134,1905155993.0,40662442.79
2019-06-05,0.01979,0.02369,0.02134,0.02291,2142023446.0,49066030.01
2019-06-06,0.02233,0.02522,0.02291,0.02373,1942681897.0,46108339.48
2019-06-07,0.02249,0.02489,0.02373,0.02433,840500348.0,20447688.43
2019-06-08,0.02333,0.02682,0.02433,0.02594,1183922298.0,30715041.49
2019-06-09,0.02431,0.02675,0.02594,0.02545,1272530717.0,32389285.57
2019-06-10,0.0247,0.02767,0.02545,0.02703,1009496570.0,27287469.6
2019-06-11,0.02351,0.02692,0.02703,0.02399,897956088.0,21541499.25
2019-06-12,0.02289,0.02608,0.02399,0.02321,1014017530.0,23539968.36
2019-06-13,0.02224,0.02479,0.02321,0.02314,1079248987.0,24975927.93
2019-06-14,0.01974,0.02469,0.02314,0.02069,1007275006.0,20842156.49
2019-06-15,0.02098,0.02364,0.02069,0.02196,780716785.0,17142064.79
2019-06-16,0.02011,0.0229,0.02196,0.02245,725013231.0,16275060.76
2019-06-17,0.0211,0.02437,0.02245,0.02185,716056444.0,15643157.68
2019-06-18,0.02107,0.02316,0.02185,0.02252,536708360.0,12088089.61
2019-06-19,0.02274,0.02478,0.02252,0.0232,810043811.0,18794109.97
2019-06-20,0.02203,0.0247,0.0232,0.02241,626721056.0,14045820.05
2019-06-21,0.02085,0.02473,0.02241,0.02115,613408074.0,12975458.35
2019-06-22,0.01988,0.02309,0.02115,0.02181,1172903690.0,25577113.86
2019-06-23,0.01976,0.02269,0.02181,0.02095,608582010.0,12751047.21
2019-06-24,0.0202,0.02229,0.02095,0.02075,428168156.0,8883286.6
2019-06-25,0.0189,0.02207,0.02075,0.01914,771337556.0,14760897.21
2019-06-26,0.01524,0.02131,0.01914,0.01769,2085624982.0,36897195.33
2019-06-27,0.01428,0.02086,0.01769,0.01907,2224249149.0,42424202.58
2019-06-28,0.01878,0.02298,0.01907,0.01903,1553059936.0,29549748.99
2019-06-29,0.0183,0.02626,0.01903,0.02412,2567893478.0,61949718.85
2019-06-30,0.021,0.02445,0.02412,0.02218,1470992935.0,32632864.72
2019-07-01,0.02034,0.02277,0.02218,0.02224,738639527.0,16429505.08
2019-07-02,0.01941,0.02342,0.02224,0.01995,783045922.0,15624271.26
2019-07-03,0.01869,0.02205,0.01995,0.01929,1104739337.0,21310854.98
2019-07-04,0.01618,0.01874,0.01929,0.01807,781901472.0,14131745.04
2019-07-05,0.01715,0.01979,0.01807,0.01814,689465872.0,12506126.65
2019-07-06,0.01721,0.01856,0.01814,0.01766,251091303.0,4434482.27
2019-07-07,0.0171,0.0187,0.01766,0.01779,305897620.0,5440430.16
2019-07-08,0.01635,0.01906,0.01779,0.01672,423503911.0,7082161.72
2019-07-09,0.01533,0.01734,0.01672,0.01621,711330263.0,11531699.12
2019-07-10,0.01367,0.01754,0.01621,0.01609,1289997579.0,20758421.23
2019-07-11,0.01395,0.01645,0.01609,0.01441,694859735.0,10009984.24
2019-07-12,0.01463,0.01699,0.01441,0.01569,631316891.0,9905679.0
2019-07-13,0.01477,0.0175,0.01569,0.01659,841923962.0,13968694.02
2019-07-14,0.01388,0.01571,0.01659,0.01429,428377526.0,6119875.87
2019-07-15,0.01367,0.0153,0.01429,0.01378,282609353.0,3894308.9
2019-07-16,0.01178,0.01282,0.01378,0.01206,247964966.0,2990954.21
2019-07-17,0.01222,0.01387,0.01206,0.01319,398674320.0,5257224.17
2019-07-18,0.0134,0.01543,0.01319,0.01372,315059409.0,4323708.82
2019-07-19,0.01338,0.0139,0.01372,0.01348,114799372.0,1547743.87
2019-07-20,0.01356,0.01431,0.01348,0.01399,177865370.0,2487846.69
2019-07-21,0.01334,0.01397,0.01399,0.01355,73105799.0,990655.86
2019-07-22,0.01249,0.01332,0.01355,0.0127,133085879.0,1690299.81
2019-07-23,0.01123,0.01232,0.0127,0.01153,141058448.0,1626312.99
2019-07-24,0.01124,0.01251,0.01153,0.01202,207482632.0,2493885.67
2019-07-25,0.01176,0.01245,0.01202,0.01216,136660797.0,1661165.13
2019-07-26,0.01211,0.0131,0.01216,0.0127,177383125.0,2253335.18
2019-07-27,0.01166,0.01251,0.0127,0.01194,90422116.0,1079882.69
2019-07-28,0.01153,0.01211,0.01194,0.01172,99613123.0,1167871.93
2019-07-29,0.01131,0.01179,0.01172,0.01141,62335682.0,711145.16
2019-07-30,0.01123,0.01161,0.01141,0.01151,86867775.0,1000249.77
2019-07-31,0.0112,0.01221,0.01151,0.0114,110372883.0,1258344.96
2019-08-01,0.01051,0.01197,0.0114,0.01072,158180787.0,1696027.64
2019-08-02,0.01063,0.01179,0.01072,0.01106,166746652.0,1843457.52
2019-08-03,0.0105,0.01158,0.01106,0.0106,107839164.0,1143526.69
2019-08-04,0.0101,0.01131,0.0106,0.01021,177016533.0,1807407.18
2019-08-05,0.009446,0.01311,0.01021,0.01169,1092539473.0,12771655.77
2019-08-06,0.01124,0.01697,0.01169,0.01525,2789979851.0,42550660.67
2019-08-07,0.01593,0.02119,0.01525,0.01664,2992148165.0,49802059.7
2019-08-08,0.01402,0.01785,0.01664,0.01438,1219472120.0,17535228.62
2019-08-09,0.01198,0.01471,0.01438,0.0121,763108510.0,9235531.58
2019-08-10,0.01152,0.01559,0.0121,0.01491,1095083258.0,16324996.16
2019-08-11,0.01421,0.01917,0.01491,0.01605,1989214714.0,31933248.52
2019-08-12,0.0156,0.01845,0.01605,0.01697,1624485170.0,27563031.22
2019-08-13,0.01457,0.01718,0.01697,0.01685,1103244209.0,18591430.11
2019-08-14,0.01435,0.01645,0.01685,0.01485,1248116332.0,18531029.31
2019-08-15,0.01423,0.01608,0.01485,0.01453,575444016.0,8364078.25
2019-08-16,0.01305,0.01513,0.01453,0.01336,680858923.0,9099648.66
2019-08-17,0.01308,0.01492,0.01336,0.0141,527862779.0,7445311.83
2019-08-18,0.01353,0.01487,0.0141,0.01384,445583973.0,6165623.41
2019-08-19,0.01431,0.01638,0.01384,0.01551,831456242.0,12895443.31
2019-08-20,0.01497,0.01594,0.01551,0.01573,435178233.0,6843312.45
2019-08-21,0.01449,0.0156,0.01573,0.0155,682391272.0,10578057.66
2019-08-22,0.01506,0.01708,0.0155,0.01667,872635848.0,14548394.19
2019-08-23,0.01489,0.01791,0.01667,0.0153,1031817015.0,15790329.45
