datetime,low,high,open,close,volumefrom,volumeto
2017-06-13,0.538,0.589,0.553,0.587,161426.23,89085.41
2017-06-14,0.4795,0.6101,0.587,0.5202,7801447.35,4352877.46
2017-06-15,0.2912,0.5447,0.5202,0.3467,7001897.7,2693369.33
2017-06-16,0.3053,0.599,0.3467,0.4082,4599676.22,1857604.87
2017-06-17,0.4,0.4512,0.4082,0.428,1422734.77,622794.3
2017-06-18,0.385,0.4502,0.428,0.4056,1754651.02,722974.53
2017-06-19,0.395,0.435,0.4056,0.4254,1892912.12,788130.95
2017-06-20,0.411,0.4472,0.4254,0.4405,3237492.65,1391167.54
2017-06-21,0.415,0.4624,0.4405,0.425,3453289.58,1528500.55
2017-06-22,0.4114,0.4499,0.425,0.4373,1080249.42,469896.82
2017-06-23,0.433,0.4828,0.4373,0.4828,2033056.64,928850.24
2017-06-24,0.4767,0.6289,0.4828,0.5053,8840428.6,4742047.02
2017-06-25,0.4401,0.5214,0.5053,0.4653,3529984.32,1707780.99
2017-06-26,0.3401,0.4659,0.4653,0.408,7089028.89,2770249.45
2017-06-27,0.3483,0.42,0.408,0.394,3235162.46,1203467.51
2017-06-28,0.3511,0.4,0.394,0.373,3372494.33,1255278.06
2017-06-29,0.3619,0.4599,0.373,0.411,3891326.73,1584518.22
2017-06-30,0.393,0.449,0.411,0.398,2510330.5,1065339.66
2017-07-01,0.3701,0.4129,0.398,0.3811,1679947.64,654289.32
2017-07-02,0.36,0.39,0.3811,0.3769,2263467.04,844444.57
2017-07-03,0.35,0.385,0.3769,0.376,3703605.72,1359977.28
2017-07-04,0.3702,0.4098,0.376,0.3938,2879544.17,1126011.22
2017-07-05,0.3681,0.3987,0.3938,0.381,2314101.07,883114.64
2017-07-06,0.3033,0.3851,0.381,0.3529,11065699.03,3901437.55
2017-07-07,0.27,0.3565,0.3529,0.2822,11934073.96,3613254.61
2017-07-08,0.2751,0.3202,0.2822,0.3003,5138732.27,1526339.31
2017-07-09,0.2829,0.3125,0.3003,0.3,3017972.41,891132.55
2017-07-10,0.1837,0.3041,0.3,0.21,22297236.9,5296590.19
2017-07-11,0.1837,0.2342,0.21,0.1869,14921392.99,3061285.43
2017-07-12,0.1806,0.2395,0.1869,0.2288,10987362.89,2354393.15
2017-07-13,0.1875,0.239,0.2288,0.2129,8121461.95,1739467.77
2017-07-14,0.1602,0.2131,0.2129,0.1751,7660468.3,1387934.01
2017-07-15,0.1427,0.1763,0.1751,0.1582,14451678.15,2300878.63
2017-07-16,0.155,0.188,0.1582,0.178,10918979.87,1876063.18
2017-07-17,0.1767,0.28,0.178,0.264,31563512.38,7509664.3
2017-07-18,0.246,0.3123,0.264,0.268,23190461.36,6657222.4
2017-07-19,0.23,0.2849,0.268,0.2314,14717615.4,3743900.98
2017-07-20,0.2302,0.3043,0.2314,0.2937,19156154.08,5318148.16
2017-07-21,0.2452,0.3078,0.2937,0.2595,12959366.13,3641056.26
2017-07-22,0.2536,0.2785,0.2595,0.2716,7319161.16,1940216.9
2017-07-23,0.2551,0.28,0.2716,0.2649,5931405.58,1593743.24
2017-07-24,0.2361,0.273,0.2649,0.2674,8633474.23,2223748.01
2017-07-25,0.2365,0.2688,0.2674,0.25,5822588.85,1449237.77
2017-07-26,0.2409,0.2845,0.25,0.2744,7710439.3,2070284.26
2017-07-27,0.2711,0.285,0.2744,0.273,5913334.55,1653067.65
2017-07-28,0.262,0.2765,0.273,0.2651,2980251.09,801625.57
2017-07-29,0.243,0.278,0.2651,0.2767,4362966.92,1129721.44
2017-07-30,0.2502,0.278,0.2767,0.2547,5722518.87,1506166.63
2017-07-31,0.244,0.26,0.2547,0.254,3067018.03,774020.48
2017-08-01,0.2493,0.294,0.254,0.291,8520859.18,2349162.12
2017-08-02,0.2715,0.2939,0.291,0.286,5875022.49,1649745.33
2017-08-03,0.285,0.3392,0.286,0.3319,15208515.01,4842192.93
2017-08-04,0.3315,0.4217,0.3319,0.3937,27974362.14,10871829.36
2017-08-05,0.3601,0.4316,0.3937,0.408,13375505.63,5389189.87
2017-08-06,0.395,0.44,0.408,0.4299,7063554.48,2911311.32
2017-08-07,0.411,0.49,0.4299,0.474,15977115.62,7356892.23
2017-08-08,0.4555,0.5517,0.474,0.5481,24119205.81,12202146.77
2017-08-09,0.5091,0.557,0.5481,0.53,13389549.63,7137062.66
2017-08-10,0.5069,0.5892,0.53,0.5624,16595119.47,9266383.94
2017-08-11,0.5561,0.7177,0.5624,0.6547,33858211.17,21553380.53
2017-08-12,0.6128,0.73,0.6547,0.72,14566696.27,9837488.27
2017-08-13,0.69,0.83,0.72,0.8043,27719051.11,21581927.23
2017-08-14,0.7914,0.9797,0.8043,0.972,29562627.92,26449307.52
2017-08-15,0.75,0.995,0.972,0.917,58245500.45,52452063.41
2017-08-16,0.8633,1.05,0.917,1.04,29032252.57,27930190.55
2017-08-17,0.99,1.1,1.04,1.01,32062733.44,33921131.2
2017-08-18,0.7611,1.04,1.01,0.867,43819146.6,39474941.58
2017-08-19,0.77,0.9859,0.867,0.9791,25832231.64,22746400.58
2017-08-20,0.91,1.03,0.9791,0.9101,18462523.91,18151967.21
2017-08-21,0.84,0.9408,0.9101,0.9001,19426689.5,17235787.98
2017-08-22,0.7778,0.9046,0.9001,0.838,19021293.04,15961001.46
2017-08-23,0.8303,0.9408,0.838,0.851,17449947.24,15372233.07
2017-08-24,0.7959,0.8949,0.851,0.89,10055394.48,8478289.04
2017-08-25,0.835,0.9349,0.891,0.9164,12946192.93,11436765.65
2017-08-26,0.875,0.9749,0.9164,0.96,10160761.92,9399472.89
2017-08-27,0.88,0.9801,0.96,0.9193,9419192.02,8671763.44
2017-08-28,0.78,0.929,0.9194,0.8744,13702463.54,11772010.85
2017-08-29,0.7053,0.875,0.8744,0.8125,18650892.34,15007894.58
2017-08-30,0.7838,0.8765,0.8125,0.8675,11778395.48,9937742.85
2017-08-31,0.82,0.9,0.8675,0.8415,10574551.55,9170131.8
2017-09-01,0.771,0.88,0.8415,0.7927,19686062.25,16395351.93
2017-09-02,0.64,0.7999,0.7927,0.6921,35252410.5,24754845.75
2017-09-03,0.666,0.777,0.6921,0.7417,27444063.47,19943217.78
2017-09-04,0.3633,0.7442,0.7417,0.5484,97007897.86,54618042.4
2017-09-05,0.455,0.6499,0.5484,0.6132,49973522.89,28222355.85
2017-09-06,0.592,0.7488,0.6132,0.7394,29444729.2,19935928.92
2017-09-07,0.6141,0.74,0.7394,0.6479,30510372.67,20523394.74
