datetime,low,high,open,close,volumefrom,volumeto
2017-08-09,33.49,16743.95,17146.9,3345.78,1.057,3536.49
2017-10-15,5683.02,5683.02,5819.47,5683.02,0.009286,52.77
2017-11-11,243.21,243.21,229.77,243.21,4.0,972.86
2017-11-12,220.33,220.33,226.25,220.33,1.003,221.0
2017-11-14,234.3,234.3,220.22,234.3,0.006978,1.635
2017-11-15,231.84,256.68,234.3,231.84,0.6081,140.98
2017-11-16,231.22,255.67,231.84,255.67,3.224,824.27
2017-11-18,263.45,263.45,252.11,263.45,0.402,105.91
2017-11-19,269.14,283.68,263.11,277.3,117.37,32546.37
2017-11-20,253.72,404.48,277.35,272.11,860.12,234043.3
2017-11-21,266.78,281.21,272.11,280.09,34.08,9545.4
2017-11-22,32.56,457.01,281.21,32.56,11.01,358.51
2017-11-23,344.77,344.77,322.94,344.77,3.415,1177.39
2017-11-24,376.34,404.57,344.72,404.57,380.56,153963.08
2017-11-25,362.12,413.5,399.84,394.92,494.98,195476.76
2017-11-26,399.96,405.61,394.87,404.66,23.31,9432.73
2017-11-27,403.95,570.29,404.59,421.06,3.834,1614.35
2017-11-28,376.51,414.51,420.55,383.51,42.98,16483.13
2017-11-29,331.25,363.31,396.3,331.25,4.918,1629.09
2017-11-30,337.88,380.45,332.01,380.45,40.58,15438.67
2017-12-01,376.7,397.88,357.39,376.7,14.11,5315.17
2017-12-02,373.47,394.76,376.7,394.76,3.462,1366.66
2017-12-03,370.25,404.96,400.72,404.91,7.726,3128.35
2017-12-04,396.89,408.52,405.01,396.89,10.2,4048.28
2017-12-05,368.21,394.95,396.89,394.95,23.38,9233.82
2017-12-06,359.11,359.11,385.87,359.11,154.21,55378.04
2017-12-07,357.98,368.42,359.03,357.98,139.18,49823.31
2017-12-08,383.98,402.05,357.65,402.05,92.58,37221.66
2017-12-09,420.85,945.72,903.56,425.57,9.087,3867.19
2017-12-10,392.84,480.14,425.08,398.95,165.76,66130.26
2017-12-11,420.9,564.62,399.0,482.49,151.5,73097.63
2017-12-12,604.0,722.17,472.29,617.13,190.17,117359.38
2017-12-13,643.16,824.93,604.0,817.94,137.88,112776.92
2017-12-14,797.62,818.42,817.94,804.55,68.47,55087.73
2017-12-15,718.48,875.87,804.55,793.75,230.59,183031.55
2017-12-16,803.68,1316.38,793.54,1108.53,648.98,719412.5
2017-12-17,1004.79,1177.04,1093.87,1090.92,259.08,282635.35
2017-12-18,1108.25,3929.95,1119.66,1218.28,348.08,424060.47
2017-12-19,1259.38,6500.0,1218.56,1389.38,693.25,963184.22
2017-12-20,974.99,1518.42,1389.38,1014.95,193.82,196716.81
2017-12-23,875.55,1050.66,822.26,1001.63,23.98,24019.07
2017-12-24,878.68,1250.43,1001.63,1250.43,63.61,79540.07
2017-12-25,940.08,1337.81,1250.75,1236.57,48.38,59825.23
2017-12-26,1069.83,1356.12,1272.73,1069.83,183.38,196185.06
2017-12-27,1035.92,1154.31,1175.37,1087.71,114.76,124825.81
2017-12-28,1003.37,1060.7,1087.7,1010.53,28.38,28678.92
2017-12-29,998.46,1072.42,1017.7,1035.44,14.13,14630.77
2017-12-30,963.26,970.19,1035.44,963.26,2.065,1989.12
2017-12-31,407.62,1037.58,963.26,941.24,155.52,146380.88
2018-01-01,945.25,1051.12,985.65,1020.87,19.91,20325.52
2018-01-02,1017.12,1189.52,1035.95,1034.36,14.54,15039.65
2018-01-03,1082.26,1298.72,1034.36,1082.26,11.74,12705.79
2018-01-04,944.83,1171.59,1082.15,944.83,43.34,40948.93
2018-01-05,967.13,1083.19,1039.31,1015.49,22.75,23102.32
2018-01-06,1066.79,1388.85,1025.16,1227.82,2.898,3558.22
2018-01-07,1229.53,1419.54,1227.82,1229.53,20.43,25119.2
2018-01-08,1249.72,1351.97,1229.53,1249.72,50.86,63560.81
2018-01-09,1155.16,1534.2,1329.25,1353.7,57.97,78474.1
2018-01-10,1125.34,1461.32,1289.24,1125.34,47.6,53566.18
2018-01-11,937.66,1138.18,1125.31,1069.82,16.4,17545.07
2018-01-12,1184.11,2421.18,1069.82,1424.96,12.11,17256.31
2018-01-13,1537.37,1800.53,1425.0,1662.02,34.05,56591.92
2018-01-14,1298.3,1495.43,1322.69,1495.43,20.61,30820.77
2018-01-15,1291.48,1406.56,1495.32,1291.48,1.289,1664.71
2018-01-16,966.24,1060.76,1291.49,1060.76,11.4,12092.69
