datetime,low,high,open,close,volumefrom,volumeto
2020-10-15,1.116,1.231,1.119,1.123,907747.61,1019592.15
2020-10-16,0.8132,1.13,1.123,0.8189,3712010.27,3039720.2
2020-10-17,0.7253,0.8639,0.8189,0.8082,2336413.53,1888382.67
2020-10-18,0.8059,0.8796,0.8082,0.8693,1178253.21,1024204.16
2020-10-19,0.7642,0.8876,0.8693,0.8006,1251005.95,1001609.82
2020-10-20,0.672,0.7502,0.763,0.6764,58217.77,39380.49
2020-10-21,0.6882,0.7735,0.6764,0.705,90655.53,63913.91
2020-10-22,0.7353,0.8418,0.705,0.7494,80747.74,60513.65
2020-10-23,0.7,0.743,0.7494,0.7282,49654.98,36159.52
2020-10-24,0.7128,0.7561,0.7282,0.7392,55344.84,40912.89
2020-10-25,0.7175,0.88,0.7392,0.8467,94502.36,80017.91
2020-10-26,0.7536,0.8267,0.8467,0.7811,60592.91,47329.7
2020-10-27,0.7481,0.8604,0.7811,0.761,74716.25,56862.79
2020-10-28,0.6908,0.7472,0.761,0.701,51605.11,36172.72
2020-10-29,0.6712,0.7193,0.701,0.691,40552.42,28021.07
2020-10-30,0.6208,0.6947,0.691,0.6312,80264.93,50660.92
2020-10-31,0.6204,0.6563,0.6312,0.6385,145313.83,92788.8
2020-11-01,0.6134,0.6709,0.6385,0.6356,80959.76,51455.88
2020-11-02,0.6019,0.6268,0.6356,0.6061,76698.96,46487.53
2020-11-03,0.5594,0.6176,0.6061,0.5628,40624.51,22865.36
2020-11-04,0.5335,0.5891,0.5628,0.5335,38560.76,20573.11
2020-11-05,0.5499,0.7229,0.5335,0.6929,55657.95,38563.79
2020-11-06,0.7151,0.8022,0.6929,0.7182,25540.87,18344.67
2020-11-07,0.6755,0.7439,0.7182,0.6977,26875.39,18752.24
2020-11-08,0.7162,0.8895,0.6977,0.8144,40912.42,33320.68
2020-11-09,0.7942,0.9285,0.8144,0.9285,40112.5,37242.69
2020-11-10,0.8981,0.9748,0.9285,0.9455,30211.11,28563.2
2020-11-11,0.8541,1.007,0.9455,0.8615,73734.55,63520.9
2020-11-12,0.7654,0.8834,0.8615,0.7886,58374.19,46032.55
2020-11-13,0.8092,0.9967,0.7886,0.8994,77481.21,69684.8
2020-11-14,0.8275,0.8949,0.8994,0.8695,63050.36,54822.45
2020-11-15,0.8114,0.8584,0.8695,0.8306,78455.06,65167.95
2020-11-16,0.8443,0.9088,0.8306,0.8664,61729.65,53484.19
2020-11-17,0.8929,1.04,0.8678,0.9318,2971633.84,2769019.4
2020-11-18,0.8163,0.9345,0.9336,0.8335,96141.79,80136.22
2020-11-19,0.8178,0.8683,0.8335,0.8456,46073.6,38961.07
2020-11-20,0.8948,0.9642,0.8456,0.9458,51549.56,48756.95
2020-11-21,1.023,1.261,0.9458,1.184,64071.9,75864.04
2020-11-22,1.034,1.17,1.188,1.076,1636092.61,1761002.48
2020-11-23,1.074,1.202,1.076,1.171,1483531.04,1737469.48
2020-11-24,1.142,1.343,1.171,1.241,2431760.15,3018748.06
2020-11-25,1.088,1.277,1.241,1.107,2074355.32,2295673.3
2020-11-26,0.9344,1.027,1.107,1.01,3050903.89,3081231.61
2020-11-27,0.9727,1.045,1.01,0.9984,912243.37,910802.94
2020-11-28,1.008,1.061,0.9984,1.022,467520.86,477721.34
2020-11-29,1.014,1.097,1.023,1.014,29082.06,29498.98
2020-11-30,1.065,1.165,1.016,1.077,664654.86,715748.07
2020-12-01,1.013,1.137,1.076,1.06,120315.2,127522.54
2020-12-02,1.075,1.223,1.06,1.178,112543.69,132573.53
2020-12-03,1.144,1.235,1.178,1.154,102184.48,117939.45
2020-12-04,1.062,1.147,1.154,1.102,96008.37,105786.58
2020-12-05,1.06,1.195,1.102,1.112,74841.34,83254.7
2020-12-06,1.025,1.127,1.112,1.034,71863.07,74298.62
2020-12-07,1.008,1.047,1.034,1.012,48715.73,49276.75
2020-12-08,0.8938,0.9626,1.012,0.9327,52218.56,48701.77
2020-12-09,0.9588,1.026,0.9327,0.9961,93401.24,93033.73
2020-12-10,0.9531,1.021,0.9961,0.9559,57314.66,54787.79
2020-12-11,0.8674,0.9348,0.9559,0.8674,96812.65,83971.34
