datetime,low,high,open,close,volumefrom,volumeto
2018-05-22,0.1599,0.2078,0.2105,0.1974,977020.0,192884.19
2018-05-23,0.1531,0.1884,0.1974,0.1719,1065050.0,183063.07
2018-05-24,0.16,0.1934,0.1719,0.1881,860650.0,161889.6
2018-05-25,0.1757,0.2011,0.1881,0.1869,854300.0,159655.0
2018-05-26,0.1831,0.2184,0.1869,0.2015,852590.0,171821.31
2018-05-27,0.1944,0.2282,0.2015,0.1944,929320.0,180625.3
2018-05-28,0.1694,0.1929,0.1944,0.1808,949910.0,171762.3
2018-05-29,0.1869,0.2033,0.1808,0.1891,577770.0,109262.76
2018-05-30,0.1752,0.2166,0.1891,0.193,1268280.0,244724.55
2018-05-31,0.1838,0.2011,0.193,0.1913,551400.0,105485.48
2018-06-01,0.1732,0.2011,0.1913,0.1822,773250.0,140916.55
2018-06-02,0.1743,0.1918,0.1822,0.1842,438180.0,80713.88
2018-06-03,0.1637,0.1992,0.1842,0.1907,719490.0,137190.79
2018-06-04,0.1803,0.1969,0.2061,0.1903,116799.47,22231.93
2018-06-05,0.1819,0.1993,0.1903,0.1825,73780.02,13462.57
2018-06-06,0.1722,0.1934,0.1825,0.1764,88979.27,15698.91
2018-06-07,0.1662,0.186,0.1764,0.1671,179987.84,30080.95
2018-06-08,0.162,0.1799,0.1662,0.1703,97520.32,16605.0
2018-06-09,0.1572,0.1685,0.1703,0.1677,136066.54,22824.96
2018-06-10,0.1312,0.1483,0.1677,0.1317,58718.28,7733.77
2018-06-11,0.1222,0.1484,0.1317,0.1344,84154.38,11308.75
2018-06-12,0.1137,0.1251,0.1344,0.1138,94529.57,10761.32
2018-06-13,0.09764,0.1205,0.1138,0.09912,128829.44,12769.32
2018-06-14,0.1082,0.1606,0.09912,0.13,199005.3,25862.23
2018-06-15,0.117,0.1316,0.13,0.1311,133983.89,17570.67
2018-06-16,0.1174,0.1338,0.1311,0.1243,83501.43,10379.65
2018-06-17,0.1242,0.1435,0.1243,0.14,12084.75,1692.24
2018-06-18,0.1294,0.1459,0.1401,0.1294,87163.1,11279.56
2018-06-19,0.1238,0.1437,0.1294,0.1341,91501.1,12267.92
2018-06-20,0.1244,0.1335,0.1341,0.1276,118447.71,15114.65
2018-06-21,0.1095,0.1314,0.1276,0.1314,80849.74,10622.84
2018-06-22,0.09705,0.1155,0.1314,0.1109,294200.0,32632.19
2018-06-23,0.07113,0.1138,0.1109,0.1054,434152.5,45743.52
2018-06-24,0.0972,0.1093,0.1054,0.1033,203399.79,21019.69
2018-06-25,0.09218,0.1285,0.1033,0.1285,446774.03,57396.88
2018-06-26,0.09885,0.1203,0.1285,0.09885,261388.79,25837.33
2018-06-27,0.09719,0.1126,0.09892,0.106,278901.01,29569.09
2018-06-28,0.09677,0.103,0.106,0.0974,96723.9,9420.59
2018-06-29,0.103,0.1092,0.1027,0.1073,186120.0,19975.47
2018-06-30,0.1046,0.1124,0.1023,0.1122,30885.37,3466.0
2018-07-01,0.1063,0.1119,0.1122,0.1118,16644.08,1861.02
2018-07-02,0.1125,0.1234,0.1118,0.1144,83419.04,9541.4
2018-07-03,0.1086,0.1166,0.1144,0.109,130616.76,14239.87
2018-07-04,0.1061,0.1179,0.109,0.1142,135862.17,15519.26
2018-07-05,0.1078,0.1205,0.1142,0.1127,318096.42,35842.96
2018-07-06,0.1121,0.1203,0.1127,0.1121,74792.42,8382.61
2018-07-07,0.1069,0.1214,0.1121,0.1205,195140.39,23510.69
2018-07-08,0.1079,0.1215,0.1205,0.1133,80207.09,9086.04
2018-07-09,0.1051,0.1173,0.1133,0.1056,378973.09,40023.92
2018-07-10,0.08221,0.1017,0.1056,0.08221,249204.06,20487.34
2018-07-11,0.08466,0.1024,0.08221,0.08488,55842.26,4740.16
2018-07-12,0.08209,0.09898,0.08488,0.09695,53387.77,5176.2
2018-07-13,0.08762,0.0973,0.09695,0.09471,67103.68,6355.3
2018-07-14,0.09499,0.09933,0.09471,0.09924,7925.82,786.56
2018-07-15,0.09118,0.103,0.09924,0.09667,20785.25,2009.27
2018-07-16,0.09709,0.1029,0.09667,0.09714,117766.79,11439.67
2018-07-17,0.09537,0.1073,0.09715,0.09537,68726.18,6554.44
2018-07-18,0.08622,0.09197,0.09537,0.09053,229622.35,20788.81
2018-07-19,0.07906,0.09054,0.09054,0.08979,448752.45,40294.98
2018-07-20,0.08,0.094,0.094,0.08,18600.0,1535.16
2018-07-21,0.07999,0.08755,0.08093,0.08156,80117.08,6534.19
2018-07-22,0.07354,0.08462,0.08156,0.07917,781641.2,61885.23
2018-07-23,0.06587,0.07869,0.07917,0.07019,770487.16,54078.37
2018-07-24,0.06526,0.07902,0.07019,0.07269,839290.39,61006.05
2018-07-25,0.0595,0.07511,0.07511,0.06581,40600.0,2561.26
2018-07-26,0.062,0.07559,0.06599,0.0688,229395.27,15781.54
2018-07-27,0.07008,0.094,0.07229,0.09023,68900.0,5213.49
2018-07-28,0.08543,0.094,0.09023,0.094,14300.0,1288.86
2018-07-29,0.08565,0.11,0.094,0.1056,21300.0,2059.97
2018-07-30,0.088,0.1092,0.1056,0.088,132700.0,12677.03
2018-07-31,0.07288,0.1088,0.088,0.0758,43200.0,3572.7
2018-08-01,0.06848,0.08515,0.07045,0.08481,206692.12,17530.33
2018-08-02,0.07,0.0943,0.09179,0.079,14800.0,1249.38
2018-08-03,0.07,0.09314,0.079,0.07008,47000.0,3461.83
2018-08-04,0.06742,0.0776,0.07008,0.07637,45900.0,3256.22
2018-08-05,0.0668,0.07763,0.06787,0.07457,59943.86,4469.83
2018-08-06,0.066,0.09129,0.07619,0.067,22200.0,1536.69
2018-08-07,0.06081,0.0692,0.06625,0.06338,340022.75,21550.82
2018-08-08,0.05794,0.07351,0.06276,0.05794,56700.0,3397.99
2018-08-09,0.05794,0.06267,0.05828,0.06216,363510.41,22595.88
2018-08-10,0.057,0.06247,0.05926,0.06247,16700.0,1001.38
2018-08-11,0.0458,0.07444,0.06247,0.06176,90400.0,5616.22
2018-08-12,0.05855,0.06437,0.06433,0.06269,423888.65,26571.63
2018-08-13,0.04942,0.05757,0.06269,0.05513,819205.05,45162.96
