datetime,low,high,open,close,volumefrom,volumeto
2018-02-17,0.07311,0.08763,0.07315,0.08364,1764722.54,147593.04
2018-02-18,0.07841,0.1088,0.08364,0.09779,1048929.52,102571.99
2018-02-19,0.08772,0.1118,0.09779,0.08892,416148.42,37005.14
2018-02-20,0.07793,0.09271,0.08892,0.08767,185727.5,16282.08
2018-02-21,0.07351,0.08317,0.08767,0.08216,27174.11,2232.67
2018-03-16,0.04555,0.04977,0.04672,0.04977,625639.61,31139.29
2018-03-17,0.04316,0.04783,0.04977,0.0461,398518.04,18371.64
2018-03-18,0.03871,0.04506,0.0461,0.04299,758701.41,32616.88
2018-03-19,0.0425,0.0466,0.04299,0.04444,413237.1,18365.91
2018-03-20,0.04322,0.0485,0.04444,0.0485,642893.47,31182.27
2018-03-21,0.04731,0.05207,0.0485,0.04986,469227.83,23395.69
2018-03-22,0.04729,0.05183,0.04986,0.05174,823715.17,42621.54
2018-03-23,0.04704,0.05212,0.05174,0.04704,383600.24,18042.97
2018-03-24,0.04405,0.04905,0.04704,0.04535,732130.43,33204.13
2018-03-25,0.04212,0.04705,0.04535,0.04275,234051.01,10005.88
2018-03-26,0.03975,0.04717,0.04275,0.04183,377317.78,15783.99
2018-03-27,0.0386,0.04138,0.04182,0.04042,1095876.68,44297.1
2018-03-28,0.03989,0.04334,0.04014,0.04174,1511552.2,63097.49
2018-03-29,0.03338,0.03686,0.04174,0.03396,1728922.99,58713.87
2018-03-30,0.03316,0.03662,0.03397,0.03633,1390537.93,50512.62
2018-03-31,0.03577,0.03717,0.03633,0.03633,835354.84,30344.58
2018-04-01,0.03398,0.03721,0.03633,0.03479,1113448.78,38732.44
2018-04-02,0.03204,0.03586,0.03479,0.03404,1123341.33,38243.23
2018-04-03,0.03286,0.03733,0.03404,0.03369,3005858.21,101268.36
2018-04-04,0.03029,0.03136,0.03369,0.03072,2137095.15,65643.2
2018-04-05,0.02989,0.03131,0.03072,0.03044,2166621.82,65960.57
2018-04-06,0.02935,0.03134,0.03045,0.03018,2305840.31,69589.85
2018-04-07,0.03088,0.03265,0.03018,0.03138,2593915.21,81386.35
2018-04-08,0.03241,0.03653,0.03138,0.03649,1873165.31,68350.98
2018-04-09,0.03201,0.03659,0.03649,0.03322,2988670.6,99278.9
2018-04-10,0.03334,0.03491,0.03322,0.03363,2063132.16,69375.06
2018-04-11,0.03482,0.03698,0.03363,0.03568,5885996.43,209997.72
2018-04-12,0.03998,0.04725,0.03568,0.04681,6913126.23,323580.64
2018-04-13,0.04582,0.05192,0.04681,0.04803,10457611.82,502236.94
2018-04-14,0.0478,0.05058,0.04804,0.04874,5186307.21,252756.94
2018-04-15,0.05115,0.06201,0.04874,0.05918,7249434.14,429049.21
2018-04-16,0.05649,0.07163,0.05918,0.07163,4585180.54,328453.91
2018-04-17,0.06665,0.07696,0.07163,0.07435,5780802.58,429790.15
2018-04-18,0.07072,0.07818,0.07435,0.07513,2526202.64,189803.61
2018-04-19,0.07533,0.08322,0.07513,0.07607,3545940.76,269733.42
2018-04-20,0.07974,0.08782,0.07607,0.08363,2738867.65,229038.3
2018-04-21,0.07922,0.08533,0.08363,0.07934,1666711.47,132233.2
2018-04-22,0.07226,0.08233,0.07934,0.07506,2217065.04,166405.51
2018-04-23,0.07665,0.07929,0.07506,0.07846,2051413.77,160943.74
2018-04-24,0.07385,0.08693,0.07846,0.07772,3794115.78,294879.34
2018-04-25,0.06121,0.0711,0.07773,0.06566,3551209.6,233189.11
2018-04-26,0.06595,0.07587,0.06565,0.07276,2540833.55,184869.78
2018-04-27,0.07044,0.07488,0.07276,0.0743,2088304.17,155170.64
