datetime,low,high,open,close,volumefrom,volumeto
2020-07-26,9.942e-05,0.5584,9.708e-05,0.4995,933991.0,466515.97
2020-07-27,0.395,0.5624,0.4995,0.431,8047984.0,3468728.98
2020-07-28,0.4155,0.5718,0.431,0.4967,6483020.0,3220103.08
2020-07-29,0.4689,0.6111,0.4967,0.5035,5697593.0,2868661.34
2020-07-30,0.4851,0.5889,0.5035,0.4892,2942071.0,1439329.72
2020-07-31,0.4543,0.5323,0.4892,0.4609,2557444.0,1178778.19
2020-08-01,0.4423,0.5218,0.4609,0.4458,2334771.0,1040842.62
2020-08-02,0.4023,0.4887,0.4458,0.4802,2458551.0,1180487.77
2020-08-03,0.4347,0.514,0.4802,0.4587,2150957.0,986674.15
2020-08-04,0.4477,0.5138,0.4587,0.5046,2514835.0,1269070.33
2020-08-05,0.5139,0.6627,0.5046,0.5562,6632184.0,3688983.41
2020-08-06,0.5148,0.6179,0.5562,0.5848,2951716.0,1726153.76
2020-08-07,0.5568,0.6229,0.5848,0.5855,2320775.0,1358880.5
2020-08-08,0.593,0.7098,0.5855,0.6615,3509572.0,2321642.5
2020-08-09,0.6259,0.8106,0.6615,0.7769,2788324.0,2166270.9
2020-08-10,0.714,0.95,0.7769,0.7883,5678984.0,4476870.22
2020-08-11,0.6913,0.7971,0.7883,0.7657,3261531.0,2497299.3
2020-08-12,0.7413,0.9392,0.7657,0.8978,3237441.0,2906725.86
2020-08-13,0.8136,0.9583,0.8978,0.8386,2739681.0,2297368.16
2020-08-14,0.7809,1.024,0.8386,0.9584,3163598.0,3032137.62
2020-08-15,0.853,1.044,0.9584,0.8838,2737285.0,2419093.15
2020-08-16,0.8601,0.9773,0.8838,0.9401,1165690.0,1095852.9
2020-08-17,0.7768,1.037,0.9401,0.8669,2024000.0,1754534.48
2020-08-18,0.8083,0.8978,0.8669,0.837,1125663.0,942144.25
2020-08-19,0.7356,0.8399,0.837,0.7955,1727537.0,1374206.32
2020-08-20,0.7689,0.9258,0.7955,0.9019,2019184.0,1821017.14
2020-08-21,0.7688,0.9314,0.9019,0.7828,1498474.0,1173038.92
2020-08-22,0.7564,0.8659,0.7828,0.8384,1597184.0,1339083.81
2020-08-23,0.7876,0.8655,0.8384,0.8037,717970.0,577048.18
2020-08-24,0.807,0.9257,0.8037,0.8683,1267510.0,1100614.05
2020-08-25,0.7931,0.8856,0.8683,0.833,1207046.0,1005496.8
2020-08-26,0.8278,0.9529,0.833,0.8534,2332770.0,1990706.5
2020-08-27,0.8043,0.9631,0.8534,0.9196,2264802.0,2082769.86
2020-08-28,0.8585,1.002,0.9196,0.8762,1768992.0,1550016.53
2020-08-29,0.8454,0.9586,0.8762,0.946,1577562.0,1492360.32
2020-08-30,0.9344,1.207,0.946,1.091,4548585.0,4963240.24
2020-08-31,0.9803,1.096,1.091,1.035,2135951.0,2209671.34
2020-09-01,0.978,1.166,1.035,0.9953,3133645.0,3118861.34
2020-09-02,0.8959,1.083,0.9953,0.9245,2151671.0,1989184.7
2020-09-03,0.7412,0.9421,0.9245,0.7469,3504589.0,2617643.6
2020-09-04,0.6738,0.9939,0.7469,0.8145,3391202.0,2762008.38
2020-09-05,0.5613,0.822,0.8145,0.637,2766106.0,1762074.03
2020-09-06,0.616,0.8208,0.637,0.7823,2022401.0,1582024.41
2020-09-07,0.6536,0.813,0.7823,0.722,1722196.0,1243371.79
2020-09-08,0.6609,0.7495,0.722,0.6975,1555088.0,1084598.09
