datetime,low,high,open,close,volumefrom,volumeto
2018-04-18,0.3727,0.4064,0.3861,0.3786,118666.95,44922.75
2018-04-19,0.4084,0.4753,0.3786,0.4328,866967.71,375233.81
2018-04-20,0.4598,0.517,0.4328,0.4598,782430.64,359797.53
2018-04-21,0.4237,0.4903,0.4599,0.4292,449984.05,193154.34
2018-04-22,0.429,0.4598,0.4292,0.429,625159.0,268210.94
2018-04-23,0.4448,0.5185,0.429,0.515,754986.1,388852.83
2018-04-24,0.5268,0.659,0.515,0.5983,553875.58,331405.83
2018-04-25,0.5127,0.556,0.5984,0.5287,640628.64,338670.47
2018-04-26,0.5071,0.5886,0.5286,0.5202,608552.41,316587.48
2018-04-27,0.4975,0.5468,0.5202,0.5162,539560.37,278525.38
2018-04-28,0.5259,0.5806,0.516,0.5806,749108.66,434907.77
2018-04-29,0.5308,0.6038,0.5806,0.5488,641409.97,352024.15
2018-04-30,0.4787,0.5467,0.5488,0.529,685347.21,362546.33
2018-05-01,0.4763,0.5311,0.529,0.494,673353.83,332626.34
2018-05-02,0.4732,0.5227,0.494,0.48,821838.49,394451.73
2018-05-03,0.4952,0.5676,0.48,0.5215,717438.28,374179.74
2018-05-04,0.4705,0.6352,0.5217,0.521,885850.8,461484.6
2018-05-05,0.5339,0.5784,0.5209,0.5407,915392.13,494988.48
2018-05-06,0.4866,0.5242,0.5407,0.5087,749646.85,381341.61
2018-05-07,0.4617,0.5867,0.5087,0.5833,758150.47,442199.21
2018-05-08,0.5367,0.6055,0.5833,0.5384,767649.59,413309.29
2018-05-09,0.5326,0.6834,0.5384,0.5993,667006.91,399729.29
2018-05-10,0.5265,0.6824,0.5993,0.6311,400958.77,253029.15
2018-05-11,0.4982,0.6024,0.6311,0.5026,776330.8,390175.09
2018-05-12,0.5069,0.6043,0.5026,0.565,645185.86,364548.37
2018-05-13,0.5578,0.6088,0.565,0.5739,654360.2,375548.87
2018-05-14,0.5619,0.6188,0.5739,0.6097,727898.51,443810.69
2018-05-15,0.5906,0.6668,0.6097,0.6464,595752.68,385074.42
2018-05-16,0.6276,0.6691,0.6464,0.6679,692033.52,462223.77
2018-05-17,0.6015,0.6428,0.6679,0.6021,656858.15,395478.99
2018-05-18,0.6248,0.6678,0.6021,0.6656,642274.56,427510.23
2018-05-19,0.6339,0.6752,0.6656,0.675,651648.81,439836.68
2018-05-20,0.6436,0.7752,0.675,0.7702,576603.42,444109.5
2018-05-21,0.6714,0.7504,0.7702,0.6944,634604.23,440688.72
2018-05-22,0.6055,0.7434,0.6944,0.6319,524689.52,331534.64
2018-05-23,0.5254,0.6266,0.6321,0.573,655451.88,375592.69
2018-05-24,0.5725,0.658,0.573,0.6195,597277.92,369991.29
2018-05-25,0.5327,0.6105,0.6195,0.5766,767241.43,442423.4
2018-05-26,0.5343,0.5776,0.5766,0.5587,723907.48,404445.58
2018-05-27,0.5186,0.5519,0.5587,0.5306,700899.57,371911.09
2018-05-28,0.4659,0.4905,0.5306,0.4694,672942.86,315898.96
2018-05-29,0.4816,0.5454,0.4694,0.5332,678055.23,361512.73
2018-05-30,0.489,0.528,0.5333,0.4944,788561.02,389855.33
2018-05-31,0.4926,0.5266,0.4944,0.5056,795258.89,402079.52
2018-06-01,0.493,0.526,0.5056,0.5018,810373.21,406667.94
2018-06-02,0.502,0.5168,0.5018,0.5034,807991.95,406717.11
2018-06-03,0.5263,0.619,0.5034,0.5865,832250.04,488096.75
2018-06-04,0.5263,0.5852,0.5865,0.5362,745157.99,399553.65
2018-06-05,0.5474,0.579,0.5362,0.5585,761735.58,425411.64
2018-06-06,0.5335,0.5707,0.5584,0.55,896241.19,492910.01
2018-06-07,0.5112,0.552,0.55,0.5207,968744.38,504390.92
2018-06-08,0.5147,0.5456,0.5207,0.5304,980502.5,520021.2
2018-06-09,0.5029,0.5648,0.5304,0.5486,1024973.1,562279.55
2018-06-10,0.4492,0.5054,0.5486,0.4627,738076.1,341519.42
2018-06-11,0.4573,0.5283,0.4627,0.5072,870475.82,441501.1
2018-06-12,0.4124,0.4879,0.5072,0.4129,1241992.17,512797.57
2018-06-13,0.3624,0.4311,0.4129,0.3805,869344.82,330799.67
2018-06-14,0.3996,0.4522,0.3805,0.4321,994782.96,429828.5
2018-06-15,0.3771,0.4436,0.4321,0.3885,1021662.83,396912.66
2018-06-16,0.345,0.4086,0.3885,0.3669,1049688.84,385129.41
2018-06-17,0.3468,0.3924,0.3669,0.37,1108769.4,410268.66
2018-06-18,0.3779,0.4577,0.3701,0.4268,837549.6,357497.74
2018-06-19,0.4064,0.4606,0.4268,0.4308,960736.58,413846.89
2018-06-20,0.4043,0.4451,0.4308,0.4063,791203.69,321467.68
2018-06-21,0.3964,0.4429,0.4063,0.4391,892121.28,391751.07
2018-06-22,0.3536,0.3863,0.4391,0.3682,852294.88,313778.03
2018-06-23,0.3455,0.3944,0.3682,0.3488,1157329.92,403629.68
2018-06-24,0.3015,0.3378,0.3488,0.3058,830498.65,253959.37
2018-06-25,0.308,0.3533,0.3058,0.3306,1053071.93,348172.64
2018-06-26,0.3033,0.3226,0.3306,0.3117,1093876.81,340917.96
2018-06-27,0.3056,0.3212,0.3119,0.31,768921.58,238347.22
2018-06-28,0.2858,0.3075,0.31,0.2928,993378.81,290882.3
2018-06-29,0.2961,0.3195,0.2928,0.3046,298447.14,90916.39
2018-06-30,0.3106,0.3423,0.3046,0.3146,684283.57,215263.84
2018-07-01,0.2978,0.3171,0.3146,0.3003,1162618.93,349158.62
2018-07-02,0.3126,0.3669,0.3003,0.3542,877747.0,310934.78
2018-07-03,0.3064,0.3434,0.3542,0.318,1157683.98,368150.89
2018-07-04,0.3094,0.3311,0.3179,0.3129,655671.78,205175.35
2018-07-05,0.2899,0.3153,0.3129,0.2914,816917.17,238069.2
2018-07-06,0.292,0.2994,0.2914,0.2969,760885.27,225872.43
2018-07-07,0.2917,0.3199,0.2969,0.2992,1299055.99,388627.93
2018-07-08,0.2738,0.2994,0.2992,0.2861,746718.74,213653.27
2018-07-09,0.2376,0.2837,0.2861,0.2415,565304.77,136516.61
2018-07-10,0.2046,0.2372,0.2415,0.2157,726231.26,156613.73
2018-07-11,0.2057,0.2546,0.2157,0.2236,832876.97,186191.73
2018-07-12,0.2141,0.2863,0.2236,0.2427,1154232.96,280168.82
2018-07-13,0.2208,0.2602,0.2427,0.2221,1095122.97,243239.36
2018-07-14,0.2206,0.2793,0.2221,0.2575,768590.08,197920.74
2018-07-15,0.2612,0.2903,0.2575,0.2673,452924.01,121086.54
2018-07-16,0.2772,0.3019,0.2673,0.2778,462842.95,128564.23
2018-07-17,0.2696,0.3143,0.2778,0.2908,336703.0,97913.99
2018-07-18,0.2582,0.296,0.2908,0.274,476168.47,130469.89
2018-07-19,0.2614,0.2848,0.274,0.2636,1011693.29,266698.16
2018-07-20,0.2065,0.2568,0.2636,0.2279,1389513.89,316636.96
2018-07-21,0.2305,0.2469,0.2279,0.2459,1288467.33,316798.85
2018-07-22,0.2395,0.2609,0.2459,0.2524,1394814.91,352106.71
2018-07-23,0.2249,0.2521,0.2524,0.2267,1271945.94,288297.34
2018-07-24,0.2218,0.2417,0.2267,0.2266,1271544.99,288128.94
2018-07-25,0.2174,0.2303,0.2265,0.2297,1397769.75,321070.33
2018-07-26,0.2235,0.2375,0.2297,0.2292,1298946.89,297735.62
2018-07-27,0.2049,0.233,0.2292,0.2169,1271977.48,275955.27
2018-07-28,0.2143,0.2926,0.2169,0.28,1336821.68,374317.4
2018-07-29,0.2657,0.2954,0.28,0.2657,1143171.93,303779.65
2018-07-30,0.2602,0.2767,0.2657,0.2729,1042259.2,284465.44
2018-07-31,0.2121,0.261,0.2729,0.2214,963922.63,213365.89
2018-08-01,0.2053,0.2281,0.2213,0.2232,1073240.97,239505.43
2018-08-02,0.2013,0.2221,0.2232,0.2088,1122677.88,234443.08
2018-08-03,0.2046,0.2258,0.2088,0.2213,930091.39,205865.13
2018-08-04,0.1971,0.2157,0.2213,0.2043,811332.55,165729.94
2018-08-05,0.1978,0.213,0.2043,0.2053,979553.65,201146.7
2018-08-06,0.1933,0.211,0.2053,0.2039,1198991.94,244465.25
2018-08-07,0.1891,0.1996,0.2039,0.1921,1335606.03,256629.61
2018-08-08,0.1657,0.1812,0.1921,0.1658,1085851.36,180075.25
2018-08-09,0.1669,0.1737,0.1658,0.1709,1402029.12,239587.22
2018-08-10,0.1517,0.1588,0.1709,0.1563,1048056.07,163813.36
2018-08-11,0.1364,0.1503,0.1563,0.1366,787929.79,107644.68
2018-08-12,0.1218,0.1419,0.1366,0.1285,1134580.16,145817.35
2018-08-13,0.11,0.1216,0.1285,0.1133,1214208.4,137569.29
2018-08-14,0.09741,0.1168,0.1133,0.0988,1175103.17,116100.25
2018-08-15,0.09734,0.1071,0.0988,0.09734,1109367.53,107982.69
2018-08-16,0.09895,0.1057,0.09734,0.1048,535459.28,56114.38
2018-08-17,0.1111,0.1282,0.1048,0.1153,953603.4,109929.41
2018-08-18,0.1031,0.1164,0.1153,0.1038,827653.72,85948.67
2018-08-19,0.1053,0.1203,0.1038,0.1073,844583.77,90618.71
2018-08-20,0.09698,0.1341,0.1073,0.1146,1110638.44,127256.63
2018-08-21,0.1109,0.1373,0.1146,0.1217,1103384.36,134283.18
2018-08-22,0.111,0.1338,0.1217,0.1163,1199331.17,139433.16
2018-08-23,0.1139,0.132,0.1163,0.1185,564468.51,66887.58
2018-08-24,0.1167,0.1378,0.1185,0.1313,1050599.88,137930.36
2018-08-25,0.126,0.1343,0.1313,0.1335,444171.79,59287.43
2018-08-26,0.1162,0.1319,0.1335,0.1247,450351.63,56157.4
2018-08-27,0.1116,0.1344,0.1247,0.1196,600435.46,71803.62
2018-08-28,0.1154,0.1307,0.1196,0.12,866197.62,103912.31
2018-08-29,0.1132,0.1241,0.12,0.1156,476556.43,55082.04
2018-08-30,0.1047,0.115,0.1156,0.1102,547145.19,60291.77
2018-08-31,0.1051,0.1179,0.1102,0.1106,613033.33,67771.78
2018-09-01,0.1107,0.1202,0.1105,0.1137,676069.59,76858.34
2018-09-02,0.1063,0.1154,0.1137,0.1085,618949.8,67179.49
2018-09-03,0.1024,0.1083,0.1085,0.1035,696921.05,72157.78
2018-09-04,0.09755,0.1052,0.1035,0.101,809052.94,81737.38
2018-09-05,0.07606,0.08674,0.101,0.0809,872877.3,70614.8
2018-09-06,0.07602,0.09105,0.0809,0.0871,1046015.05,91110.88
