datetime,low,high,open,close,volumefrom,volumeto
2020-04-10,0.5501,1.338,0.8681,0.9483,69159662.0,65581892.36
2020-04-11,0.768,1.056,0.9483,0.7893,29221929.0,23065422.61
2020-04-12,0.7633,0.9368,0.7893,0.8801,21984081.0,19348665.6
2020-04-13,0.7751,0.8794,0.8801,0.7806,10950524.0,8548013.35
2020-04-14,0.6264,0.8015,0.7806,0.6672,12645953.0,8436976.32
2020-04-15,0.61,0.6862,0.6672,0.6382,8413113.0,5369465.91
2020-04-16,0.6757,0.8082,0.6382,0.6919,17860049.0,12357189.08
2020-04-17,0.6547,0.71,0.6919,0.6559,4357167.0,2857996.36
2020-04-18,0.6763,0.7253,0.6559,0.6791,3994742.0,2712692.79
2020-04-19,0.5941,0.6699,0.6791,0.6047,4397843.0,2659174.41
2020-04-20,0.5217,0.6099,0.6047,0.5321,4542657.0,2417317.4
2020-04-21,0.5092,0.5961,0.5321,0.5786,6140323.0,3552614.56
2020-04-22,0.5901,0.7123,0.5786,0.6941,15462983.0,10732258.56
2020-04-23,0.6074,0.7356,0.6941,0.6313,10371579.0,6547255.09
2020-04-24,0.6107,0.6668,0.6313,0.6254,3667234.0,2293437.4
2020-04-25,0.6188,0.6705,0.6254,0.6463,2360904.0,1525895.29
2020-04-26,0.6271,0.7003,0.6463,0.6371,2708455.0,1725436.62
2020-04-27,0.5683,0.6616,0.6371,0.5702,3738309.0,2131561.96
2020-04-28,0.5682,0.7037,0.5702,0.6575,6838281.0,4495857.32
2020-04-29,0.7104,0.8346,0.6575,0.747,7423736.0,5545420.54
2020-04-30,0.671,0.785,0.747,0.6923,3513976.0,2432727.11
2020-05-01,0.6841,0.7416,0.6923,0.7244,2361557.0,1710781.07
2020-05-02,0.7084,0.7594,0.7244,0.7129,1512249.0,1078113.33
2020-05-03,0.6518,0.7124,0.7129,0.682,1514748.0,1033093.79
2020-05-04,0.6277,0.7073,0.682,0.6661,1914032.0,1274982.17
2020-05-05,0.6386,0.6934,0.6661,0.6477,1251358.0,810509.54
2020-05-06,0.6133,0.6779,0.6477,0.6182,1145550.0,708187.18
2020-05-07,0.5729,0.6852,0.6182,0.6085,2049615.0,1247182.0
2020-05-08,0.5769,0.6244,0.6085,0.6039,918906.0,554917.82
2020-05-09,0.5844,0.6187,0.6039,0.6029,548440.0,330656.67
2020-05-10,0.5316,0.6106,0.6029,0.5414,882728.0,477907.53
2020-05-11,0.5058,0.5611,0.5414,0.5156,910190.0,469284.42
2020-05-12,0.5204,0.5557,0.5156,0.5366,708183.0,380005.6
2020-05-13,0.5307,0.5798,0.5366,0.5535,1048968.0,580655.3
2020-05-14,0.5576,0.6089,0.5535,0.5717,607340.0,347232.33
2020-05-15,0.5423,0.5587,0.5717,0.5571,277879.0,154811.51
2020-05-16,0.5597,0.5998,0.5571,0.5996,730811.0,438228.38
2020-05-17,0.6036,0.6514,0.5996,0.6139,1357143.0,833132.65
2020-05-18,0.6065,0.6884,0.6139,0.6531,1790763.0,1169503.93
2020-05-19,0.6111,0.6599,0.6531,0.6229,646969.0,402997.6
2020-05-20,0.5757,0.609,0.6229,0.5813,862260.0,501242.67
2020-05-21,0.5449,0.6104,0.5813,0.607,1385626.0,841020.07
2020-05-22,0.588,0.677,0.607,0.6366,2180151.0,1387955.57
2020-05-23,0.5849,0.6384,0.6366,0.6076,1151626.0,699698.71
2020-05-24,0.5428,0.5785,0.6076,0.5473,1739072.0,951875.5
2020-05-25,0.5431,0.6587,0.5473,0.5955,3846877.0,2290849.92
2020-05-26,0.5652,0.6102,0.5955,0.5746,1553526.0,892698.24
2020-05-27,0.5793,0.6197,0.5746,0.5909,1090398.0,644356.09
2020-05-28,0.574,0.6174,0.5909,0.5756,1270324.0,731255.37
2020-05-29,0.5606,0.5899,0.5756,0.5807,576710.0,334867.14
2020-05-30,0.5718,0.6131,0.5807,0.5856,707212.0,414126.18
2020-05-31,0.565,0.5809,0.5856,0.5714,337664.0,192932.91
2020-06-01,0.5681,0.628,0.5714,0.5759,573987.0,330566.79
2020-06-02,0.5369,0.5725,0.5759,0.5667,454467.0,257529.69
2020-06-03,0.5689,0.6021,0.5667,0.5878,588129.0,345698.17
2020-06-04,0.5732,0.6015,0.5878,0.5851,532297.0,311461.04
2020-06-05,0.5642,0.6916,0.5851,0.6583,4638101.0,3053440.96
2020-06-06,0.6151,0.6625,0.6583,0.6248,1544682.0,965080.73
2020-06-07,0.608,0.6305,0.6248,0.6131,390744.0,239574.53
2020-06-08,0.6122,0.6904,0.6131,0.669,1124667.0,752436.69
2020-06-09,0.6279,0.6688,0.669,0.6578,681907.0,448546.57
2020-06-10,0.6329,0.6778,0.6578,0.643,823208.0,529297.72
2020-06-11,0.5675,0.6095,0.643,0.5695,804439.0,458149.4
2020-06-12,0.5759,0.6137,0.5695,0.5938,721709.0,428540.55
2020-06-13,0.5893,0.6114,0.5938,0.6108,463202.0,282938.0
2020-06-14,0.5771,0.6105,0.6108,0.5841,549045.0,320698.8
2020-06-15,0.565,0.594,0.5841,0.5704,507583.0,289525.1
2020-06-16,0.5716,0.5877,0.5704,0.5844,308923.0,180524.65
2020-06-17,0.5727,0.5891,0.5844,0.5843,341500.0,199535.19
2020-06-18,0.5766,0.6491,0.5843,0.622,1096924.0,682322.08
2020-06-19,0.6129,0.846,0.622,0.6861,7106966.0,4876110.56
2020-06-20,0.6271,0.6969,0.6861,0.6489,1514179.0,982508.28
2020-06-21,0.63,0.7485,0.6489,0.6737,2248686.0,1515004.35
2020-06-22,0.6641,0.7558,0.6737,0.7298,1091311.0,796415.01
2020-06-23,0.6978,0.7698,0.7298,0.708,865626.0,612831.62
2020-06-24,0.6691,0.8076,0.708,0.7349,2193486.0,1611961.48
2020-06-25,0.6988,0.7538,0.7349,0.7142,1161174.0,829274.72
2020-06-26,0.6817,0.762,0.7142,0.7375,1201717.0,886265.54
2020-06-27,0.6664,0.737,0.7375,0.7126,1115041.0,794527.87
2020-06-28,0.6936,0.8445,0.7126,0.7988,2798341.0,2235213.37
2020-06-29,0.7766,0.9002,0.7988,0.8542,1410464.0,1204837.77
2020-06-30,0.8454,1.051,0.8542,0.8602,2796951.0,2405933.48
2020-07-01,0.8165,0.9181,0.8602,0.8325,1015205.0,845174.79
2020-07-02,0.7552,0.8261,0.8325,0.7773,1024226.0,796175.39
2020-07-03,0.7448,0.7878,0.7773,0.7691,623940.0,479877.12
2020-07-04,0.7672,0.8334,0.7691,0.7817,1080767.0,844790.28
2020-07-05,0.6249,0.7778,0.7817,0.6934,3986674.0,2764231.95
2020-07-06,0.6945,0.7283,0.6934,0.7105,703293.0,499668.06
2020-07-07,0.6994,0.7869,0.7105,0.7531,1291545.0,972640.56
2020-07-08,0.6957,0.8492,0.7531,0.7939,1457156.0,1156881.48
2020-07-09,0.7534,0.8856,0.7939,0.8486,1691795.0,1435653.1
2020-07-10,0.8441,0.9567,0.8486,0.9119,941581.0,858589.03
2020-07-11,0.8526,0.9256,0.9119,0.9228,873693.0,806234.54
2020-07-12,0.9144,1.15,0.9228,1.018,2968752.0,3020776.2
2020-07-13,1.003,1.311,1.018,1.171,1956555.0,2291838.98
2020-07-14,1.125,1.273,1.171,1.147,915666.0,1050110.56
2020-07-15,1.131,1.416,1.147,1.281,1400028.0,1792897.62
2020-07-16,0.822,1.388,1.281,0.8722,6040131.0,5268343.99
2020-07-17,0.7722,1.048,0.8722,0.9779,7079787.0,6923643.52
2020-07-18,0.9333,1.003,0.9779,0.9709,1268350.0,1231504.28
2020-07-19,0.9032,0.9806,0.9709,0.9253,921725.0,852861.46
2020-07-20,0.8495,0.9201,0.9253,0.876,1664132.0,1457824.41
2020-07-21,0.8806,1.033,0.876,0.9806,2379599.0,2333462.03
2020-07-22,0.9909,1.135,0.9806,1.046,2867598.0,3000182.05
2020-07-23,1.004,1.125,1.046,1.052,1100278.0,1157386.8
2020-07-24,0.955,1.05,1.052,0.999,681460.0,680747.23
2020-07-25,1.015,1.442,0.999,1.255,4839385.0,6074867.47
2020-07-26,1.265,1.638,1.255,1.57,3640753.0,5715411.99
2020-07-27,1.603,2.055,1.675,1.738,411672.0,751307.3
2020-07-28,1.613,1.875,1.738,1.79,134921.0,234539.32
2020-07-29,1.58,2.112,1.79,1.655,191225.0,342655.52
2020-07-30,1.623,1.8,1.655,1.683,130884.0,221254.29
2020-07-31,1.492,1.695,1.683,1.522,95262.0,150606.75
2020-08-01,1.485,1.67,1.522,1.53,56755.0,90526.91
2020-08-02,1.41,1.76,1.53,1.73,97907.0,155488.07
2020-08-03,1.665,1.845,1.73,1.802,92766.0,163828.98
2020-08-04,1.785,1.96,1.802,1.86,88947.0,166309.4
2020-08-05,1.704,1.994,1.873,1.749,1356563.0,2372228.56
2020-08-06,1.75,2.232,1.758,2.19,100464.0,207672.76
2020-08-07,1.87,2.208,2.19,2.083,100197.0,207168.04
2020-08-08,2.018,2.578,2.083,2.465,130338.0,293702.94
2020-08-09,2.283,2.717,2.465,2.663,74062.0,181927.1
2020-08-10,2.498,3.397,2.663,3.12,403154.0,1185982.17
2020-08-11,2.75,3.51,3.12,3.277,455449.0,1431500.87
2020-08-12,3.078,3.928,3.277,3.708,210044.0,711627.82
2020-08-13,3.5,4.135,3.708,3.72,239189.0,918338.98
2020-08-14,3.315,3.777,3.72,3.4,104387.0,368428.93
2020-08-15,3.143,3.735,3.4,3.167,78561.0,263684.49
2020-08-16,3.13,3.49,3.167,3.39,120771.0,401329.0
2020-08-17,3.095,3.397,3.39,3.105,120061.0,388144.83
2020-08-18,2.86,3.69,3.105,3.335,240387.0,761006.57
2020-08-19,2.855,3.5,3.335,2.93,165256.0,494545.4
2020-08-20,2.93,3.458,2.93,3.22,240876.0,767177.48
2020-08-21,2.938,3.245,3.22,3.0,235242.0,730783.12
2020-08-22,2.79,3.22,3.0,3.047,97545.0,289789.27
2020-08-23,3.022,3.46,3.047,3.275,96307.0,313716.53
2020-08-24,3.223,3.63,3.275,3.33,139673.0,479656.77
2020-08-25,2.99,3.37,3.33,3.26,94338.0,295483.03
2020-08-26,3.19,3.8,3.26,3.55,168514.0,586267.22
2020-08-27,3.26,3.86,3.55,3.442,112122.0,392310.77
2020-08-28,3.442,4.31,3.442,3.995,156915.0,600700.58
2020-08-29,3.77,4.115,3.995,3.95,86491.0,342660.05
2020-08-30,3.91,4.7,3.95,4.42,185417.0,821464.39
2020-08-31,4.085,4.88,4.42,4.81,193900.0,859481.3
2020-09-01,4.31,4.963,4.81,4.317,113743.0,530960.59
2020-09-02,3.6,4.353,4.317,4.185,249498.0,1008237.54
2020-09-03,3.417,4.455,4.185,3.493,311639.0,1205148.46
2020-09-04,3.08,3.822,3.493,3.553,203007.0,696633.97
2020-09-05,2.033,3.665,3.553,2.567,341617.0,896602.32
2020-09-06,2.25,3.125,2.567,3.038,157569.0,424837.0
2020-09-07,2.345,3.145,3.038,2.947,105553.0,285245.28
2020-09-08,2.409,2.869,2.934,2.466,1246488.0,3074212.72
2020-09-09,2.373,3.837,2.465,3.6,154836.0,513020.62
2020-09-10,3.298,3.853,3.6,3.445,130542.0,464513.73
2020-09-11,3.093,3.512,3.48,3.403,1406467.0,4786810.65
2020-09-12,3.155,3.485,3.42,3.322,39665.0,132292.78
2020-09-13,3.007,3.405,3.338,3.263,1346111.0,4392305.39
2020-09-14,3.078,3.522,3.215,3.265,62738.0,209641.57
2020-09-15,2.902,3.315,3.265,2.902,67163.0,211670.89
2020-09-16,2.445,2.908,2.902,2.547,71738.0,188217.41
2020-09-17,2.315,2.953,2.547,2.9,70746.0,185681.54
2020-09-18,2.75,3.287,2.9,3.124,96802.37,295505.16
2020-09-19,2.985,3.26,3.124,3.009,68306.28,211331.62
2020-09-20,2.727,3.014,3.009,2.886,55137.03,158874.18
2020-09-21,2.477,3.033,2.886,2.779,147305.49,392540.84
2020-09-22,2.66,3.008,2.779,2.95,100755.67,289331.47
2020-09-23,2.727,3.068,2.95,2.832,80185.61,232402.94
2020-09-24,2.799,3.255,2.832,3.144,89771.21,277533.18
2020-09-25,2.91,3.266,3.144,3.193,81257.01,248030.36
2020-09-26,3.041,3.241,3.193,3.143,40108.48,125485.38
2020-09-27,3.031,3.197,3.133,3.163,429999.0,1360208.65
2020-09-28,2.889,3.158,3.163,2.952,628408.0,1854968.73
2020-09-29,2.89,3.059,2.952,2.949,315553.0,930512.43
2020-09-30,2.853,2.991,2.949,2.896,320369.87,927928.95
2020-10-01,2.693,2.93,2.896,2.865,548200.52,1570576.1
2020-10-02,2.457,2.887,2.865,2.626,1231092.5,3233070.15
2020-10-03,2.55,2.67,2.637,2.55,21309.39,55803.79
2020-10-04,2.432,2.587,2.55,2.526,24725.29,61788.18
2020-10-05,2.494,2.686,2.523,2.651,278489.62,738353.69
2020-10-06,2.14,2.663,2.662,2.172,73524.27,173964.66
2020-10-07,2.076,2.401,2.172,2.289,78101.15,171421.9
2020-10-08,2.02,2.472,2.289,2.389,153231.14,347408.2
2020-10-09,2.331,2.636,2.389,2.567,92010.41,226475.44
2020-10-10,2.395,2.6,2.567,2.406,75145.3,188649.92
2020-10-11,2.347,2.455,2.406,2.399,24677.59,58936.23
2020-10-12,2.453,2.689,2.423,2.587,609614.89,1577204.3
2020-10-13,2.345,2.581,2.58,2.408,47299.92,116157.85
2020-10-14,2.27,2.414,2.429,2.315,86764.07,200841.23
2020-10-15,2.229,2.343,2.315,2.264,103532.52,234426.12
2020-10-16,1.21,2.216,2.264,2.136,782273.29,1671001.41
2020-10-17,2.083,2.26,2.136,2.21,116094.16,256576.73
2020-10-18,2.183,2.288,2.21,2.213,78968.98,174767.6
2020-10-19,2.053,2.223,2.213,2.062,94022.53,193883.23
2020-10-20,1.858,2.103,2.051,1.895,51370.62,100401.4
2020-10-21,1.851,2.098,1.895,1.886,99429.72,193692.4
2020-10-22,1.93,2.111,1.993,1.958,165364.04,323730.45
2020-10-23,1.859,1.982,1.958,1.959,162228.83,317801.95
2020-10-24,1.889,1.977,1.959,1.917,134890.6,258527.0
2020-10-25,1.755,1.932,1.917,1.799,145490.24,261691.85
2020-10-26,1.655,1.876,1.799,1.686,186630.63,314668.35
2020-10-27,1.641,1.762,1.686,1.722,152141.41,261980.07
2020-10-28,1.456,1.729,1.722,1.52,216066.53,336170.88
2020-10-29,1.113,1.594,1.314,1.416,431925.29,611469.56
2020-10-30,1.35,1.513,1.416,1.435,235974.94,338525.99
2020-10-31,1.43,1.54,1.435,1.54,167582.74,258155.36
2020-11-01,1.531,1.654,1.54,1.603,135115.26,216537.42
2020-11-02,1.459,1.558,1.603,1.484,159905.22,237267.92
2020-11-03,1.402,1.585,1.484,1.413,267580.87,378075.39
2020-11-04,1.333,1.562,1.413,1.396,443177.54,618685.69
2020-11-05,1.336,1.552,1.396,1.411,297465.8,419651.59
2020-11-06,1.522,1.994,1.411,1.909,348918.81,666011.54
2020-11-07,1.837,2.491,1.912,2.034,549229.91,1174742.31
2020-11-08,2.042,2.258,2.035,2.16,360929.82,779449.7
2020-11-09,1.981,2.129,2.16,2.022,489695.58,990068.02
2020-11-10,2.039,2.287,2.022,2.225,561862.01,1249886.34
2020-11-11,1.967,2.305,2.225,1.996,497804.7,993489.16
2020-11-12,1.861,2.064,1.996,1.917,598167.0,1146864.12
