datetime,low,high,open,close,volumefrom,volumeto
2020-09-01,8.556,11.57,10.81,8.798,4255433.47,37440662.06
2020-09-02,6.166,8.238,7.275,7.24,916028.04,6631678.25
2020-09-03,4.498,7.764,7.24,4.735,1663491.05,7876388.58
2020-09-04,4.411,5.63,4.735,4.577,1098038.06,5025602.27
2020-09-05,1.408,4.345,4.577,1.861,2043955.15,3802946.16
2020-09-06,1.234,3.474,1.861,3.181,2364856.67,7523232.92
2020-09-07,2.341,3.427,3.181,2.858,1812588.67,5180189.91
2020-09-08,2.342,2.899,2.858,2.372,1735804.89,4117803.94
2020-09-09,2.254,3.199,2.372,2.883,1408198.58,4059754.13
2020-09-10,2.26,3.173,2.883,2.385,475132.9,1133298.02
2020-09-11,2.102,2.984,2.385,2.715,402408.46,1092606.33
2020-09-12,2.42,2.894,2.715,2.634,624865.33,1645711.07
2020-09-13,2.235,2.495,2.634,2.33,231462.61,539275.2
2020-09-14,2.271,2.686,2.33,2.467,218104.43,538096.26
2020-09-15,1.708,2.557,2.467,1.755,493700.42,866639.64
2020-09-16,1.453,1.797,1.755,1.519,299976.1,455720.81
2020-09-17,1.379,1.714,1.519,1.542,191044.77,294663.71
2020-09-18,1.519,1.835,1.542,1.689,162794.99,274904.96
2020-09-19,1.622,1.942,1.689,1.773,93824.73,166318.97
2020-09-20,1.596,1.889,1.773,1.648,138983.04,228975.45
2020-09-21,1.376,1.578,1.648,1.416,488262.28,691150.19
2020-09-22,1.355,1.46,1.416,1.392,456275.17,635045.04
2020-09-23,1.182,1.357,1.392,1.269,864526.3,1097285.45
2020-09-24,1.378,1.49,1.269,1.404,996391.44,1398986.17
2020-09-25,1.381,1.448,1.404,1.404,439031.15,616490.96
2020-09-26,1.385,1.442,1.404,1.402,474355.3,665028.66
2020-09-27,1.368,1.439,1.402,1.376,257851.95,354885.29
2020-09-28,1.257,1.372,1.376,1.267,124801.6,158123.85
2020-09-29,1.225,1.308,1.267,1.255,181031.3,227136.55
2020-09-30,1.247,1.338,1.255,1.281,471425.83,604114.03
2020-10-01,1.229,1.302,1.281,1.253,937106.29,1174303.27
2020-10-02,1.089,1.234,1.253,1.114,240388.11,267855.88
2020-10-03,1.053,1.124,1.114,1.057,143512.54,151688.25
2020-10-04,0.864,1.085,1.057,0.8785,458411.64,402715.07
2020-10-05,0.8361,0.938,0.8785,0.8464,865270.04,732351.83
2020-10-06,0.6306,0.8187,0.8464,0.6384,1154641.45,737137.02
2020-10-07,0.5665,0.6643,0.6384,0.663,1174302.58,778519.74
2020-10-08,0.6283,0.7937,0.663,0.774,805565.51,623543.79
2020-10-09,0.7739,0.8722,0.774,0.8244,337549.76,278264.19
2020-10-10,0.731,0.8527,0.8244,0.7492,421402.16,315705.06
2020-10-11,0.7057,0.7814,0.7492,0.7604,341749.03,259868.15
2020-10-12,0.7537,0.8423,0.7604,0.7626,187906.88,143297.71
2020-10-13,0.7216,1.105,0.7626,0.7365,104608.68,77044.58
2020-10-14,0.705,0.7581,0.7365,0.7202,37608.35,27084.63
2020-10-15,0.6801,0.7179,0.7202,0.7027,134198.0,94307.0
2020-10-16,0.6398,0.6873,0.7027,0.6544,31984.07,20930.0
2020-10-17,0.6523,0.6781,0.6544,0.6634,44699.86,29651.83
2020-10-18,0.6812,0.7228,0.6634,0.7153,27593.73,19736.46
2020-10-19,0.6678,0.7209,0.7153,0.6753,28684.21,19371.88
2020-10-20,0.6116,0.6652,0.6587,0.6234,54224.5,34232.57
2020-10-21,0.6226,0.6959,0.6234,0.6653,122744.0,80855.14
2020-10-22,0.6613,0.724,0.6653,0.6707,129556.5,89183.58
2020-10-23,0.645,0.6966,0.6707,0.6672,52570.0,34948.64
2020-10-24,0.6434,0.676,0.6672,0.6588,32998.5,21701.89
2020-10-25,0.6168,0.6602,0.6588,0.6256,26595.5,17031.19
2020-10-26,0.5886,0.6456,0.6256,0.6288,95977.0,59333.32
2020-10-27,0.6245,0.7183,0.6288,0.704,128352.0,85591.0
2020-10-28,0.611,0.706,0.704,0.6437,75202.0,49038.55
