datetime,low,high,open,close,volumefrom,volumeto
2019-03-27,0.01722,0.01914,0.01649,0.01845,248756.68,4590.62
2019-03-28,0.01675,0.01848,0.01845,0.01712,1424145.01,24379.71
2019-03-29,0.01593,0.01811,0.01712,0.0163,1948832.56,31773.55
2019-03-30,0.01396,0.01618,0.0163,0.01493,5043018.81,75296.4
2019-03-31,0.01386,0.01599,0.01493,0.01494,2033912.47,30382.1
2019-04-01,0.01346,0.0162,0.01494,0.01409,805068.03,11341.09
2019-04-02,0.01342,0.01656,0.01409,0.01342,936772.21,12570.27
2019-04-03,0.01058,0.01411,0.01342,0.0119,1807344.53,21501.43
2019-04-04,0.01036,0.01827,0.0119,0.01337,986062.5,13181.66
2019-04-05,0.01173,0.01663,0.01337,0.01365,288954.19,3944.89
2019-04-06,0.01089,0.01364,0.01365,0.01251,2841358.36,35557.42
2019-04-07,0.01272,0.01374,0.01251,0.01298,1023218.13,13284.85
2019-04-08,0.01186,0.01339,0.01298,0.01186,804833.86,9546.33
2019-04-09,0.01155,0.01516,0.01186,0.01343,2216350.38,29755.05
2019-04-10,0.01215,0.014,0.01343,0.01269,1076151.88,13653.07
2019-04-11,0.01121,0.01266,0.01269,0.01121,1318895.8,14780.31
2019-04-12,0.01053,0.01135,0.01121,0.011,3885143.36,42739.82
2019-04-13,0.0106,0.01305,0.011,0.01102,4052874.17,44676.9
2019-04-14,0.01118,0.01394,0.01102,0.01214,1459811.57,17729.35
2019-04-15,0.01091,0.01184,0.01214,0.01114,986962.19,10992.43
2019-04-16,0.01135,0.01248,0.01114,0.01146,263269.38,3018.22
2019-04-17,0.01102,0.01188,0.01146,0.0112,1414907.56,15842.75
2019-04-18,0.009498,0.01197,0.0112,0.009498,985734.3,9362.74
2019-04-19,0.009473,0.01212,0.009498,0.01194,422433.49,5044.63
2019-04-20,0.01131,0.0121,0.01194,0.01145,465370.7,5326.9
2019-04-21,0.009378,0.01147,0.01145,0.01081,482472.18,5217.48
2019-04-22,0.01074,0.0113,0.01081,0.0113,481875.91,5444.71
2019-04-23,0.01055,0.01175,0.0113,0.0106,222225.07,2356.28
2019-04-24,0.009545,0.01045,0.0106,0.01012,272661.22,2759.54
2019-04-25,0.008297,0.009476,0.01012,0.008953,140609.82,1258.88
2019-04-26,0.008311,0.01001,0.008953,0.008517,339130.63,2888.42
2019-04-27,0.008282,0.009294,0.008517,0.008646,1335975.69,11551.46
2019-04-28,0.008383,0.009023,0.008666,0.008532,327582.73,2794.78
2019-04-29,0.008269,0.008922,0.008532,0.008269,216892.74,1793.38
2019-04-30,0.006193,0.009388,0.008269,0.008471,279596.88,2368.47
2019-05-01,0.007908,0.008752,0.008471,0.008374,105179.04,880.82
2019-05-02,0.008173,0.009245,0.008374,0.008694,226063.67,1965.29
2019-05-03,0.008005,0.01034,0.008694,0.008099,182101.62,1474.85
2019-05-04,0.007542,0.008375,0.008099,0.007843,537048.4,4212.32
2019-05-05,0.007695,0.008122,0.007843,0.007951,111682.95,888.0
2019-05-06,0.007978,0.008685,0.007951,0.007978,143631.51,1145.9
2019-05-07,0.006971,0.00831,0.007978,0.007342,130930.64,961.31
2019-05-08,0.007052,0.007695,0.007342,0.0075,225402.33,1690.43
2019-05-09,0.006189,0.007475,0.0075,0.006243,661900.91,4132.4
2019-05-10,0.005693,0.007466,0.006243,0.006382,95168.53,607.41
2019-05-11,0.005885,0.007686,0.006382,0.006782,221681.47,1503.35
2019-05-12,0.006203,0.007526,0.006782,0.00644,580363.11,3737.56
2019-05-13,0.006327,0.008479,0.00644,0.00638,704399.37,4494.17
2019-05-14,0.006908,0.009399,0.00638,0.006921,595712.45,4122.86
2019-05-15,0.007412,0.008009,0.006921,0.007613,291338.17,2218.06
2019-05-16,0.007083,0.01144,0.007613,0.007083,806435.38,5711.58
2019-05-17,0.006557,0.009348,0.007083,0.007164,284864.77,2040.78
2019-05-18,0.003512,0.008769,0.007164,0.008247,177539.14,1464.18
2019-05-19,0.007457,0.009197,0.008247,0.007457,155289.12,1157.92
