datetime,low,high,open,close,volumefrom,volumeto
2020-05-25,1.351,1.382,1.352,1.374,19818.51,27238.75
2020-05-26,1.354,1.368,1.374,1.368,6984.71,9557.96
2020-05-27,1.37,1.43,1.368,1.374,20352.89,27973.4
2020-05-28,1.364,1.456,1.374,1.364,36205.08,49395.24
2020-05-29,1.353,1.368,1.364,1.368,3906.78,5345.86
2020-05-30,1.462,1.514,1.368,1.481,26713.7,39566.97
2020-05-31,1.373,1.409,1.481,1.373,12863.32,17661.34
2020-06-01,1.453,1.479,1.373,1.462,13184.24,19271.52
2020-06-02,1.4,1.41,1.462,1.401,3380.63,4736.86
2020-06-03,1.441,1.453,1.401,1.453,1187.85,1726.15
2020-06-04,1.437,1.504,1.453,1.494,31823.75,47542.32
2020-06-05,1.471,1.488,1.494,1.479,10102.07,14944.73
2020-06-06,1.464,1.495,1.479,1.465,13304.67,19495.47
2020-06-07,1.424,1.481,1.465,1.456,33836.7,49258.55
2020-06-08,1.459,1.486,1.456,1.471,13242.93,19476.2
2020-06-09,1.451,1.502,1.471,1.492,30636.76,45704.41
2020-06-10,1.404,1.555,1.492,1.409,104598.16,147424.92
2020-06-11,1.278,1.346,1.409,1.28,61211.41,78334.53
2020-06-12,1.286,1.331,1.28,1.295,22025.33,28513.84
2020-06-13,1.284,1.3,1.295,1.293,7992.16,10330.09
2020-06-14,1.243,1.259,1.293,1.252,8245.45,10325.9
2020-06-15,1.237,1.257,1.252,1.247,16149.15,20131.52
2020-06-16,1.253,1.278,1.247,1.261,17308.38,21834.11
2020-06-17,1.246,1.333,1.261,1.321,36852.6,48698.69
2020-06-18,1.307,1.353,1.321,1.353,17609.37,23817.07
2020-06-19,1.203,1.347,1.353,1.316,136932.2,180233.73
2020-06-20,1.317,1.357,1.316,1.355,31225.52,42304.33
2020-06-21,1.337,1.435,1.355,1.433,49232.66,70541.68
2020-06-22,1.526,1.777,1.433,1.777,196389.84,348901.59
2020-06-23,1.745,1.91,1.777,1.903,103300.9,196578.53
2020-06-24,1.836,2.112,1.903,2.112,92634.54,195642.13
2020-06-25,2.087,2.235,2.112,2.206,72817.8,160614.12
2020-06-26,2.173,2.347,2.206,2.297,88419.94,203091.28
2020-06-27,2.196,2.371,2.297,2.23,83026.52,185164.17
2020-06-28,1.711,2.284,2.23,1.941,241072.46,467973.17
2020-06-29,1.832,1.969,1.941,1.839,38274.53,70389.08
2020-06-30,1.821,1.947,1.839,1.947,24139.52,46993.74
2020-07-01,1.994,2.07,1.947,2.07,49.3,102.05
2020-07-02,1.915,2.153,2.07,2.146,413.08,886.47
2020-07-03,2.133,2.135,2.146,2.135,20.01,42.72
2020-07-04,2.16,2.181,2.135,2.16,78.42,169.38
2020-07-05,2.107,2.148,2.16,2.107,32.7,68.91
2020-07-06,2.234,2.279,2.107,2.257,42.25,95.35
2020-07-07,2.146,2.234,2.257,2.146,72.1,154.73
2020-07-08,2.133,2.216,2.146,2.205,309.68,682.76
2020-07-09,1.93,2.16,2.205,1.944,416.57,809.97
2020-07-10,1.937,2.06,1.944,2.06,40.67,83.77
2020-07-12,1.957,2.074,2.043,1.957,120.15,235.17
2020-07-13,1.77,2.01,1.957,1.786,376.31,672.25
2020-07-14,1.654,1.793,1.786,1.717,174.27,299.3
2020-07-15,1.697,1.827,1.717,1.805,125.68,226.89
2020-07-17,1.763,1.883,1.769,1.883,95.42,179.64
2020-07-18,1.846,1.907,1.883,1.846,43.51,80.32
2020-07-19,1.872,1.924,1.846,1.897,148.78,282.17
2020-07-20,1.872,2.095,1.897,2.095,216.2,452.88
2020-07-21,2.08,2.224,2.095,2.111,425.34,897.81
2020-07-22,2.269,2.552,2.111,2.503,201.18,503.52
2020-07-23,2.61,2.941,2.503,2.941,202.66,596.06
2020-07-24,2.983,3.621,2.941,3.607,226.69,817.63
2020-07-25,3.943,4.643,3.607,4.331,669.86,2901.39
2020-07-26,3.896,4.414,4.331,4.086,314.47,1285.08
2020-07-28,3.794,4.251,4.23,3.794,259.9,986.0
2020-07-29,3.803,3.953,3.794,3.867,81.55,315.35
2020-07-30,4.073,4.164,3.867,4.164,80.55,335.39
2020-07-31,4.245,4.328,4.164,4.252,111.48,474.0
2020-08-01,4.432,4.765,4.252,4.432,130.81,579.75
2020-08-02,4.255,4.433,4.432,4.4,66.27,291.58
2020-08-03,4.444,4.568,4.4,4.456,40.49,180.41
2020-08-04,4.327,4.502,4.456,4.327,145.24,628.41
2020-08-05,4.452,4.501,4.327,4.501,24.31,109.41
2020-08-13,4.768,6.693,4.344,6.681,15364.92,102645.78
2020-08-14,6.893,8.371,6.681,7.235,38684.9,279901.31
2020-08-15,6.546,8.432,7.235,7.437,40341.52,300016.24
2020-08-16,6.304,8.061,7.437,7.532,38681.3,291333.47
2020-08-17,6.365,7.504,7.532,6.853,29694.14,203485.67
2020-08-18,6.703,8.836,6.853,7.324,38976.51,285466.66
2020-08-19,6.938,8.814,7.324,6.974,40292.24,281007.55
2020-08-20,7.077,7.609,6.974,7.16,35095.47,251285.26
2020-08-21,6.246,6.747,7.16,6.452,30393.31,196100.9
2020-08-22,6.367,6.782,6.452,6.549,39424.88,258186.35
2020-08-23,6.291,6.49,6.549,6.373,35665.21,227281.66
2020-08-24,6.569,6.969,6.373,6.896,36422.44,251158.47
2020-08-25,5.907,6.808,6.896,6.528,41047.87,267972.0
2020-08-26,6.52,6.991,6.528,6.898,31394.98,216568.14
2020-08-27,6.805,8.683,6.898,8.599,45769.25,393549.61
2020-08-28,8.682,12.85,8.599,12.27,25452.57,312394.82
2020-08-29,10.5,13.06,12.27,10.5,8817.67,92586.78
2020-08-30,10.85,18.02,10.5,16.08,12116.74,194894.24
2020-08-31,16.2,24.29,16.08,21.8,10681.94,232918.02
2020-09-01,20.55,27.72,21.8,24.87,80493.16,2001529.28
2020-09-02,17.72,27.7,24.87,23.54,122399.45,2880708.18
2020-09-03,15.96,20.99,23.54,17.38,107880.61,1875267.82
2020-09-04,16.3,18.6,17.38,18.35,41642.19,763974.34
2020-09-05,10.31,17.26,18.35,12.03,88984.6,1070343.36
2020-09-06,11.08,16.56,12.03,15.89,88239.75,1402324.76
2020-09-07,14.07,16.43,15.89,15.42,90399.02,1393752.47
2020-09-08,15.65,59.0,59.0,15.75,104532.12,1772482.36
2020-09-09,15.11,17.25,15.75,16.24,124872.4,2015308.33
2020-09-10,15.93,17.49,16.24,16.97,331773.26,5646429.77
