datetime,low,high,open,close,volumefrom,volumeto
2020-09-17,0.004457,4.31,0.004457,4.225,1911062.59,7028906.06
2020-09-18,3.293,8.67,4.225,6.97,32939144.34,198698386.23
2020-09-19,5.237,7.486,6.97,5.73,12374762.95,79068719.49
2020-09-20,4.705,6.092,5.73,5.208,8075605.45,42465324.28
2020-09-21,4.085,5.637,5.208,4.252,5039065.5,23415737.78
2020-09-22,3.701,4.549,4.252,3.913,5949666.42,24246304.86
2020-09-23,3.906,5.393,3.913,4.368,12504708.85,57577581.33
2020-09-24,4.265,5.3,4.368,5.158,7783742.47,38141496.1
2020-09-25,4.775,5.561,5.158,4.922,6149008.06,31652007.64
2020-09-26,4.588,4.99,4.922,4.865,3242473.99,15687908.51
2020-09-27,4.701,5.211,4.865,4.856,2481807.82,12259850.47
2020-09-28,4.16,4.946,4.856,4.25,3783085.15,17112717.53
2020-09-29,4.122,4.452,4.25,4.386,3336847.31,14224669.27
2020-09-30,3.95,4.389,4.386,4.157,2291855.16,9445277.52
2020-10-01,3.94,4.518,4.157,4.242,4032650.28,16883019.21
2020-10-02,3.578,4.242,4.242,3.893,4118920.84,15958872.74
2020-10-03,3.831,4.131,3.893,3.905,1773708.19,6997372.0
2020-10-04,3.607,3.943,3.905,3.722,2903910.53,10868773.34
2020-10-05,3.187,3.796,3.722,3.323,4572496.53,15565579.78
2020-10-06,2.628,3.353,3.323,2.715,7335497.79,21922934.74
2020-10-07,2.479,3.009,2.715,2.965,8214252.51,22302249.79
2020-10-08,2.654,3.468,2.965,3.354,7082588.02,22030669.78
2020-10-09,3.175,3.6,3.354,3.387,4299636.96,14468052.02
2020-10-10,3.273,3.657,3.387,3.296,2658740.74,9120481.7
2020-10-11,3.183,3.451,3.296,3.363,1828870.04,6073776.43
2020-10-12,3.286,3.617,3.363,3.457,1704463.51,5886616.97
2020-10-13,3.294,3.499,3.457,3.351,929065.59,3148438.02
2020-10-14,2.973,3.437,3.351,3.111,2117257.78,6700110.49
2020-10-15,2.921,3.182,3.111,3.084,2410050.56,7407071.75
2020-10-16,2.898,3.38,3.084,3.043,3808170.59,12053613.31
2020-10-17,2.981,3.119,3.043,3.062,1208823.1,3677211.14
2020-10-18,3.046,3.29,3.062,3.285,1412258.22,4487959.08
2020-10-19,3.11,3.289,3.285,3.173,1101336.19,3521528.98
2020-10-20,2.823,3.192,3.173,2.861,2632313.26,7814777.79
2020-10-21,2.843,3.088,2.861,2.943,2497721.37,7434873.74
2020-10-22,2.926,3.153,2.943,3.046,1824598.12,5582765.39
2020-10-23,2.969,3.125,3.046,3.017,1275555.7,3864053.22
2020-10-24,2.931,3.085,3.017,2.945,1395632.17,4188765.2
2020-10-25,2.717,2.969,2.945,2.779,1813553.68,5183233.19
2020-10-26,2.534,2.875,2.779,2.713,2942785.13,7938784.35
2020-10-27,2.706,2.913,2.713,2.821,1609177.12,4546112.51
2020-10-28,2.597,2.854,2.821,2.665,745052.87,2013866.29
2020-10-29,2.493,2.739,2.665,2.541,1038835.09,2688274.77
2020-10-30,2.244,2.564,2.541,2.417,4055050.29,9538746.08
2020-10-31,2.244,2.417,2.417,2.269,1833467.55,4292649.08
2020-11-01,2.219,2.449,2.269,2.379,2328763.93,5395924.86
2020-11-02,2.227,2.454,2.379,2.256,1576445.62,3670427.47
2020-11-03,2.057,2.286,2.256,2.137,1674621.96,3597578.99
2020-11-04,1.88,2.166,2.137,1.928,1414317.37,2835162.8
2020-11-05,1.761,2.415,1.928,2.195,3365434.27,7050993.31
2020-11-06,2.179,2.687,2.195,2.569,3463544.87,8630330.21
2020-11-07,2.437,3.019,2.569,2.477,4454463.56,12224878.91
2020-11-08,2.441,2.92,2.477,2.866,1886624.07,5138238.55
2020-11-09,2.583,2.88,2.866,2.678,1793529.08,4857896.06
2020-11-10,2.629,3.176,2.678,3.074,2834312.65,8374081.61
2020-11-11,2.888,3.22,3.074,2.935,3405236.33,10488115.64
2020-11-12,2.844,3.137,2.935,2.961,2888843.67,8640996.12
2020-11-13,2.94,3.997,2.961,3.862,7190459.61,25262760.12
2020-11-14,3.513,3.972,3.862,3.811,5748123.29,21621677.42
2020-11-15,3.62,4.248,3.811,3.85,7646225.06,30412501.35
2020-11-16,3.45,3.939,3.85,3.568,6231094.88,22880869.55
2020-11-17,3.482,3.864,3.568,3.818,6107505.74,22489691.35
2020-11-18,3.279,3.851,3.818,3.463,4771900.89,16707837.68
2020-11-19,3.232,3.911,3.463,3.75,5902797.63,21311421.68
2020-11-20,3.681,4.089,3.75,3.861,5869640.79,22870069.58
2020-11-21,3.591,3.939,3.861,3.834,4752988.66,17918166.13
2020-11-22,3.442,3.951,3.834,3.692,4776536.03,17750304.48
2020-11-23,3.634,4.229,3.692,4.187,5666582.06,22290253.01
2020-11-24,3.94,4.484,4.187,4.065,5702941.01,23816408.24
2020-11-25,3.528,4.204,4.065,3.678,4668496.7,18280261.55
2020-11-26,3.101,3.768,3.678,3.437,7104612.5,23812685.48
2020-11-27,3.162,3.535,3.437,3.311,3105576.52,10393048.62
2020-11-28,3.259,3.532,3.311,3.464,2171982.12,7433779.47
2020-11-29,3.365,3.575,3.464,3.555,1182618.12,4099914.64
2020-11-30,3.538,3.806,3.555,3.766,2155045.74,7948497.73
2020-12-01,3.416,3.983,3.766,3.555,3621609.86,13292698.58
2020-12-02,3.5,4.173,3.555,3.946,3399709.14,13258026.26
2020-12-03,3.803,4.025,3.946,3.889,2028764.11,7941411.38
2020-12-04,3.501,3.919,3.889,3.523,1714646.85,6379291.73
2020-12-05,3.451,3.697,3.523,3.684,1400700.28,5024431.26
2020-12-06,3.511,3.794,3.684,3.649,1173330.44,4266458.15
2020-12-07,3.565,3.877,3.649,3.759,1767018.04,6599174.09
2020-12-08,3.278,3.762,3.759,3.296,2452136.44,8529640.17
2020-12-09,3.12,3.398,3.296,3.356,2672181.85,8769049.67
2020-12-10,3.191,3.371,3.356,3.24,865854.66,2818137.85
2020-12-11,2.912,3.247,3.24,2.959,3024768.74,9064913.94
2020-12-12,2.959,3.185,2.959,3.123,1971612.87,6084297.42
2020-12-13,3.073,3.363,3.123,3.342,1038813.25,3390420.06
2020-12-14,3.237,3.547,3.342,3.481,1854916.02,6270488.4
2020-12-15,3.31,3.517,3.481,3.33,1404005.34,4794438.55
2020-12-16,3.244,3.543,3.33,3.542,2215422.93,7600377.27
2020-12-17,3.439,3.998,3.542,3.698,3961581.77,14909393.15
2020-12-18,3.549,3.855,3.698,3.766,2869747.99,10673647.06
2020-12-19,3.71,4.248,3.766,3.968,5714432.65,23149713.79
2020-12-20,3.711,4.023,3.968,3.764,2469332.98,9590442.39
2020-12-21,3.408,3.922,3.764,3.514,2803854.01,10104515.78
2020-12-22,3.284,3.772,3.514,3.734,2815019.24,9988688.42
2020-12-23,3.02,3.774,3.734,3.323,4039414.27,13933433.93
2020-12-24,3.162,3.525,3.323,3.524,2678835.5,8866310.99
2020-12-25,3.374,3.645,3.524,3.503,1529694.34,5341024.64
2020-12-26,3.358,3.597,3.503,3.413,1272478.3,4418155.33
2020-12-27,3.353,3.792,3.413,3.593,3126493.65,11242450.13
2020-12-28,3.567,3.939,3.593,3.723,2943019.29,11116554.65
2020-12-29,3.495,3.833,3.723,3.671,2802585.33,10161352.91
2020-12-30,3.632,4.38,3.671,4.15,6753061.19,27336726.22
2020-12-31,3.943,5.308,4.15,5.162,12754961.56,60043229.36
2021-01-01,4.624,5.279,5.162,4.753,7249792.19,35837010.14
2021-01-02,4.495,5.187,4.753,4.862,8306781.02,39914920.46
2021-01-03,4.681,5.648,4.862,5.508,8665252.16,44750449.91
2021-01-04,4.884,6.234,5.508,5.433,9835787.31,54027189.9
2021-01-05,5.202,6.58,5.433,6.276,7506796.47,44843335.71
2021-01-06,6.024,6.614,6.276,6.425,4899683.33,30758474.46
2021-01-07,6.025,6.83,6.425,6.265,4613860.9,29295451.14
2021-01-08,5.488,6.37,6.265,5.882,4799864.69,28376859.05
2021-01-09,5.673,6.367,5.882,6.246,3227477.27,19595411.41
2021-01-10,5.518,6.591,6.246,5.981,4150330.69,25219315.64
2021-01-11,4.37,5.996,5.981,5.24,7966005.74,40658500.8
2021-01-12,4.963,5.809,5.24,5.581,3321185.79,18006132.82
2021-01-13,5.264,6.384,5.581,6.34,2994823.45,17636007.23
2021-01-14,6.183,7.127,6.34,6.945,4999777.22,32922690.49
2021-01-15,6.377,7.468,6.945,7.372,6185116.01,43528418.78
2021-01-16,7.197,9.352,7.372,8.404,8411661.83,69768923.66
2021-01-17,8.073,9.169,8.404,8.686,6389039.95,54999422.04
2021-01-18,8.307,9.863,8.686,9.194,4431313.25,40482456.6
2021-01-19,8.468,9.671,9.194,8.594,3955557.65,35912035.38
2021-01-20,7.64,9.048,8.594,8.985,4501970.33,37641756.39
2021-01-21,7.324,9.04,8.985,7.581,5837741.1,47125606.67
2021-01-22,7.042,9.019,7.581,8.707,5666776.38,46531190.75
2021-01-23,8.506,9.53,8.707,9.328,3317380.9,30219555.54
2021-01-24,9.18,12.3,9.328,12.03,7935610.23,85825367.72
2021-01-25,10.88,12.95,12.03,11.31,8767376.82,104014435.61
2021-01-26,11.18,14.28,11.31,13.92,10126350.12,130633803.85
2021-01-27,13.02,16.41,13.92,14.77,10370008.25,148331168.38
2021-01-28,13.55,15.43,14.77,14.14,7480768.96,108434977.41
2021-01-29,14.11,15.79,14.14,15.67,7411760.17,110573179.96
2021-01-30,15.11,19.67,15.67,19.63,10324044.12,178605661.34
2021-01-31,17.44,20.54,19.63,17.73,9772644.59,184601681.45
2021-02-01,16.7,20.74,17.73,20.51,8391918.66,158501084.31
2021-02-02,18.08,20.57,20.51,18.99,6127087.73,116745767.12
2021-02-03,18.73,20.51,18.99,19.73,4758586.28,93613482.34
2021-02-04,19.24,21.59,19.73,20.14,7208705.45,148875708.74
2021-02-05,19.57,22.43,20.14,21.16,5825617.95,121121085.67
2021-02-06,19.23,21.68,21.16,19.24,3882315.39,77670880.67
2021-02-07,17.11,19.67,19.24,18.72,3889316.42,71279577.06
2021-02-08,18.14,20.22,18.72,19.35,3656990.61,70148519.09
2021-02-09,18.91,19.93,19.35,19.53,2876058.83,55584747.43
2021-02-10,19.53,22.42,19.53,20.7,5328244.24,110675348.57
2021-02-11,20.17,22.0,20.7,21.47,3580178.69,74644308.18
2021-02-12,21.24,23.84,21.47,22.7,4879429.0,110056375.68
2021-02-13,21.22,23.57,22.7,21.8,3003961.65,66880617.52
2021-02-14,20.69,22.63,21.8,20.86,2164930.35,47048205.53
2021-02-15,17.19,21.53,20.86,20.1,4750391.19,93083335.09
2021-02-16,19.4,21.3,20.1,20.49,2688939.17,55197289.53
2021-02-17,19.18,21.83,20.49,21.54,2465001.44,50384103.6
2021-02-18,20.63,22.27,21.54,21.18,2182680.11,46696016.26
2021-02-19,19.36,21.53,21.18,20.07,2784158.6,56685368.63
2021-02-20,19.53,32.97,20.07,28.74,15440009.23,420087350.05
2021-02-21,27.86,32.09,28.74,28.81,6414782.66,192202220.12
2021-02-22,22.07,29.12,28.81,27.69,7175846.17,190094377.65
2021-02-23,18.24,27.74,27.69,24.86,9910174.07,223747850.56
2021-02-24,23.13,27.35,24.86,25.25,5298766.15,135964144.48
2021-02-25,23.12,26.94,25.25,23.48,3035421.05,75892837.35
2021-02-26,21.01,25.19,23.48,23.11,3942552.88,90479688.03
2021-02-27,22.36,24.81,23.11,23.57,2391559.62,56996748.1
2021-02-28,20.52,24.14,23.57,22.25,3597963.13,78969986.09
2021-03-01,22.12,25.72,22.25,25.71,2321703.03,55331974.35
2021-03-02,24.55,27.42,25.71,25.56,3806344.08,98948228.23
2021-03-03,25.29,27.59,25.56,25.39,2153801.81,56510138.54
2021-03-04,24.77,29.75,25.39,28.25,6256176.7,175461991.57
2021-03-05,25.84,28.77,28.25,28.32,3984838.29,108756636.86
2021-03-06,27.19,29.0,28.32,28.51,1571763.6,44524351.27
2021-03-07,28.5,34.91,28.51,34.24,4330106.05,136256378.8
2021-03-08,32.09,34.93,34.24,33.22,2770608.93,92591219.96
2021-03-09,32.38,34.76,33.22,32.87,2452018.83,81497742.14
2021-03-10,30.35,33.49,32.87,30.9,1915824.56,60969953.0
2021-03-11,29.5,31.83,30.9,31.02,1737223.57,53511022.67
2021-03-12,29.24,31.94,31.02,30.93,1250150.85,38324267.6
2021-03-13,30.19,33.27,30.93,32.86,1031814.3,33320150.1
