datetime,low,high,open,close,volumefrom,volumeto
2015-09-21,1.15,1.15,1.15,1.15,0.0,0.0
2015-09-22,1.15,1.15,1.15,1.15,0.0,0.0
2015-09-23,1.15,1.15,1.15,1.15,0.0,0.0
2015-09-24,1.15,1.15,1.15,1.15,0.0,0.0
2015-09-25,1.15,1.15,1.15,1.15,0.0,0.0
2015-09-26,1.15,1.15,1.15,1.15,0.0,0.0
2015-09-27,1.15,1.15,1.15,1.15,0.0,0.0
2015-09-28,1.15,1.15,1.15,1.15,0.0,0.0
2015-09-29,1.15,1.15,1.15,1.15,0.0,0.0
2015-09-30,1.15,1.15,1.15,1.15,0.0,0.0
2015-10-01,1.15,1.15,1.15,1.15,0.0,0.0
2015-10-02,1.15,1.15,1.15,1.15,0.0,0.0
2015-10-03,1.15,1.15,1.15,1.15,0.0,0.0
2015-10-04,1.15,1.15,1.15,1.15,0.0,0.0
2015-10-05,1.15,1.15,1.15,1.15,0.0,0.0
2015-10-06,1.15,1.15,1.15,1.15,0.0,0.0
2015-10-07,1.15,1.15,1.15,1.15,0.0,0.0
2015-10-08,1.15,1.15,1.15,1.15,0.0,0.0
2015-10-09,1.15,1.15,1.15,1.15,0.0,0.0
2015-10-10,1.15,1.15,1.15,1.15,0.0,0.0
2015-10-11,1.15,1.15,1.15,1.15,0.0,0.0
2015-10-12,1.15,1.15,1.15,1.15,0.0,0.0
2015-10-13,1.15,1.15,1.15,1.15,0.0,0.0
2015-10-14,1.15,1.15,1.15,1.15,0.0,0.0
2015-10-15,1.15,1.15,1.15,1.15,0.0,0.0
2015-10-16,1.15,1.15,1.15,1.15,0.0,0.0
2015-10-17,1.15,1.15,1.15,1.15,0.0,0.0
2015-10-18,1.15,1.15,1.15,1.15,0.0,0.0
2015-10-19,1.15,1.15,1.15,1.15,0.0,0.0
2015-10-20,1.15,1.15,1.15,1.15,0.0,0.0
2015-10-21,1.15,1.15,1.15,1.15,0.0,0.0
2015-10-22,1.15,1.15,1.15,1.15,0.0,0.0
2015-10-23,1.15,1.15,1.15,1.15,0.0,0.0
2015-10-24,1.15,1.15,1.15,1.15,0.0,0.0
2015-10-25,1.15,1.15,1.15,1.15,0.0,0.0
2015-10-26,1.397,1.397,1.411,1.397,2.0,2.794
2015-10-27,1.15,1.15,1.15,1.15,0.0,0.0
2015-10-28,1.15,1.15,1.15,1.15,0.0,0.0
2015-10-29,1.15,1.15,1.15,1.15,0.0,0.0
2015-10-30,1.15,1.15,1.15,1.15,0.0,0.0
2015-10-31,1.15,1.15,1.15,1.15,0.0,0.0
