datetime,low,high,open,close,volumefrom,volumeto
2018-02-21,0.02631,0.03857,0.04142,0.02725,1572193.62,42845.92
2018-02-22,0.02472,0.03378,0.02725,0.03368,1619114.48,54531.81
2018-02-23,0.02869,0.0349,0.03368,0.03195,1554584.32,49670.68
2018-02-24,0.02543,0.03164,0.03195,0.02892,1552894.61,44914.49
2018-02-25,0.02431,0.0295,0.02892,0.02441,996512.02,24324.54
2018-02-26,0.02613,0.03542,0.02441,0.02974,1852045.37,55080.42
2018-02-27,0.02659,0.03369,0.02974,0.03359,1991594.34,66888.47
2018-02-28,0.0308,0.03276,0.03359,0.0308,190140.92,5855.7
2018-03-01,0.02306,0.03279,0.02873,0.02306,688386.09,15874.85
2018-03-02,0.01513,0.04086,0.02306,0.0402,1269264.43,51020.57
2018-03-03,0.04013,0.05079,0.0402,0.05079,280809.69,14262.76
2018-03-04,0.05096,0.1265,0.05079,0.105,758458.48,79664.96
2018-03-05,0.1045,0.5263,0.105,0.2803,5438322.13,1524350.19
2018-03-06,0.2167,0.3241,0.2803,0.2362,1537715.62,363177.52
2018-03-07,0.1391,0.2184,0.2362,0.1688,336083.76,56726.07
2018-03-08,0.08627,0.1644,0.1688,0.1013,1000601.28,101333.64
2018-03-09,0.01999,0.1006,0.1013,0.02776,539939.85,14987.8
2018-03-10,0.02182,0.02736,0.02776,0.0263,17946.39,472.06
2018-03-11,0.02224,0.0294,0.02648,0.02224,301527.0,6705.8
2018-03-12,0.0213,0.02752,0.02224,0.02194,1292476.25,28358.43
2018-03-13,0.02198,0.02656,0.02194,0.0262,1814027.76,47523.8
2018-03-14,0.02317,0.02367,0.0262,0.02367,1563767.24,37009.64
2018-03-15,0.01968,0.02381,0.02366,0.02373,855731.11,20306.79
2018-03-16,0.02245,0.02626,0.02373,0.02609,648055.47,16909.18
2018-03-17,0.02278,0.03548,0.02609,0.03075,430559.71,13237.75
2018-03-18,0.02284,0.03262,0.03074,0.02958,18999.98,561.93
2018-03-19,0.02397,0.0307,0.02917,0.02984,29801.16,889.15
2018-03-20,0.02471,0.03104,0.02984,0.0289,33232.42,960.52
2018-03-21,0.02566,0.03092,0.0289,0.02566,143151.32,3673.93
2018-03-22,0.02513,0.0301,0.02566,0.02914,15814.53,460.86
2018-03-23,0.02323,0.02984,0.02914,0.02323,38472.13,893.73
2018-03-24,0.02222,0.02701,0.02323,0.0265,33013.94,874.84
2018-03-25,0.02228,0.0322,0.0265,0.02228,83968.0,1871.11
2018-03-26,0.02274,0.03253,0.03169,0.02902,33110.86,960.94
2018-03-27,0.02194,0.02936,0.02291,0.02936,1519.25,44.61
2018-03-28,0.02444,0.03025,0.02936,0.03025,13351.56,403.85
2018-03-29,0.02189,0.071,0.03025,0.0636,145901.52,9279.96
2018-03-30,0.02495,0.1095,0.07078,0.04935,84652.89,4177.37
2018-03-31,0.05,0.1042,0.04935,0.09721,43188.89,4198.51
2018-04-01,0.06843,0.1299,0.09937,0.08203,5774.03,473.64
2018-04-02,0.0849,0.1377,0.08811,0.1343,38997.82,5239.23
2018-04-03,0.09219,0.1427,0.1343,0.1279,68078.33,8705.17
2018-04-04,0.08254,0.1499,0.1279,0.1357,23956.33,3250.79
2018-04-05,0.08298,0.1562,0.1357,0.1528,60517.0,9246.1
2018-04-06,0.1065,0.1791,0.1528,0.1065,9385.82,999.49
2018-04-07,0.111,0.1867,0.1065,0.1866,26209.67,4891.41
2018-04-08,0.1389,0.1903,0.1866,0.1762,35832.85,6315.47
2018-04-09,0.1379,0.195,0.1762,0.1886,34654.01,6536.2
2018-04-10,0.1565,0.1991,0.1886,0.1988,99046.73,19695.32
2018-04-11,0.1711,0.2299,0.1988,0.1919,70104.23,13450.97
2018-04-12,0.1903,0.3163,0.1919,0.2768,213706.71,59144.84
2018-04-13,0.184,0.2763,0.2768,0.2212,237667.63,52566.16
2018-04-14,0.2086,0.2409,0.2212,0.209,72255.4,15100.39
2018-04-15,0.1956,0.2572,0.2245,0.2364,138035.98,32630.51
2018-04-16,0.2014,0.2741,0.2364,0.2485,130728.27,32479.82
2018-04-17,0.1855,0.2436,0.2485,0.2376,182643.32,43390.52
2018-04-18,0.2047,0.248,0.2399,0.2427,172534.06,41868.58
2018-04-19,0.2076,0.246,0.2427,0.2142,37795.23,8095.25
2018-04-20,0.1108,0.2499,0.2142,0.2263,73611.67,16656.61
2018-04-21,0.1639,0.2431,0.2263,0.1868,17189.93,3210.33
2018-04-22,0.1199,0.1941,0.1868,0.12,27479.57,3297.49
2018-04-23,0.122,0.1821,0.12,0.1786,81608.9,14579.23
2018-04-24,0.1572,0.2398,0.1786,0.231,44697.01,10323.49
2018-04-25,0.1675,0.221,0.231,0.1856,25549.48,4742.91
2018-04-26,0.1627,0.259,0.1856,0.2205,53022.59,11693.77
2018-04-27,0.1719,0.2331,0.2207,0.1719,41479.04,7129.7
2018-04-28,0.1798,0.2324,0.1719,0.2173,18059.27,3924.79
2018-04-29,0.1808,0.2186,0.2173,0.2152,17372.28,3739.09
2018-04-30,0.1766,0.2256,0.2152,0.1852,75951.92,14069.82
2018-05-01,0.1736,0.205,0.1852,0.1736,73842.28,12815.89
2018-05-02,0.1742,0.1939,0.1736,0.1785,27189.3,4852.15
2018-05-03,0.1852,0.2017,0.1785,0.1886,41265.73,7781.34
2018-05-04,0.09777,0.197,0.1886,0.154,36992.6,5697.96
2018-05-05,0.04992,0.1674,0.154,0.06469,27131.54,1755.07
2018-05-06,0.06337,0.1543,0.06469,0.07253,8499.3,616.45
2018-05-07,0.07052,0.1519,0.07252,0.07502,11684.0,876.56
2018-05-08,0.07357,0.1517,0.07502,0.1424,57202.3,8143.1
2018-05-09,0.08818,0.149,0.1424,0.09349,60749.41,5679.54
2018-05-10,0.08942,0.1235,0.09349,0.1043,43690.84,4557.92
2018-05-11,0.07133,0.1104,0.1043,0.09844,51438.47,5063.68
2018-05-12,0.06874,0.09921,0.09844,0.08555,16970.37,1451.74
2018-05-13,0.0331,0.08788,0.08556,0.0864,23827.13,2058.61
2018-05-14,0.04302,0.08604,0.0864,0.08387,11800.57,989.68
2018-05-15,0.06801,0.08336,0.08387,0.06801,7667.72,521.49
2018-05-16,0.06676,0.08178,0.06801,0.07844,11379.8,892.64
2018-05-17,0.05819,0.07797,0.07842,0.07797,12287.82,958.04
2018-05-18,0.0499,0.08,0.07797,0.0499,15557.27,776.31
