datetime,low,high,open,close,volumefrom,volumeto
2015-09-21,9.732e-05,0.00012,0.0001017,0.0001018,34761396.11,3540.4
2015-09-22,0.0001012,0.0001311,0.0001018,0.0001242,58361075.56,7248.76
2015-09-23,0.0001149,0.0001333,0.0001242,0.0001195,15540745.29,1857.78
2015-09-24,0.0001122,0.0001286,0.0001195,0.0001169,7241173.36,846.35
2015-09-25,0.0001175,0.0001363,0.0001169,0.0001316,11955764.28,1573.58
2015-09-26,0.0001172,0.0001359,0.0001316,0.0001312,17827084.79,2339.06
2015-09-27,0.0001256,0.0001372,0.0001312,0.0001279,9102740.07,1164.01
2015-09-28,0.0001314,0.0001433,0.0001279,0.0001362,10413584.24,1417.87
2015-09-29,0.0001207,0.0001681,0.0001362,0.0001491,66130508.68,9861.86
2015-09-30,0.0001416,0.0001699,0.0001491,0.0001486,37243667.88,5535.75
2015-10-01,0.0001493,0.000192,0.0001486,0.0001873,53872172.69,10088.61
2015-10-02,0.0001302,0.000187,0.0001873,0.0001491,44378763.65,6618.09
2015-10-03,0.0001121,0.0001503,0.0001491,0.0001264,38795245.84,4905.56
2015-10-04,0.000112,0.0001287,0.0001264,0.0001215,12141984.15,1475.84
2015-10-05,0.0001129,0.0001249,0.0001215,0.0001177,11067058.55,1302.3
2015-10-06,0.0001157,0.0001305,0.0001177,0.000128,5350016.47,684.76
2015-10-07,0.0001166,0.0001385,0.000128,0.0001361,9440064.63,1284.5
2015-10-08,0.0001067,0.0001358,0.0001361,0.0001189,33328391.29,3961.55
2015-10-09,0.0001049,0.0001196,0.0001189,0.0001171,9311676.82,1090.76
2015-10-10,0.0001129,0.0001202,0.0001171,0.0001153,1798586.44,207.4
2015-10-11,0.0001015,0.0001213,0.0001153,0.0001114,3478804.62,387.69
2015-10-12,0.0001104,0.0001227,0.0001114,0.0001178,1708705.26,201.23
2015-10-13,0.000112,0.0001244,0.0001178,0.0001169,8184964.86,957.04
2015-10-14,0.0001135,0.0001262,0.0001169,0.0001135,6563454.35,745.27
2015-10-15,0.0001069,0.0001323,0.0001135,0.000112,20236743.08,2265.58
2015-10-16,0.0001104,0.0001288,0.000112,0.0001157,6973634.91,806.59
2015-10-17,0.0001051,0.0001294,0.0001157,0.000124,23972120.49,2972.71
2015-10-18,0.0001178,0.0001256,0.000124,0.0001204,2293132.43,276.02
2015-10-19,0.0001187,0.000124,0.0001204,0.0001214,1935841.41,234.93
2015-10-20,0.0001079,0.0001295,0.0001214,0.0001187,10747274.03,1275.59
2015-10-21,0.0001122,0.0001175,0.0001187,0.0001175,696907.86,81.91
2015-10-22,0.0001153,0.0001235,0.0001175,0.000118,2242528.65,264.62
2015-10-23,0.0001135,0.0001246,0.000118,0.0001218,4929665.04,600.65
2015-10-24,0.0001158,0.0001243,0.0001218,0.0001243,4514712.63,561.3
2015-10-25,0.0001151,0.0001324,0.0001243,0.0001209,8038980.25,971.92
2015-10-26,0.0001112,0.0001198,0.0001209,0.0001112,3158038.19,351.2
2015-10-27,0.000112,0.0001267,0.0001112,0.0001179,2786133.43,328.38
2015-10-28,0.0001123,0.0001245,0.0001179,0.0001214,6179359.52,750.27
2015-10-29,0.0001192,0.0001505,0.0001214,0.0001411,10067879.12,1420.92
2015-10-30,0.0001374,0.000157,0.0001411,0.000157,19945924.49,3131.86
2015-10-31,0.0001338,0.0001525,0.000157,0.0001463,3455940.94,505.54
2015-11-01,0.0001389,0.0001744,0.0001463,0.0001486,5866223.16,871.47
2015-11-02,0.0001509,0.0001653,0.0001486,0.0001617,2581745.82,417.41
2015-11-03,0.0001189,0.0001824,0.0001617,0.0001705,20925006.11,3567.52
2015-11-04,0.0001283,0.0001724,0.0001705,0.0001483,10585621.13,1570.16
2015-11-05,0.0001263,0.0001722,0.0001483,0.0001722,9083477.0,1564.31
2015-11-06,0.0001294,0.0001664,0.0001722,0.0001405,1533675.86,215.52
2015-11-07,0.0001386,0.0001502,0.0001405,0.0001502,907589.14,136.31
2015-11-08,0.0001189,0.0001561,0.0001502,0.0001412,3659816.71,516.74
2015-11-09,0.0001407,0.0001559,0.0001412,0.0001521,2347528.1,357.03
2015-11-10,0.0001212,0.000138,0.0001521,0.0001313,2412466.27,316.78
2015-11-11,0.0001127,0.000131,0.0001313,0.0001249,4653897.45,581.42
2015-11-12,0.0001202,0.0001436,0.0001249,0.0001269,4675643.65,593.17
2015-11-13,0.0001202,0.0001302,0.0001269,0.0001268,617660.99,78.34
2015-11-14,0.0001128,0.0001261,0.0001268,0.0001194,957804.98,114.4
2015-11-15,0.0001016,0.0001333,0.0001194,0.0001111,19197384.15,2132.97
2015-11-16,9.906e-05,0.0001321,0.0001111,0.0001288,11430721.48,1472.07
2015-11-17,8.014e-05,0.0001336,0.0001288,0.0001069,61497497.63,6571.08
2015-11-18,9.406e-05,0.0001209,0.0001069,0.0001109,32817547.11,3637.94
2015-11-19,0.0001007,0.000117,0.0001109,0.0001105,5329737.25,588.9
2015-11-20,0.000106,0.0001092,0.0001105,0.000106,462275.17,48.99
2015-11-21,9.741e-05,0.0001104,0.000106,0.0001039,6631809.47,689.07
2015-11-22,9.361e-05,0.0001065,0.0001039,9.361e-05,2903037.48,271.74
2015-11-23,9.341e-05,0.0001031,9.361e-05,0.0001031,117074.14,12.07
2015-11-24,0.0001019,0.0001051,0.0001031,0.0001051,553140.8,58.11
2015-11-25,0.0001081,0.0001146,0.0001051,0.0001081,6658787.3,719.69
2015-11-26,9.905e-05,0.0001203,0.0001081,0.0001132,3754504.09,425.0
2015-11-27,8.988e-05,0.000115,0.0001132,9.707e-05,7863305.74,763.29
2015-11-28,9.252e-05,0.0001103,9.707e-05,0.0001032,6779592.37,699.59
2015-11-29,9.271e-05,0.0001075,0.0001032,0.0001038,2472770.21,256.76
2015-11-30,0.0001021,0.0001096,0.0001038,0.0001058,2108015.17,223.09
