datetime,low,high,open,close,volumefrom,volumeto
2015-09-21,0.002037,0.002118,0.002181,0.002037,23305.43,47.47
2015-09-23,0.002129,0.002193,0.00207,0.002129,7651.29,16.29
2015-09-24,0.002069,0.002289,0.002129,0.002188,61432.42,134.41
2015-09-25,0.002049,0.002052,0.002188,0.002049,6000.0,12.3
2015-09-26,0.00209,0.002177,0.002049,0.00209,605822.74,1266.14
2015-09-27,0.002067,0.002074,0.00209,0.002067,332520.51,687.29
2015-09-28,0.00193,0.002083,0.002067,0.00193,31698.66,61.18
2015-09-29,0.001943,0.002211,0.00193,0.001943,202697.2,393.92
2015-09-30,0.001887,0.002001,0.001943,0.001887,139377.93,263.07
2015-10-01,0.00156,0.002323,0.001887,0.002271,331729.49,753.34
2015-10-02,0.002048,0.002282,0.002271,0.002242,27011.15,60.55
2015-10-03,0.002157,0.002233,0.002242,0.002157,5116.0,11.03
2015-10-04,0.002212,0.002214,0.002157,0.002214,18395.35,40.73
2015-10-05,0.001993,0.002063,0.002214,0.001993,118619.88,236.44
2015-10-06,0.002041,0.002043,0.001993,0.002041,54875.73,111.97
2015-10-07,0.002031,0.002048,0.002041,0.002031,13765.64,27.96
2015-10-08,0.001354,0.002026,0.002031,0.001354,116132.86,157.2
2015-10-09,0.002162,0.002223,0.001354,0.002213,11293.77,25.0
2015-10-11,0.001954,0.002001,0.002225,0.001956,8342.18,16.32
2015-10-12,0.001963,0.002282,0.001956,0.001963,122784.85,241.0
2015-10-14,0.002049,0.002344,0.00199,0.002049,18974.07,38.88
2015-10-15,0.001954,0.002056,0.002049,0.001954,15957.81,31.18
2015-10-16,0.001919,0.002127,0.001954,0.001919,28527.25,54.74
2015-10-17,0.00189,0.001968,0.001919,0.00189,91601.33,173.1
2015-10-18,0.0018,0.002313,0.00189,0.002038,51438.33,104.85
2015-10-19,0.001725,0.002047,0.002038,0.001725,130059.67,224.4
2015-10-20,0.001751,0.002409,0.001725,0.002406,55818.5,134.31
2015-10-21,0.001856,0.002391,0.002406,0.001894,2015.23,3.816
2015-10-22,0.001929,0.002195,0.001894,0.002195,3860.55,8.475
2015-10-23,0.001966,0.001974,0.002195,0.001966,4193.62,8.245
2015-10-24,0.001557,0.001574,0.001966,0.001574,9144.95,14.39
2015-10-25,0.001871,0.002303,0.001574,0.002303,32608.27,75.09
2015-10-26,0.001853,0.002082,0.002303,0.002082,67070.26,139.61
2015-10-27,0.001915,0.001965,0.002082,0.001965,78101.01,153.5
