datetime,low,high,open,close,volumefrom,volumeto
2015-09-21,0.4699,0.4891,0.4897,0.4853,18502.4,8978.32
2015-09-22,0.4598,0.4936,0.4853,0.4757,36910.07,17556.67
2015-09-23,0.4483,0.4759,0.4757,0.4651,54486.34,25339.82
2015-09-24,0.4584,0.4741,0.4651,0.4675,27533.58,12872.5
2015-09-25,0.4348,0.4839,0.4675,0.4522,149141.92,67441.64
2015-09-26,0.436,0.4709,0.4522,0.4524,78935.28,35712.95
2015-09-27,0.4336,0.4497,0.4524,0.4387,29511.64,12947.57
2015-09-28,0.4445,0.4562,0.4387,0.4491,44835.41,20134.49
2015-09-29,0.4261,0.4493,0.4491,0.4372,36932.09,16146.83
2015-09-30,0.3098,0.4358,0.4372,0.3949,221139.77,87338.45
2015-10-01,0.3911,0.4302,0.3949,0.4056,59850.04,24274.73
2015-10-02,0.3913,0.4258,0.4056,0.4097,52687.55,21588.46
2015-10-03,0.4049,0.4175,0.4097,0.4104,31962.5,13116.05
2015-10-04,0.399,0.4102,0.4104,0.4018,12816.36,5149.93
2015-10-05,0.3842,0.4299,0.4018,0.4193,34752.76,14571.9
2015-10-06,0.4044,0.4327,0.4193,0.4098,21545.39,8829.8
2015-10-07,0.3914,0.4172,0.4098,0.3931,44786.84,17607.57
2015-10-08,0.3872,0.4109,0.3931,0.3908,63817.83,24939.78
2015-10-09,0.3795,0.4054,0.3908,0.3966,45908.5,18205.7
2015-10-10,0.3854,0.4011,0.3966,0.3901,25693.4,10023.16
2015-10-11,0.3789,0.4106,0.3901,0.3821,79880.72,30524.34
2015-10-12,0.3778,0.4043,0.3821,0.3984,36071.39,14372.59
2015-10-13,0.3819,0.404,0.3984,0.3883,48382.69,18789.2
2015-10-14,0.3891,0.4012,0.3883,0.3936,33252.11,13089.19
2015-10-15,0.3819,0.3997,0.3936,0.3936,66276.44,26087.64
2015-10-16,0.3822,0.419,0.3936,0.4114,80525.54,33127.53
2015-10-17,0.4146,0.4313,0.4114,0.4222,47778.03,20170.08
2015-10-18,0.4027,0.4171,0.4222,0.4087,18084.12,7391.5
2015-10-19,0.3839,0.4126,0.4087,0.386,63039.81,24331.39
2015-10-20,0.3803,0.4143,0.386,0.4014,81941.28,32890.25
2015-10-21,0.374,0.3983,0.4014,0.3948,42720.69,16865.64
2015-10-22,0.3869,0.4064,0.3948,0.4045,30696.42,12416.55
2015-10-23,0.3905,0.4093,0.4045,0.3935,50132.68,19727.38
2015-10-24,0.3837,0.4021,0.3935,0.3967,42671.58,16928.42
2015-10-25,0.384,0.4168,0.3967,0.4139,60500.15,25043.59
2015-10-26,0.3804,0.4123,0.4139,0.3847,42860.32,16486.97
2015-10-27,0.3931,0.4146,0.3847,0.4057,45223.83,18349.43
2015-10-28,0.4061,0.4474,0.4057,0.4307,75401.64,32477.24
2015-10-29,0.4259,0.4824,0.4307,0.4457,101698.19,45323.65
2015-10-30,0.3808,0.4796,0.4457,0.4462,131612.51,58724.41
