datetime,low,high,open,close,volumefrom,volumeto
2017-06-24,1.425,5.154,3.954,2.202,12904.99,28410.88
2017-06-25,2.0,3.025,2.202,3.022,12905.6,39000.54
2017-06-26,1.908,3.657,3.022,1.94,8351.27,16199.11
2017-06-27,2.013,3.876,1.94,3.591,11791.14,42346.85
2017-06-28,2.289,3.66,3.591,2.32,2829.3,6563.88
2017-06-29,2.175,3.198,2.32,3.198,3352.23,10720.31
2017-06-30,2.238,3.225,3.198,2.242,8521.82,19109.94
2017-07-01,0.6062,3.031,2.242,0.6062,14333.67,8688.39
2017-07-02,0.6341,1.776,0.6062,1.646,13387.06,22037.28
2017-07-03,0.5196,1.801,1.646,0.8232,26854.14,22106.07
2017-07-04,0.6,0.9904,0.9278,0.7894,35465.01,31328.08
2017-07-05,0.61,0.95,0.7894,0.7175,23951.62,19393.73
2017-07-06,0.564,0.854,0.7175,0.6565,40857.67,27689.3
2017-07-07,0.605,0.85,0.6565,0.8428,25688.06,18599.09
2017-07-08,0.9464,1.711,0.9427,1.275,26042.74,33197.6
2017-07-09,1.02,1.55,1.1,1.3,16520.95,19988.97
2017-07-10,1.07,1.5,1.3,1.11,10787.63,12780.11
2017-07-11,1.11,1.11,1.11,1.11,0.0,0.0
2017-07-12,0.701,1.11,1.11,0.8449,10167.9,8068.85
2017-07-13,0.454,1.0,0.8449,0.485,72207.35,37807.97
2017-07-14,0.38,0.94,0.485,0.8498,65261.05,31731.08
2017-07-15,0.62,0.899,0.8498,0.8645,30549.04,23133.9
2017-07-16,0.61,0.899,0.8645,0.8184,110565.68,82412.59
2017-07-17,0.912,1.206,0.8528,0.9485,203859.87,193365.21
2017-07-18,1.134,1.669,0.9485,1.444,103541.65,149473.88
2017-07-19,1.226,1.876,1.594,1.876,47777.94,89644.83
2017-07-20,1.39,2.5,1.89,1.69,38663.53,77036.87
2017-07-21,1.62,1.83,1.69,1.77,7835.36,13550.91
2017-07-22,1.549,1.81,1.696,1.736,22827.54,39627.61
2017-07-23,1.62,2.1,1.64,1.77,33731.91,57610.63
2017-07-24,1.62,1.77,1.77,1.68,53194.22,87897.3
2017-07-25,1.4,1.71,1.68,1.43,140595.92,218052.97
2017-07-26,1.4,1.57,1.43,1.44,152748.76,218640.56
2017-07-27,1.42,1.54,1.44,1.45,137281.82,199960.67
2017-07-28,1.367,1.572,1.483,1.426,162870.49,232225.47
2017-07-29,1.342,1.531,1.426,1.378,147317.79,202957.36
2017-07-30,1.347,1.486,1.378,1.422,143892.63,204611.85
2017-07-31,1.404,1.499,1.422,1.433,184051.27,263742.74
2017-08-01,1.346,1.786,1.433,1.478,144438.29,213462.55
2017-08-02,1.325,1.496,1.478,1.374,116520.8,160084.16
2017-08-03,1.368,1.515,1.374,1.444,131249.76,189568.6
2017-08-04,1.382,1.552,1.444,1.428,135061.47,192831.45
2017-08-05,1.56,1.667,1.428,1.641,47006.68,77146.82
2017-08-06,1.616,2.065,1.641,1.81,87655.06,158650.12
2017-08-07,1.442,2.167,1.81,1.442,177928.32,256645.56
2017-08-08,1.245,1.584,1.442,1.245,253581.94,315675.27
2017-08-09,1.139,1.497,1.245,1.216,194670.52,236643.58
2017-08-10,1.096,1.291,1.216,1.192,245682.18,292885.87
2017-08-11,1.217,1.443,1.192,1.279,114745.11,146762.38
2017-08-12,1.262,1.487,1.279,1.301,199218.16,259155.8
2017-08-13,1.231,1.406,1.301,1.255,278248.9,349297.92
2017-08-14,1.298,1.536,1.255,1.372,264944.34,363492.24
2017-08-15,1.248,1.498,1.372,1.261,282224.56,355880.37
2017-08-16,1.316,1.487,1.261,1.316,140406.31,184805.59
2017-08-17,1.27,1.4,1.3,1.3,48122.48,63065.27
2017-08-18,1.207,1.392,1.288,1.26,202344.86,255025.06
2017-08-19,1.229,1.415,1.26,1.287,262472.91,337708.01
2017-08-20,1.23,1.38,1.27,1.34,50481.03,64377.66
2017-08-21,1.254,1.926,1.273,1.758,208332.11,366297.62
2017-08-22,1.427,1.836,1.758,1.521,248342.54,377820.49
2017-08-23,1.503,1.917,1.521,1.855,186481.03,345961.16
2017-08-24,1.878,2.202,1.855,2.073,169436.12,351208.55
2017-08-25,2.008,2.4,2.073,2.326,222559.58,517724.89
2017-08-26,2.098,2.402,2.326,2.207,177682.14,392076.27
2017-08-27,2.077,2.26,2.207,2.103,121598.63,255763.63
2017-08-28,2.011,2.309,2.103,2.081,237849.73,494966.94
2017-08-29,2.152,2.299,2.081,2.294,278604.91,639135.74
2017-08-30,2.223,2.539,2.294,2.397,288459.34,691413.81
2017-08-31,2.334,2.514,2.397,2.358,227583.87,536662.06
2017-09-01,2.451,2.673,2.358,2.5,185918.43,464851.81
2017-09-02,2.269,2.401,2.5,2.31,45655.54,105453.75
2017-09-03,2.122,2.32,2.104,2.288,223091.38,510434.93
2017-09-04,1.826,2.129,2.288,1.925,145935.73,280870.82
2017-09-05,1.927,2.152,1.925,2.116,35979.74,76146.02
2017-09-06,1.972,2.222,2.116,2.032,173687.39,352973.14
2017-09-07,1.965,2.132,2.032,2.114,220061.88,465174.2
2017-09-08,1.886,2.033,2.114,1.899,119112.4,226231.56
2017-09-09,1.89,1.972,1.899,1.968,133943.31,263620.39
2017-09-10,1.775,2.038,1.968,1.855,313501.47,581687.53
2017-09-11,1.767,1.894,1.855,1.885,215553.05,406404.0
2017-09-12,1.838,2.038,1.885,1.942,189105.35,367283.37
2017-09-13,1.734,1.924,1.942,1.877,227811.15,427622.18
2017-09-14,1.42,1.622,1.877,1.456,293791.2,427801.98
2017-09-15,1.597,1.719,1.456,1.656,152413.22,252447.65
2017-09-16,1.31,1.81,1.39,1.7,42812.52,70139.99
2017-09-17,1.531,1.697,1.624,1.657,294187.3,487360.95
2017-09-18,1.8,1.964,1.657,1.808,223959.4,404968.65
2017-09-19,1.716,1.829,1.808,1.829,140696.92,257324.15
2017-09-20,1.805,1.914,1.829,1.825,136002.43,248152.1
2017-09-21,1.592,1.765,1.825,1.639,312948.45,512804.62
2017-09-22,1.451,1.671,1.639,1.592,261417.74,416063.81
2017-09-23,1.43,1.8,1.55,1.58,68775.05,110438.76
2017-09-24,1.46,1.75,1.58,1.52,87047.9,138626.01
2017-09-25,1.51,1.74,1.52,1.67,59903.43,97412.33
2017-09-26,1.59,1.72,1.67,1.62,51575.67,84974.57
2017-09-27,1.487,1.849,1.615,1.672,222545.27,372149.86
2017-09-28,1.599,1.775,1.672,1.628,191061.44,311031.25
