datetime,low,high,open,close,volumefrom,volumeto
2020-07-31,3375.0,4400.0,4215.0,4225.0,106.26,409508.25
2020-08-01,3690.0,4515.0,4225.0,3760.0,25.6,106170.95
2020-08-02,3500.0,4075.0,3760.0,4040.0,10.29,38854.63
2020-08-03,3575.0,4250.0,4040.0,3765.0,6.859,27476.04
2020-08-04,3630.0,4065.0,3765.0,3655.0,3.458,13077.51
2020-08-05,3515.0,4295.0,3655.0,4225.0,30.1,121599.38
2020-08-06,4035.0,5050.0,4225.0,4775.0,78.62,366293.19
2020-08-07,3530.0,5610.0,4775.0,4345.0,68.1,323375.91
2020-08-08,3990.0,5015.0,4345.0,4590.0,40.78,181067.96
2020-08-09,3800.0,4700.0,4590.0,4015.0,15.98,66813.33
2020-08-10,4045.12,9224.06,4218.77,6234.24,792.59,4941198.53
2020-08-11,5515.7,6516.79,6234.24,6060.09,535.91,3247664.02
2020-08-12,5383.61,6244.43,6060.09,5751.54,481.19,2767584.23
2020-08-13,3548.99,5891.8,5751.54,5342.36,876.17,4680813.03
2020-08-14,4727.47,5372.71,5342.36,5020.66,272.91,1370187.05
2020-08-15,4167.92,5438.23,5020.66,5393.16,574.47,3098206.2
2020-08-16,5241.52,6850.45,5393.16,6678.83,892.86,5963260.5
2020-08-17,6595.9,9202.52,6678.83,8918.36,1228.63,10957368.03
2020-08-18,8423.49,11853.86,8918.36,9666.98,2017.44,19502559.93
2020-08-19,9443.58,12936.41,9666.98,12583.6,1420.98,17881038.1
2020-08-20,11578.71,16798.62,12583.6,15280.1,2944.65,44994540.1
2020-08-21,11688.73,15169.99,15280.1,12288.16,1470.17,18065676.98
2020-08-22,11340.15,14518.0,12288.16,14062.86,861.95,12121478.82
2020-08-23,11849.6,14063.38,14062.86,12513.73,463.92,5805370.77
2020-08-24,12320.71,14507.4,12513.73,14472.13,447.08,6470199.17
2020-08-25,12826.19,14355.82,14472.13,13517.36,479.15,6476842.12
2020-08-26,13347.46,16317.38,13517.36,15686.71,638.96,10023177.36
2020-08-27,14163.78,15727.46,15686.71,14186.44,410.89,5829065.12
2020-08-28,14292.13,19506.04,14186.44,18860.07,1437.59,27113045.66
2020-08-29,17829.19,27530.19,18860.07,27507.23,2973.49,81792473.57
2020-08-30,27088.64,39297.28,27507.23,31669.81,5878.39,186167480.42
2020-08-31,29669.13,39473.34,31669.81,34985.09,3624.14,126790856.14
2020-09-01,31438.75,36567.23,34985.09,31856.19,2120.88,67563154.11
2020-09-02,25793.45,32882.94,31856.19,31971.11,2280.67,72915550.3
2020-09-03,26189.47,31704.12,31971.11,29455.52,1688.88,49746846.89
2020-09-04,24954.11,32019.56,29455.52,27361.6,940.32,25728660.29
2020-09-05,18475.2,27911.08,27361.6,22156.01,2425.98,53750028.96
2020-09-06,19792.25,25404.68,22156.01,23855.36,1432.84,34180914.38
2020-09-07,21412.04,24785.24,23855.36,22948.15,778.12,17856411.27
2020-09-08,21462.38,23062.69,22948.15,22475.23,758.02,17036674.04
2020-09-09,21930.65,29182.91,22475.23,27638.35,1557.89,43057513.29
2020-09-10,27850.57,35537.41,27638.35,34047.63,1927.86,65639069.52
2020-09-11,31964.99,38370.46,34047.63,38183.29,1303.08,49755884.14
2020-09-12,36682.93,43871.15,38183.29,43265.17,1738.32,75208706.84
2020-09-13,32887.9,42910.29,43265.17,36907.19,1712.38,63199133.88
2020-09-14,36220.83,43268.51,36907.19,39830.1,1442.98,57474032.36
2020-09-15,35175.43,41431.71,39830.1,35304.87,1296.85,45785119.49
2020-09-16,31348.26,37133.61,35304.87,34865.49,1762.75,61459146.38
2020-09-17,29967.79,36392.59,34865.49,33273.23,1391.83,46310673.59
2020-09-18,31074.55,34924.68,33273.23,33032.43,1074.25,35485085.56
2020-09-19,27986.12,33627.67,33032.43,30923.27,1114.09,34451307.99
2020-09-20,26310.74,30504.73,30923.27,28058.23,1051.83,29512490.85
2020-09-21,21867.68,26972.56,28058.23,24034.65,1452.6,34912731.11
2020-09-22,22965.71,27011.05,24034.65,25030.52,1293.07,32366212.53
2020-09-23,21121.18,25595.23,25030.52,21203.08,945.13,20039671.15
2020-09-24,21303.33,25331.95,21203.08,25299.72,993.47,25134510.74
2020-09-25,23494.98,27430.42,25299.72,26831.55,853.45,22899383.86
2020-09-26,25830.05,31970.72,26848.07,31696.97,756.21,22311637.86
2020-09-27,28051.14,34366.74,31696.97,30655.76,917.44,28355013.27
2020-09-28,27712.95,31379.07,30655.76,28491.95,565.07,16546958.01
2020-09-29,23883.36,29206.44,28437.94,25065.06,2172.16,54445326.12
2020-09-30,22054.69,24943.58,25065.06,23865.64,1609.09,38401956.04
2020-10-01,21610.53,26152.03,23858.51,22859.5,1045.12,25059111.64
2020-10-02,19004.97,23305.29,22859.5,21136.33,1186.27,24850438.38
2020-10-03,18508.3,21781.84,21136.33,18893.87,904.11,18269730.61
2020-10-04,16157.36,20193.7,18893.87,19172.34,2080.02,37807030.16
2020-10-05,17560.13,20491.84,19172.34,19182.75,1064.38,20454719.66
2020-10-06,16185.87,19368.24,19182.75,16619.15,1111.47,19614424.23
2020-10-07,13704.49,16691.52,16619.15,14850.49,2204.88,33033936.0
2020-10-08,12255.13,17318.78,14850.49,16715.55,2875.08,42471979.11
2020-10-09,15818.08,19474.58,16715.55,18035.04,1810.71,32059719.56
2020-10-10,15870.99,19541.53,18035.04,16037.81,1121.29,19645528.91
2020-10-11,15050.73,17706.71,16037.81,16893.07,1339.48,21903611.76
2020-10-12,15702.17,17486.59,16893.07,16514.42,839.56,13988732.47
2020-10-13,15333.87,16693.33,16514.42,15704.54,643.29,10316046.33
2020-10-14,13709.14,16119.6,15704.54,14586.39,1193.77,17528545.67
2020-10-15,13959.96,15792.49,14586.39,14581.81,1202.44,17805543.09
2020-10-16,13401.47,14623.49,14581.81,13414.99,904.56,12675416.71
2020-10-17,13139.7,14141.1,13414.99,14022.34,678.69,9270872.86
2020-10-18,13934.46,15789.61,14022.34,15420.55,1193.77,17863874.47
2020-10-19,13756.75,15678.22,15420.55,13775.57,588.06,8614204.14
2020-10-20,12735.08,14098.67,13775.57,13066.48,863.15,11597813.15
2020-10-21,12901.45,14661.79,13066.48,13317.77,1334.18,18348095.78
2020-10-22,13160.83,14382.3,13317.77,13722.89,652.85,8991283.52
2020-10-23,13622.34,14954.77,13722.89,14911.69,913.4,13159904.64
2020-10-24,14523.11,15493.11,14911.69,14892.93,797.17,12016670.33
2020-10-25,14201.88,14906.1,14990.04,14306.21,690.87,9883729.49
2020-10-26,13206.03,14575.08,14313.33,13620.09,706.27,9719797.2
2020-10-27,13359.57,14198.63,13620.09,13404.85,396.87,5476111.64
2020-10-28,12075.63,13597.39,13404.85,12565.87,565.35,7257474.65
2020-10-29,10532.91,12931.79,12565.87,10810.27,1461.48,16650856.1
2020-10-30,9644.83,11968.8,10810.27,11019.63,3222.19,34561640.14
2020-10-31,10280.38,11432.03,11019.63,10495.4,1292.92,13940557.13
2020-11-01,9977.37,11046.28,10495.4,10700.08,953.06,9985155.81
2020-11-02,10034.8,11239.16,10700.08,10111.71,1015.0,10837939.13
2020-11-03,9310.81,10243.4,10111.71,9375.14,684.24,6601432.84
2020-11-04,8241.6,9684.49,9375.14,8488.0,1174.65,10343440.23
2020-11-05,7465.52,9920.26,8488.0,8501.69,1633.29,14135975.37
2020-11-06,8414.81,11959.29,8501.69,11834.76,1758.83,18178683.96
2020-11-07,11828.1,17544.75,11834.76,14299.07,4029.14,58543383.63
2020-11-08,13402.78,15984.84,14299.07,15136.24,1472.89,21697439.05
2020-11-09,13954.75,15597.56,15136.24,14978.46,1076.34,15906279.74
2020-11-10,14686.94,18900.37,14978.46,18278.8,2700.26,47038291.13
2020-11-11,15747.43,19294.85,18278.8,16678.14,2817.72,49568008.88
2020-11-12,14946.62,17287.43,16678.14,15463.89,1962.36,31569445.99
2020-11-13,15172.03,18469.76,15463.89,17915.18,2498.09,43163740.08
