datetime,low,high,open,close,volumefrom,volumeto
2016-10-28,1687.46,2215882.68,1669171.9,19077.47,61.98,1182421.71
2016-10-29,1971.83,22420.83,19077.47,1996.14,448.72,895708.12
2016-10-30,491.3,2062.52,1996.14,536.27,970.51,520455.74
2016-10-31,450.01,2540.36,536.27,1632.09,2671.42,4360006.2
2016-11-01,1165.72,2065.45,1632.09,1359.77,2596.89,3531167.82
2016-11-02,866.28,1538.9,1359.77,962.37,2896.44,2787432.83
2016-11-03,832.8,1047.85,962.37,864.99,2436.93,2107922.05
2016-11-04,601.68,912.7,864.99,604.28,2786.38,1683754.42
2016-11-05,498.64,646.71,604.28,502.01,2804.03,1407647.31
2016-11-06,334.3,512.27,502.01,334.72,4339.69,1452592.17
2016-11-07,235.46,345.5,334.72,237.58,5102.29,1212195.53
2016-11-08,176.59,290.9,237.58,269.15,7944.04,2138112.47
2016-11-09,216.07,416.4,269.15,256.46,10847.06,2781889.18
2016-11-10,223.8,257.96,256.46,225.66,3890.85,878013.9
2016-11-11,179.6,227.07,225.66,184.89,3989.48,737619.91
2016-11-12,143.04,191.28,184.89,143.53,5131.16,736476.55
2016-11-13,119.76,154.08,143.53,120.25,7703.86,926369.6
2016-11-14,95.26,121.82,120.25,103.5,9665.28,1000355.17
2016-11-15,96.57,132.69,103.5,108.94,12472.88,1358802.03
2016-11-16,94.68,122.44,108.94,94.98,9274.13,880837.61
2016-11-17,83.71,98.76,94.98,86.44,5264.73,455075.45
2016-11-18,68.18,89.26,86.44,69.0,7586.23,523481.47
2016-11-19,62.84,73.13,69.0,64.28,7407.99,476194.08
2016-11-20,59.87,66.49,64.28,60.54,5879.39,355933.46
2016-11-21,53.26,61.94,60.54,53.28,8309.42,442709.86
2016-11-22,54.1,74.49,53.28,56.4,15252.27,860156.78
2016-11-23,55.54,94.34,56.4,83.67,24698.68,2066459.59
2016-11-24,68.11,103.68,83.67,95.59,32931.54,3147935.79
2016-11-25,86.77,108.84,95.59,90.55,24535.54,2221685.71
2016-11-26,74.29,92.65,90.55,76.06,14017.53,1066129.93
2016-11-27,64.36,81.84,76.06,70.69,13042.32,921936.72
2016-11-28,65.27,76.48,70.69,73.4,11094.05,814340.21
2016-11-29,66.97,78.24,73.4,68.3,11021.28,752715.61
2016-11-30,65.24,75.29,68.3,67.36,11617.0,782505.93
2016-12-01,61.73,69.72,67.36,62.03,10019.29,621514.24
2016-12-02,58.11,65.45,62.03,59.72,11164.56,666714.17
2016-12-03,57.33,60.52,59.72,58.52,6635.82,388313.96
2016-12-04,57.46,61.98,58.52,57.49,7001.16,402528.74
2016-12-05,49.75,57.71,57.49,49.86,10712.74,534157.29
2016-12-06,46.31,53.31,49.86,48.2,15597.53,751791.74
2016-12-07,47.69,62.03,48.2,55.3,17179.09,949941.81
2016-12-08,52.67,58.28,55.3,52.76,8800.06,464330.97
2016-12-09,48.98,53.47,52.76,49.97,7563.12,377954.31
2016-12-10,47.45,51.14,49.97,48.35,6140.24,296891.53
2016-12-11,47.58,50.63,48.35,48.14,5909.76,284497.49
2016-12-12,48.05,51.25,48.14,48.51,7160.17,347370.28
2016-12-13,45.97,51.56,48.51,46.03,8732.22,401955.63
2016-12-14,42.88,47.02,46.03,44.4,10736.27,476693.29
2016-12-15,39.63,44.81,44.4,39.98,9725.67,388808.75
2016-12-16,39.95,42.5,39.98,40.06,6582.02,263704.82
2016-12-17,35.08,40.67,40.06,35.68,11792.94,420800.59
2016-12-18,34.87,41.07,35.68,36.16,10736.48,388234.64
2016-12-19,33.36,37.27,36.16,34.27,10153.16,347938.52
2016-12-20,34.39,40.67,34.27,36.81,17813.62,655800.17
