datetime,low,high,open,close,volumefrom,volumeto
2018-01-30,0.07127,0.07872,0.07956,0.0734,1434329.94,105278.02
2018-01-31,0.07446,0.08557,0.0734,0.08001,3878252.57,310315.74
2018-02-01,0.06471,0.07696,0.0789,0.07487,3975713.53,297664.94
2018-02-02,0.05967,4412627.01,0.07487,0.07162,8999111.82,644495.76
2018-02-03,0.07171,1347713.19,0.07541,0.07864,6096440.36,479426.94
2018-02-04,0.05784,8408.31,0.07793,0.06208,5970277.96,370620.08
2018-02-05,0.0459,386.12,0.06188,0.05214,5213968.55,271845.64
2018-02-06,0.03299,15304547.11,0.05077,0.05888,6988578.1,411457.78
2018-02-07,0.05263,0.05863,0.05899,0.05391,19345412.62,1042955.59
2018-02-08,0.05691,0.06409,0.05377,0.05888,96311067.07,5671253.01
2018-02-09,0.05971,0.06367,0.05879,0.06023,96895250.96,5836131.46
2018-02-10,0.04871,0.05955,0.06003,0.05019,98666468.64,4952489.39
2018-02-11,0.04747,0.05306,0.05013,0.05063,95453052.33,4832739.21
2018-02-12,0.05019,0.05533,0.05059,0.0522,68162623.89,3558207.51
2018-02-13,0.04963,0.05214,0.05275,0.05048,58244044.67,2939904.24
2018-02-14,0.05432,0.05759,0.05072,0.05473,64795936.55,3546161.27
2018-02-15,0.0548,0.05924,0.05455,0.05771,64047922.02,3696155.01
2018-02-16,0.05722,0.06176,0.0578,0.06154,54273468.43,3340178.78
2018-02-17,0.06247,0.07215,0.06151,0.07186,77272703.3,5552819.89
2018-02-18,0.06052,0.06812,0.07186,0.06401,61733902.23,3951559.67
2018-02-19,0.06399,0.06766,0.06384,0.06729,54797370.57,3687258.3
2018-02-20,0.05759,0.06461,0.06728,0.05775,61124451.22,3530157.99
2018-02-21,0.05338,0.05865,0.05774,0.05542,76264135.58,4226664.93
2018-02-22,0.04964,0.05424,0.05546,0.05104,70470828.52,3596667.66
2018-02-23,0.05133,0.05683,0.05112,0.05331,82109027.11,4377038.38
2018-02-24,0.05084,0.05407,0.0535,0.05238,58170385.75,3047246.73
2018-02-25,0.05001,0.05298,0.05238,0.05072,55160576.64,2797705.88
2018-02-26,0.05081,0.05531,0.05072,0.05397,50784279.78,2741063.23
2018-02-27,0.05143,0.05443,0.05397,0.05143,67826702.79,3488458.62
2018-02-28,0.04812,0.05066,0.05144,0.0484,60488965.17,2927621.15
2018-03-01,0.0488,0.05084,0.04854,0.0491,60982502.1,2993964.16
2018-03-02,0.04475,0.04946,0.04909,0.04632,61071125.96,2828947.93
2018-03-03,0.04366,0.04787,0.04631,0.04709,54665444.98,2574467.82
2018-03-04,0.04617,0.05239,0.04709,0.04725,62594800.22,2957874.17
2018-03-05,0.04547,0.07288,0.04715,0.05266,172542639.02,9086792.44
2018-03-06,0.046,0.05381,0.0528,0.04707,74774183.98,3519880.3
2018-03-07,0.03832,0.04488,0.04712,0.04158,63589134.7,2644198.81
2018-03-08,0.03587,0.0399,0.04158,0.03739,76597509.8,2863782.12
2018-03-09,0.03424,0.04319,0.03739,0.04073,78175401.33,3184031.53
2018-03-10,0.03727,0.04646,0.04065,0.04355,77148055.6,3359891.09
2018-03-11,0.04393,0.05492,0.04341,0.0514,84041634.2,4320150.93
2018-03-12,0.04538,0.04998,0.05149,0.0463,87172752.57,4035755.72
2018-03-13,0.04367,0.04829,0.04632,0.04603,31785285.63,1462988.7
2018-03-14,0.0404,0.04364,0.04599,0.04097,61148456.62,2505294.03
2018-03-15,0.04002,0.04207,0.04097,0.04148,72632303.59,3012449.54
2018-03-16,0.0401,0.04503,0.04143,0.04253,82667274.85,3515800.73
2018-03-17,0.03804,0.04115,0.04252,0.04063,69735973.93,2833336.43
2018-03-18,0.03816,0.04098,0.04066,0.0407,93459742.75,3803417.82
2018-03-19,0.04127,0.04888,0.04072,0.04689,80728396.62,3785226.97
2018-03-20,0.04629,0.04845,0.04701,0.04797,96475247.71,4627700.28
2018-03-21,0.04627,0.04948,0.04797,0.04732,96148537.59,4549555.93
2018-03-22,0.04538,0.04795,0.04728,0.04762,77979876.88,3713690.02
2018-03-23,0.0453,0.05414,0.04758,0.05289,121248616.46,6413191.65
2018-03-24,0.04945,0.05488,0.053,0.05259,126907326.47,6673824.82
2018-03-25,0.05162,0.05439,0.05259,0.05251,80568725.2,4230680.2
2018-03-26,0.04526,0.04945,0.05251,0.04838,99128415.63,4795536.6
2018-03-27,0.04334,0.04851,0.04838,0.04663,83695564.98,3902577.06
2018-03-28,0.0458,0.04954,0.04667,0.04928,106644081.61,5254915.38
2018-03-29,0.04177,0.04369,0.04928,0.04357,103633805.61,4515599.54
2018-03-30,0.04328,0.04706,0.04358,0.04616,96261089.18,4442998.34
2018-03-31,0.04449,0.04776,0.04616,0.04583,102470270.51,4696247.44
2018-04-01,0.04281,0.04588,0.04583,0.04338,84568921.89,3668458.18
2018-04-02,0.04382,0.04532,0.04334,0.04447,73807447.97,3282143.99
2018-04-03,0.04571,0.04916,0.04447,0.04592,88414595.96,4059880.83
2018-04-04,0.04089,0.04347,0.04592,0.0418,82036157.66,3429354.22
